"","datasize","algo","variable","iter"
"1",1000,"EM","X1",7000
"2",2000,"EM","X1",20000
"3",3000,"EM","X1",27000
"4",4000,"EM","X1",44000
"5",5000,"EM","X1",50000
"6",6000,"EM","X1",54000
"7",7000,"EM","X1",63000
"8",8000,"EM","X1",80000
"9",9000,"EM","X1",81000
"10",10000,"EM","X1",90000
"11",1000,"EM","X2",11000
"12",2000,"EM","X2",18000
"13",3000,"EM","X2",24000
"14",4000,"EM","X2",36000
"15",5000,"EM","X2",50000
"16",6000,"EM","X2",54000
"17",7000,"EM","X2",56000
"18",8000,"EM","X2",64000
"19",9000,"EM","X2",81000
"20",10000,"EM","X2",90000
"21",1000,"EM","X3",7000
"22",2000,"EM","X3",12000
"23",3000,"EM","X3",24000
"24",4000,"EM","X3",28000
"25",5000,"EM","X3",40000
"26",6000,"EM","X3",54000
"27",7000,"EM","X3",63000
"28",8000,"EM","X3",72000
"29",9000,"EM","X3",81000
"30",10000,"EM","X3",90000
"31",1000,"EM","X4",11000
"32",2000,"EM","X4",22000
"33",3000,"EM","X4",33000
"34",4000,"EM","X4",36000
"35",5000,"EM","X4",45000
"36",6000,"EM","X4",48000
"37",7000,"EM","X4",63000
"38",8000,"EM","X4",72000
"39",9000,"EM","X4",81000
"40",10000,"EM","X4",90000
"41",1000,"EM","X5",12000
"42",2000,"EM","X5",16000
"43",3000,"EM","X5",24000
"44",4000,"EM","X5",36000
"45",5000,"EM","X5",40000
"46",6000,"EM","X5",48000
"47",7000,"EM","X5",56000
"48",8000,"EM","X5",64000
"49",9000,"EM","X5",81000
"50",10000,"EM","X5",90000
"51",1000,"IEM","X1",7115
"52",2000,"IEM","X1",19208
"53",3000,"IEM","X1",23043
"54",4000,"IEM","X1",41520
"55",5000,"IEM","X1",47488
"56",6000,"IEM","X1",51539
"57",7000,"IEM","X1",58379
"58",8000,"IEM","X1",74266
"59",9000,"IEM","X1",70649
"60",10000,"IEM","X1",81202
"61",1000,"IEM","X2",9857
"62",2000,"IEM","X2",16274
"63",3000,"IEM","X2",21905
"64",4000,"IEM","X2",31790
"65",5000,"IEM","X2",44016
"66",6000,"IEM","X2",48675
"67",7000,"IEM","X2",50933
"68",8000,"IEM","X2",59401
"69",9000,"IEM","X2",72583
"70",10000,"IEM","X2",77529
"71",1000,"IEM","X3",6368
"72",2000,"IEM","X3",10239
"73",3000,"IEM","X3",19492
"74",4000,"IEM","X3",25083
"75",5000,"IEM","X3",34429
"76",6000,"IEM","X3",48204
"77",7000,"IEM","X3",58299
"78",8000,"IEM","X3",65344
"79",9000,"IEM","X3",72139
"80",10000,"IEM","X3",78022
"81",1000,"IEM","X4",10766
"82",2000,"IEM","X4",20908
"83",3000,"IEM","X4",30262
"84",4000,"IEM","X4",33377
"85",5000,"IEM","X4",39587
"86",6000,"IEM","X4",46209
"87",7000,"IEM","X4",53072
"88",8000,"IEM","X4",62825
"89",9000,"IEM","X4",76741
"90",10000,"IEM","X4",84311
"91",1000,"IEM","X5",11329
"92",2000,"IEM","X5",14121
"93",3000,"IEM","X5",20457
"94",4000,"IEM","X5",32465
"95",5000,"IEM","X5",36587
"96",6000,"IEM","X5",42466
"97",7000,"IEM","X5",50377
"98",8000,"IEM","X5",59371
"99",9000,"IEM","X5",71045
"100",10000,"IEM","X5",79720
"101",1000,"IEMseq","X1",2779
"102",2000,"IEMseq","X1",8394
"103",3000,"IEMseq","X1",10349
"104",4000,"IEMseq","X1",19040
"105",5000,"IEMseq","X1",21875
"106",6000,"IEMseq","X1",23091
"107",7000,"IEMseq","X1",26868
"108",8000,"IEMseq","X1",33096
"109",9000,"IEMseq","X1",31985
"110",10000,"IEMseq","X1",36635
"111",1000,"IEMseq","X2",4540
"112",2000,"IEMseq","X2",7247
"113",3000,"IEMseq","X2",9807
"114",4000,"IEMseq","X2",14276
"115",5000,"IEMseq","X2",19953
"116",6000,"IEMseq","X2",21723
"117",7000,"IEMseq","X2",22487
"118",8000,"IEMseq","X2",26359
"119",9000,"IEMseq","X2",32352
"120",10000,"IEMseq","X2",34812
"121",1000,"IEMseq","X3",2772
"122",2000,"IEMseq","X3",4413
"123",3000,"IEMseq","X3",8615
"124",4000,"IEMseq","X3",11205
"125",5000,"IEMseq","X3",15253
"126",6000,"IEMseq","X3",21518
"127",7000,"IEMseq","X3",25990
"128",8000,"IEMseq","X3",29150
"129",9000,"IEMseq","X3",32427
"130",10000,"IEMseq","X3",35455
"131",1000,"IEMseq","X4",4893
"132",2000,"IEMseq","X4",9536
"133",3000,"IEMseq","X4",13400
"134",4000,"IEMseq","X4",15010
"135",5000,"IEMseq","X4",18115
"136",6000,"IEMseq","X4",20003
"137",7000,"IEMseq","X4",23530
"138",8000,"IEMseq","X4",28002
"139",9000,"IEMseq","X4",34234
"140",10000,"IEMseq","X4",38011
"141",1000,"IEMseq","X5",5076
"142",2000,"IEMseq","X5",6284
"143",3000,"IEMseq","X5",9275
"144",4000,"IEMseq","X5",14158
"145",5000,"IEMseq","X5",15863
"146",6000,"IEMseq","X5",18653
"147",7000,"IEMseq","X5",22281
"148",8000,"IEMseq","X5",25866
"149",9000,"IEMseq","X5",31262
"150",10000,"IEMseq","X5",35177
"151",1000,"OEMVR","X1",332
"152",2000,"OEMVR","X1",878
"153",3000,"OEMVR","X1",1991
"154",4000,"OEMVR","X1",2553
