"","datasize","algo","variable","iter"
"1",1000,"EM","X1",7000
"2",2000,"EM","X1",20000
"3",3000,"EM","X1",27000
"4",4000,"EM","X1",44000
"5",5000,"EM","X1",50000
"6",6000,"EM","X1",54000
"7",7000,"EM","X1",63000
"8",8000,"EM","X1",80000
"9",9000,"EM","X1",81000
"10",10000,"EM","X1",90000
"11",15000,"EM","X1",120000
"12",20000,"EM","X1",180000
"13",25000,"EM","X1",225000
"14",30000,"EM","X1",270000
"15",35000,"EM","X1",280000
"16",40000,"EM","X1",320000
"17",45000,"EM","X1",360000
"18",50000,"EM","X1",450000
"19",55000,"EM","X1",495000
"20",60000,"EM","X1",540000
"21",65000,"EM","X1",585000
"22",70000,"EM","X1",560000
"23",75000,"EM","X1",6e+05
"24",80000,"EM","X1",640000
"25",85000,"EM","X1",680000
"26",90000,"EM","X1",810000
"27",95000,"EM","X1",855000
"28",1e+05,"EM","X1",9e+05
"29",105000,"EM","X1",945000
"30",1000,"EM","X2",11000
"31",2000,"EM","X2",18000
"32",3000,"EM","X2",24000
"33",4000,"EM","X2",36000
"34",5000,"EM","X2",50000
"35",6000,"EM","X2",54000
"36",7000,"EM","X2",56000
"37",8000,"EM","X2",64000
"38",9000,"EM","X2",81000
"39",10000,"EM","X2",90000
"40",15000,"EM","X2",120000
"41",20000,"EM","X2",180000
"42",25000,"EM","X2",225000
"43",30000,"EM","X2",270000
"44",35000,"EM","X2",315000
"45",40000,"EM","X2",360000
"46",45000,"EM","X2",405000
"47",50000,"EM","X2",450000
"48",55000,"EM","X2",495000
"49",60000,"EM","X2",540000
"50",65000,"EM","X2",585000
"51",70000,"EM","X2",630000
"52",75000,"EM","X2",675000
"53",80000,"EM","X2",720000
"54",85000,"EM","X2",765000
"55",90000,"EM","X2",810000
"56",95000,"EM","X2",855000
"57",1e+05,"EM","X2",9e+05
"58",105000,"EM","X2",945000
"59",1000,"EM","X3",7000
"60",2000,"EM","X3",12000
"61",3000,"EM","X3",24000
"62",4000,"EM","X3",28000
"63",5000,"EM","X3",40000
"64",6000,"EM","X3",54000
"65",7000,"EM","X3",63000
"66",8000,"EM","X3",72000
"67",9000,"EM","X3",81000
"68",10000,"EM","X3",90000
"69",15000,"EM","X3",120000
"70",20000,"EM","X3",180000
"71",25000,"EM","X3",225000
"72",30000,"EM","X3",270000
"73",35000,"EM","X3",315000
"74",40000,"EM","X3",360000
"75",45000,"EM","X3",405000
"76",50000,"EM","X3",450000
"77",55000,"EM","X3",495000
"78",60000,"EM","X3",540000
"79",65000,"EM","X3",585000
"80",70000,"EM","X3",560000
"81",75000,"EM","X3",675000
"82",80000,"EM","X3",720000
"83",85000,"EM","X3",680000
"84",90000,"EM","X3",720000
"85",95000,"EM","X3",760000
"86",1e+05,"EM","X3",8e+05
"87",105000,"EM","X3",945000
"88",1000,"EM","X4",11000
"89",2000,"EM","X4",22000
"90",3000,"EM","X4",33000
"91",4000,"EM","X4",36000
"92",5000,"EM","X4",45000
"93",6000,"EM","X4",48000
"94",7000,"EM","X4",63000
"95",8000,"EM","X4",72000
"96",9000,"EM","X4",81000
"97",10000,"EM","X4",90000
"98",15000,"EM","X4",135000
"99",20000,"EM","X4",180000
"100",25000,"EM","X4",225000
"101",30000,"EM","X4",240000
"102",35000,"EM","X4",315000
"103",40000,"EM","X4",360000
"104",45000,"EM","X4",405000
"105",50000,"EM","X4",450000
"106",55000,"EM","X4",495000
"107",60000,"EM","X4",540000
"108",65000,"EM","X4",585000
"109",70000,"EM","X4",630000
"110",75000,"EM","X4",675000
"111",80000,"EM","X4",720000
"112",85000,"EM","X4",765000
"113",90000,"EM","X4",810000
"114",95000,"EM","X4",855000
"115",1e+05,"EM","X4",9e+05
"116",105000,"EM","X4",840000
"117",1000,"EM","X5",12000
"118",2000,"EM","X5",16000
"119",3000,"EM","X5",24000
"120",4000,"EM","X5",36000
"121",5000,"EM","X5",40000
"122",6000,"EM","X5",48000
"123",7000,"EM","X5",56000
"124",8000,"EM","X5",64000
"125",9000,"EM","X5",81000
"126",10000,"EM","X5",90000
"127",15000,"EM","X5",135000
"128",20000,"EM","X5",160000
"129",25000,"EM","X5",2e+05
"130",30000,"EM","X5",270000
"131",35000,"EM","X5",315000
"132",40000,"EM","X5",360000
"133",45000,"EM","X5",405000
"134",50000,"EM","X5",4e+05
"135",55000,"EM","X5",495000
"136",60000,"EM","X5",540000
"137",65000,"EM","X5",585000
"138",70000,"EM","X5",630000
"139",75000,"EM","X5",675000
"140",80000,"EM","X5",720000
"141",85000,"EM","X5",765000
"142",90000,"EM","X5",810000
"143",95000,"EM","X5",855000
"144",1e+05,"EM","X5",9e+05
"145",105000,"EM","X5",945000
"146",1000,"IEM","X1",7115
"147",2000,"IEM","X1",19208
"148",3000,"IEM","X1",23043
"149",4000,"IEM","X1",41520
"150",5000,"IEM","X1",47488
"151",6000,"IEM","X1",51539
"152",7000,"IEM","X1",58379
"153",8000,"IEM","X1",74266
"154",9000,"IEM","X1",70649
"155",10000,"IEM","X1",81202
"156",15000,"IEM","X1",112054
"157",20000,"IEM","X1",162415
"158",25000,"IEM","X1",204760
"159",30000,"IEM","X1",227294
"160",35000,"IEM","X1",259825
"161",40000,"IEM","X1",294068
"162",45000,"IEM","X1",335180
"163",50000,"IEM","X1",379650
"164",55000,"IEM","X1",417248
