"","x","saem.ep","mcem.ep","imcem.ep","imcem10.ep","imcem50.ep"
"1",2,2.11413487090894,2.11413487090894,2.11413487090894,2.11413487090894,2.11413487090894
"2",3,0.00139840211115394,-4.22407453548443,-5.37490703964252,-5.52708819070383,-5.20358781569512
"3",4,-0.864451822909368,-4.28120140356707,-6.00267371297087,-6.33404639494935,-5.36891246125771
"4",5,-1.39919983206927,-4.99574694045463,-6.76371393138121,-6.96694484204098,-6.17944103773066
"5",6,-1.78235248234412,-5.99169155662205,-7.49099828942303,-7.4956062695645,-6.87042317988997
"6",7,-2.12856718700484,-6.59114847801627,-7.81640634722709,-7.54592940450488,-7.46321700707621
"7",8,-2.39400915216887,-7.09376450933402,-7.67490224027734,-7.61620844589031,-7.5282811331967
"8",9,-2.54503316724632,-7.47199447821123,-7.57498699247933,-7.44158175892758,-7.37058005665553
"9",10,-2.68861712077458,-7.50519253327727,-7.51635673453115,-7.34977965826445,-7.40415982966928
"10",11,-2.83703479246587,-7.56460887837521,-7.43501157105413,-7.28768006652212,-7.31127004654849
