rep,id,s,d,beta,delta,p,c,eta,epsilon
1,1,55742.7645704336,12.999968491058,5e-05,0.05,20,5,0.9,0.7
1,2,51461.6751001186,0.524744602195781,5e-05,0.05,20,5,0.9,0.7
1,3,1404.44451134338,1.14250756988624,5e-05,0.05,20,5,0.9,0.7
1,4,5226.48299385056,0.448739655682808,5e-05,0.05,20,5,0.9,0.7
1,5,6949.96709610848,4.82183863666983,5e-05,0.05,20,5,0.9,0.7
1,6,8240.55557216953,1.42503049060216,5e-05,0.05,20,5,0.9,0.7
1,7,3729.91394061068,1.45253650649794,5e-05,0.05,20,5,0.9,0.7
1,8,3378.47695153928,0.215135987992192,5e-05,0.05,20,5,0.9,0.7
1,9,95592.9239975119,0.897352933148832,5e-05,0.05,20,5,0.9,0.7
1,10,1927.81310670307,3.29623415028935,5e-05,0.05,20,5,0.9,0.7
1,11,1312.79041486942,3.55813799354121,5e-05,0.05,20,5,0.9,0.7
1,12,376.274514792691,1.4528115119817,5e-05,0.05,20,5,0.9,0.7
1,13,2246.02693697599,1.58072830231008,5e-05,0.05,20,5,0.9,0.7
1,14,409.163820263788,0.830038583534619,5e-05,0.05,20,5,0.9,0.7
1,15,62329.4415008542,3.29922605295219,5e-05,0.05,20,5,0.9,0.7
1,16,456.510898694812,1.22333111499161,5e-05,0.05,20,5,0.9,0.7
1,17,10031.8969549727,10.5869851330169,5e-05,0.05,20,5,0.9,0.7
1,18,36656.1215704406,6.41074677462428,5e-05,0.05,20,5,0.9,0.7
1,19,11647.0219247707,0.513366828238424,5e-05,0.05,20,5,0.9,0.7
1,20,31454.2742966174,0.152650452160258,5e-05,0.05,20,5,0.9,0.7
1,21,6120.6811476674,1.63450867672651,5e-05,0.05,20,5,0.9,0.7
1,22,4016.12384416208,0.06196741543148,5e-05,0.05,20,5,0.9,0.7
1,23,15199.6755364056,2.11428654230582,5e-05,0.05,20,5,0.9,0.7
1,24,45956.7729475228,1.22608696742787,5e-05,0.05,20,5,0.9,0.7
1,25,2010.30835639258,0.723541950988022,5e-05,0.05,20,5,0.9,0.7
1,26,596.205072197186,0.822061928341138,5e-05,0.05,20,5,0.9,0.7
1,27,3714.10963285418,0.606557227270637,5e-05,0.05,20,5,0.9,0.7
1,28,2585.21379577839,2.36660447790467,5e-05,0.05,20,5,0.9,0.7
1,29,3363.20444568442,1.77412687517307,5e-05,0.05,20,5,0.9,0.7
1,30,2636.20781890146,0.133688618236637,5e-05,0.05,20,5,0.9,0.7
1,31,4437.93067802689,1.68414386026067,5e-05,0.05,20,5,0.9,0.7
1,32,11652.4595629877,5.21404880014829,5e-05,0.05,20,5,0.9,0.7
1,33,15238.8491046081,7.65409411608245,5e-05,0.05,20,5,0.9,0.7
1,34,35544.9489153042,0.282223718761892,5e-05,0.05,20,5,0.9,0.7
1,35,1487.34383443926,2.65460436108816,5e-05,0.05,20,5,0.9,0.7
1,36,15918.9495190113,4.97350849280828,5e-05,0.05,20,5,0.9,0.7
1,37,1048.14233283331,3.06915186598963,5e-05,0.05,20,5,0.9,0.7
1,38,2220.94896136752,4.65705714514129,5e-05,0.05,20,5,0.9,0.7
1,39,1202.077078933,0.534887964823613,5e-05,0.05,20,5,0.9,0.7
1,40,5047.68941487919,2.03503770815328,5e-05,0.05,20,5,0.9,0.7
1,41,13343.4864019488,1.97533932267294,5e-05,0.05,20,5,0.9,0.7
1,42,4746.41950396485,0.649129140167289,5e-05,0.05,20,5,0.9,0.7
1,43,564.81919517112,2.06287842379386,5e-05,0.05,20,5,0.9,0.7
1,44,512.46615141984,0.767519202108258,5e-05,0.05,20,5,0.9,0.7
1,45,144.598051595716,0.558838845997073,5e-05,0.05,20,5,0.9,0.7
1,46,1497.97174046897,2.8484882602767,5e-05,0.05,20,5,0.9,0.7
1,47,11974.0781325883,0.685733121581601,5e-05,0.05,20,5,0.9,0.7
1,48,2355.97599963205,3.03285369081797,5e-05,0.05,20,5,0.9,0.7
1,49,1542.02709713009,1.05696268913801,5e-05,0.05,20,5,0.9,0.7
1,50,11528.6227226181,3.30836831340047,5e-05,0.05,20,5,0.9,0.7
1,51,63.4920961749696,0.228814663446041,5e-05,0.05,20,5,0.9,0.7
1,52,321.559206179301,0.519313357954947,5e-05,0.05,20,5,0.9,0.7
1,53,2476.40031131543,4.08428108237247,5e-05,0.05,20,5,0.9,0.7
1,54,128332.763998683,1.37078081330375,5e-05,0.05,20,5,0.9,0.7
1,55,2150.11232444076,0.236700203544926,5e-05,0.05,20,5,0.9,0.7
1,56,21258.7857662424,1.62519763272075,5e-05,0.05,20,5,0.9,0.7
