                       ;    Emax_pop;beta_Emax_tDRUG_abata;beta_Emax_tDRUG_adali;beta_Emax_tDRUG_canaki;     T50_pop;beta_T50_tDRUG_abata;beta_T50_tDRUG_adali;beta_T50_tDRUG_canaki;omega_etaBSVEmax;gamma_etaBTAVEmax;           a
               Emax_pop;0.2366286943;         0.0000000000;         0.0000000000;          0.0000000000;0.0000000000;        0.0000000000;        0.0000000000;         0.0000000000;    0.0000000000;     0.0000000000;0.0000000000
  beta_Emax_tDRUG_abata;0.0000000000;         1.0000000000;         0.0000000000;          0.0000000000;0.0000000000;        0.0000000000;        0.0000000000;         0.0000000000;    0.0000000000;     0.0000000000;0.0000000000
  beta_Emax_tDRUG_adali;0.0000000000;         0.0000000000;         1.0000000000;          0.0000000000;0.0000000000;        0.0000000000;        0.0000000000;         0.0000000000;    0.0000000000;     0.0000000000;0.0000000000
 beta_Emax_tDRUG_canaki;0.0000000000;         0.0000000000;         0.0000000000;          1.0000000000;0.0000000000;        0.0000000000;        0.0000000000;         0.0000000000;    0.0000000000;     0.0000000000;0.0000000000
beta_Emax_tDRUG_placebo;0.0000000000;         0.0000000000;         0.0000000000;          0.0000000000;0.0000000000;        0.0000000000;        0.0000000000;         0.0000000000;    0.0000000000;     0.0000000000;0.0000000000
                T50_pop;0.0000000000;         0.0000000000;         0.0000000000;          0.0000000000;3.6571501697;        0.0000000000;        0.0000000000;         0.0000000000;    0.0000000000;     0.0000000000;0.0000000000
   beta_T50_tDRUG_abata;0.0000000000;         0.0000000000;         0.0000000000;          0.0000000000;0.0000000000;        1.0000000000;        0.0000000000;         0.0000000000;    0.0000000000;     0.0000000000;0.0000000000
   beta_T50_tDRUG_adali;0.0000000000;         0.0000000000;         0.0000000000;          0.0000000000;0.0000000000;        0.0000000000;        1.0000000000;         0.0000000000;    0.0000000000;     0.0000000000;0.0000000000
  beta_T50_tDRUG_canaki;0.0000000000;         0.0000000000;         0.0000000000;          0.0000000000;0.0000000000;        0.0000000000;        0.0000000000;         1.0000000000;    0.0000000000;     0.0000000000;0.0000000000
 beta_T50_tDRUG_placebo;0.0000000000;         0.0000000000;         0.0000000000;          0.0000000000;0.0000000000;        0.0000000000;        0.0000000000;         0.0000000000;    0.0000000000;     0.0000000000;0.0000000000
         etaBSVEmax_pop;0.0000000000;         0.0000000000;         0.0000000000;          0.0000000000;0.0000000000;        0.0000000000;        0.0000000000;         0.0000000000;    0.0000000000;     0.0000000000;0.0000000000
        etaBTAVEmax_pop;0.0000000000;         0.0000000000;         0.0000000000;          0.0000000000;0.0000000000;        0.0000000000;        0.0000000000;         0.0000000000;    0.0000000000;     0.0000000000;0.0000000000
             omega_Emax;0.0000000000;         0.0000000000;         0.0000000000;          0.0000000000;0.0000000000;        0.0000000000;        0.0000000000;         0.0000000000;    0.0000000000;     0.0000000000;0.0000000000
              omega_T50;0.0000000000;         0.0000000000;         0.0000000000;          0.0000000000;0.0000000000;        0.0000000000;        0.0000000000;         0.0000000000;    0.0000000000;     0.0000000000;0.0000000000
       omega_etaBSVEmax;0.0000000000;         0.0000000000;         0.0000000000;          0.0000000000;0.0000000000;        0.0000000000;        0.0000000000;         0.0000000000;    1.0000000000;     0.0000000000;0.0000000000
      omega_etaBTAVEmax;0.0000000000;         0.0000000000;         0.0000000000;          0.0000000000;0.0000000000;        0.0000000000;        0.0000000000;         0.0000000000;    0.0000000000;     0.0000000000;0.0000000000
             gamma_Emax;0.0000000000;         0.0000000000;         0.0000000000;          0.0000000000;0.0000000000;        0.0000000000;        0.0000000000;         0.0000000000;    0.0000000000;     0.0000000000;0.0000000000
              gamma_T50;0.0000000000;         0.0000000000;         0.0000000000;          0.0000000000;0.0000000000;        0.0000000000;        0.0000000000;         0.0000000000;    0.0000000000;     0.0000000000;0.0000000000
       gamma_etaBSVEmax;0.0000000000;         0.0000000000;         0.0000000000;          0.0000000000;0.0000000000;        0.0000000000;        0.0000000000;         0.0000000000;    0.0000000000;     0.0000000000;0.0000000000
      gamma_etaBTAVEmax;0.0000000000;         0.0000000000;         0.0000000000;          0.0000000000;0.0000000000;        0.0000000000;        0.0000000000;         0.0000000000;    0.0000000000;     1.0000000000;0.0000000000
                      a;0.0000000000;         0.0000000000;         0.0000000000;          0.0000000000;0.0000000000;        0.0000000000;        0.0000000000;         0.0000000000;    0.0000000000;     0.0000000000;1.0000000000
