                       ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
               Emax_pop;   0.38649;   0.03475;      8.99;        NaN
  beta_Emax_tDRUG_abata;   1.75519;   0.15677;      8.93;      1e-10
  beta_Emax_tDRUG_adali;   1.38845;   0.16179;     11.65;      1e-10
 beta_Emax_tDRUG_canaki;   0.83934;   0.54804;     65.29;    0.12564
beta_Emax_tDRUG_placebo;   0.00000;       NaN;       NaN;        NaN
                T50_pop;   3.52550;   0.45116;     12.80;        NaN
   beta_T50_tDRUG_abata;   0.20866;   0.14292;     68.49;    0.14429
   beta_T50_tDRUG_adali;  -0.56797;   0.16840;     29.65; 0.00074411
  beta_T50_tDRUG_canaki;  -0.59826;   0.70434;    117.73;    0.39566
 beta_T50_tDRUG_placebo;   0.00000;       NaN;       NaN;        NaN
         etaBSVEmax_pop;   0.00000;   0.00000;      0.00;        NaN
        etaBTAVEmax_pop;   0.00000;   0.00000;      0.00;        NaN
             omega_Emax;   0.00000;   0.00000;      0.00;        NaN
              omega_T50;   0.00000;   0.00000;      0.00;        NaN
       omega_etaBSVEmax;   0.32163;   0.07289;     22.66;        NaN
      omega_etaBTAVEmax;   0.00000;   0.00000;      0.00;        NaN
             gamma_Emax;   0.00000;   0.00000;      0.00;        NaN
              gamma_T50;   0.00000;   0.00000;      0.00;        NaN
       gamma_etaBSVEmax;   0.00000;   0.00000;      0.00;        NaN
      gamma_etaBTAVEmax;   1.86817;   1.15368;     61.75;        NaN
                      a;   2.45183;   0.15503;      6.32;        NaN
