id,Te_SAEM,p_SAEM
1,365.952965,1.454155
2,420.772669,1.454155
3,693.911677,1.454155
4,398.256007,1.454155
5,610.841714,1.454155
6,788.606138,1.454155
7,438.596457,1.454155
8,409.355457,1.454155
9,411.456869,1.454155
10,379.200828,1.454155
11,342.988817,1.454155
12,516.643480,1.454155
13,538.352686,1.454155
14,352.412140,1.454155
15,543.955321,1.454155
16,387.156013,1.454155
17,510.424203,1.454155
18,568.118377,1.454155
19,354.341147,1.454155
20,358.661275,1.454155
21,422.576399,1.454155
22,380.909820,1.454155
23,500.945343,1.454155
24,448.716935,1.454155
25,439.438075,1.454155
26,474.058315,1.454155
27,475.163658,1.454155
28,376.281767,1.454155
29,466.711017,1.454155
30,395.686277,1.454155
31,496.119267,1.454155
32,354.453015,1.454155
33,511.963790,1.454155
34,380.057115,1.454155
35,350.243223,1.454155
36,372.049707,1.454155
37,561.948584,1.454155
38,704.821085,1.454155
39,333.530819,1.454155
40,529.191318,1.454155
41,439.267145,1.454155
42,367.491159,1.454155
43,440.542154,1.454155
44,360.570299,1.454155
45,488.940094,1.454155
46,375.082926,1.454155
47,401.583828,1.454155
48,482.627394,1.454155
49,491.425486,1.454155
50,520.384013,1.454155
51,560.523488,1.454155
52,376.426212,1.454155
53,393.550837,1.454155
54,418.741172,1.454155
55,526.355314,1.454155
56,336.684702,1.454155
57,340.950696,1.454155
58,363.880938,1.454155
59,504.220964,1.454155
60,454.416671,1.454155
61,422.153525,1.454155
62,397.793907,1.454155
63,400.969056,1.454155
64,356.580405,1.454155
65,392.472819,1.454155
66,348.823787,1.454155
67,421.301956,1.454155
68,660.480322,1.454155
69,449.736021,1.454155
70,400.156501,1.454155
71,595.974486,1.454155
72,446.949781,1.454155
73,337.869494,1.454155
74,375.494736,1.454155
75,399.173147,1.454155
76,459.345032,1.454155
77,544.346306,1.454155
78,402.293909,1.454155
79,338.349240,1.454155
80,373.383415,1.454155
81,551.167646,1.454155
82,351.351172,1.454155
83,444.070014,1.454155
84,369.876523,1.454155
85,666.090287,1.454155
86,414.255965,1.454155
87,496.652384,1.454155
88,393.058426,1.454155
89,607.930247,1.454155
90,362.870467,1.454155
91,490.071439,1.454155
92,383.958067,1.454155
93,325.732441,1.454155
94,389.053485,1.454155
95,627.884779,1.454155
96,369.148644,1.454155
97,430.546272,1.454155
98,441.945946,1.454155
99,479.993576,1.454155
100,382.707413,1.454155
101,580.383886,1.454155
102,407.107035,1.454155
103,444.146205,1.454155
104,367.987181,1.454155
105,405.520783,1.454155
106,370.602798,1.454155
107,627.218618,1.454155
108,343.097827,1.454155
109,464.672446,1.454155
110,425.904277,1.454155
111,354.638777,1.454155
112,361.620840,1.454155
113,403.903210,1.454155
114,367.584711,1.454155
115,446.274349,1.454155
116,369.477730,1.454155
117,403.320979,1.454155
118,513.811032,1.454155
119,420.796328,1.454155
120,435.725125,1.454155
121,445.075216,1.454155
122,401.145673,1.454155
123,470.443855,1.454155
124,374.084023,1.454155
125,481.168248,1.454155
126,392.960005,1.454155
127,362.277646,1.454155
128,351.641355,1.454155
129,569.286680,1.454155
130,612.771983,1.454155
131,449.217944,1.454155
132,376.242633,1.454155
133,447.377566,1.454155
134,562.134684,1.454155
135,391.386828,1.454155
136,652.864966,1.454155
137,402.538435,1.454155
138,422.034484,1.454155
139,412.600991,1.454155
140,460.367474,1.454155
141,394.727044,1.454155
142,605.497417,1.454155
143,400.490656,1.454155
144,363.058393,1.454155
145,529.834876,1.454155
146,562.591221,1.454155
147,420.791526,1.454155
148,379.851328,1.454155
149,344.122759,1.454155
150,420.758797,1.454155
151,395.426889,1.454155
152,538.377945,1.454155
153,535.527399,1.454155
154,396.056680,1.454155
155,365.331749,1.454155
156,417.361600,1.454155
157,500.449273,1.454155
158,414.324474,1.454155
159,396.424708,1.454155
160,571.692665,1.454155
161,521.790153,1.454155
162,449.486648,1.454155
163,478.620722,1.454155
164,390.095851,1.454155
165,483.227829,1.454155
166,499.172779,1.454155
167,381.907067,1.454155
168,432.567669,1.454155
169,375.348632,1.454155
170,391.511540,1.454155
171,508.544289,1.454155
172,443.484756,1.454155
173,404.347216,1.454155
174,532.505234,1.454155
175,503.854354,1.454155
176,534.739283,1.454155
177,396.732889,1.454155
178,381.058301,1.454155
179,379.268310,1.454155
180,479.434229,1.454155
181,504.408534,1.454155
182,506.189969,1.454155
183,454.607213,1.454155
184,506.778719,1.454155
185,517.289701,1.454155
186,544.139974,1.454155
187,397.862081,1.454155
188,496.121327,1.454155
189,359.377602,1.454155
190,399.798827,1.454155
191,433.225319,1.454155
192,375.253321,1.454155
193,386.114316,1.454155
194,465.826035,1.454155
195,397.789429,1.454155
196,502.045485,1.454155
197,492.949574,1.454155
198,530.393459,1.454155
199,547.377175,1.454155
200,373.825742,1.454155
201,346.691140,1.454155
202,386.163632,1.454155
203,499.834719,1.454155
204,502.677613,1.454155
205,447.416418,1.454155
206,372.669475,1.454155
207,514.394210,1.454155
208,395.743135,1.454155
209,465.391173,1.454155
210,456.286510,1.454155
211,519.043857,1.454155
212,544.775350,1.454155
213,504.780705,1.454155
214,447.366697,1.454155
215,358.777161,1.454155
216,464.434832,1.454155
217,495.002124,1.454155
218,371.935880,1.454155
219,489.390358,1.454155
220,483.123045,1.454155
221,472.224664,1.454155
222,517.630723,1.454155
223,375.704432,1.454155
224,430.724190,1.454155
225,461.852009,1.454155
226,425.313098,1.454155
227,463.415719,1.454155
228,504.792321,1.454155
