id,eta_Te_SAEM,eta_p_SAEM
1,-0.167199,0.000000
2,-0.020653,0.000000
3,0.471287,0.000000
4,-0.097416,0.000000
5,0.339839,0.000000
6,0.574329,0.000000
7,0.013107,0.000000
8,-0.057701,0.000000
9,-0.065803,0.000000
10,-0.150754,0.000000
11,-0.252897,0.000000
12,0.167452,0.000000
13,0.227209,0.000000
14,-0.211155,0.000000
15,0.208957,0.000000
16,-0.138082,0.000000
17,0.153506,0.000000
18,0.252860,0.000000
19,-0.197337,0.000000
20,-0.199612,0.000000
21,-0.031823,0.000000
22,-0.155761,0.000000
23,0.155788,0.000000
24,0.025007,0.000000
25,0.008173,0.000000
26,0.081250,0.000000
27,0.090665,0.000000
28,-0.155627,0.000000
29,0.050268,0.000000
30,-0.127860,0.000000
31,0.126130,0.000000
32,-0.237545,0.000000
33,0.160979,0.000000
34,-0.138723,0.000000
35,-0.271253,0.000000
36,-0.172990,0.000000
37,0.258183,0.000000
38,0.499642,0.000000
39,-0.296503,0.000000
40,0.184875,0.000000
41,0.009825,0.000000
42,-0.178200,0.000000
43,0.027886,0.000000
44,-0.222363,0.000000
45,0.128573,0.000000
46,-0.168572,0.000000
47,-0.096583,0.000000
48,0.099278,0.000000
49,0.128863,0.000000
50,0.192093,0.000000
51,0.251275,0.000000
52,-0.159918,0.000000
53,-0.123255,0.000000
54,-0.051780,0.000000
55,0.180893,0.000000
56,-0.283822,0.000000
57,-0.275658,0.000000
58,-0.186341,0.000000
59,0.157272,0.000000
60,0.041784,0.000000
61,-0.032583,0.000000
62,-0.093137,0.000000
63,-0.100257,0.000000
64,-0.209247,0.000000
65,-0.108067,0.000000
66,-0.229694,0.000000
67,-0.046217,0.000000
68,0.416097,0.000000
69,0.028190,0.000000
70,-0.088044,0.000000
71,0.321558,0.000000
72,0.001447,0.000000
73,-0.272183,0.000000
74,-0.164187,0.000000
75,-0.093097,0.000000
76,0.068278,0.000000
77,0.240529,0.000000
78,-0.077469,0.000000
79,-0.277470,0.000000
80,-0.188317,0.000000
81,0.251413,0.000000
82,-0.256507,0.000000
83,0.004238,0.000000
84,-0.157716,0.000000
85,0.430453,0.000000
86,-0.058121,0.000000
87,0.138621,0.000000
88,-0.118590,0.000000
89,0.345805,0.000000
90,-0.178613,0.000000
91,0.127285,0.000000
92,-0.130863,0.000000
93,-0.315972,0.000000
94,-0.128578,0.000000
95,0.371466,0.000000
96,-0.178570,0.000000
97,-0.037359,0.000000
98,0.018476,0.000000
99,0.096203,0.000000
100,-0.136132,0.000000
101,0.284065,0.000000
102,-0.053315,0.000000
103,0.010809,0.000000
104,-0.163607,0.000000
105,-0.085608,0.000000
106,-0.169763,0.000000
107,0.360211,0.000000
108,-0.267358,0.000000
109,0.052210,0.000000
110,-0.045781,0.000000
111,-0.209136,0.000000
112,-0.206007,0.000000
113,-0.084321,0.000000
114,-0.177734,0.000000
115,0.028031,0.000000
116,-0.195205,0.000000
117,-0.082004,0.000000
118,0.153641,0.000000
119,-0.044509,0.000000
120,-0.002090,0.000000
121,0.005949,0.000000
122,-0.099284,0.000000
123,0.061027,0.000000
124,-0.190439,0.000000
125,0.107205,0.000000
126,-0.126145,0.000000
127,-0.192816,0.000000
128,-0.241878,0.000000
129,0.276663,0.000000
130,0.328746,0.000000
131,0.019641,0.000000
132,-0.148890,0.000000
133,0.010080,0.000000
134,0.245022,0.000000
135,-0.114018,0.000000
136,0.392969,0.000000
137,-0.069843,0.000000
138,-0.048193,0.000000
139,-0.052977,0.000000
140,0.045674,0.000000
141,-0.093370,0.000000
142,0.262325,0.000000
143,-0.097552,0.000000
144,-0.177062,0.000000
145,0.190852,0.000000
146,0.238714,0.000000
147,-0.067768,0.000000
148,-0.147394,0.000000
149,-0.264809,0.000000
150,-0.024750,0.000000
151,-0.106574,0.000000
152,0.216662,0.000000
153,0.196278,0.000000
154,-0.126117,0.000000
155,-0.195181,0.000000
156,-0.053181,0.000000
157,0.135051,0.000000
158,-0.063296,0.000000
159,-0.128171,0.000000
160,0.245099,0.000000
161,0.178284,0.000000
162,0.018132,0.000000
163,0.089414,0.000000
164,-0.132645,0.000000
165,0.100294,0.000000
166,0.118083,0.000000
167,-0.150061,0.000000
168,-0.023735,0.000000
169,-0.160210,0.000000
170,-0.120448,0.000000
171,0.138619,0.000000
172,0.004202,0.000000
173,-0.090314,0.000000
174,0.196437,0.000000
175,0.124611,0.000000
176,0.213145,0.000000
177,-0.098123,0.000000
178,-0.125965,0.000000
179,-0.169814,0.000000
180,0.091114,0.000000
181,0.130113,0.000000
182,0.145207,0.000000
183,0.026595,0.000000
184,0.140494,0.000000
185,0.160132,0.000000
186,0.177959,0.000000
187,-0.120713,0.000000
188,0.125681,0.000000
189,-0.232569,0.000000
190,-0.091848,0.000000
191,-0.021657,0.000000
192,-0.168414,0.000000
193,-0.164638,0.000000
194,0.061887,0.000000
