rep,id,eta_p0,eta_alpha,eta_tau
1,1,0.000000,-0.225578,0.383296
2,1,0.000000,-0.279039,0.397006
3,1,0.000000,-0.239062,0.388153
4,1,0.000000,-0.168665,0.349279
5,1,0.000000,-0.227132,0.409000
6,1,0.000000,-0.235949,0.456655
7,1,0.000000,-0.191781,0.456655
8,1,0.000000,-0.213740,0.456655
9,1,0.000000,-0.213740,0.456655
10,1,0.000000,-0.219713,0.381616
1,2,0.000000,0.196345,2.001506
2,2,0.000000,0.196345,2.030551
3,2,0.000000,0.196345,2.013084
4,2,0.000000,0.196345,2.013084
5,2,0.000000,0.196345,2.153579
6,2,0.000000,0.196345,2.153579
7,2,0.000000,0.196706,1.986220
8,2,0.000000,0.196706,1.986220
9,2,0.000000,0.196706,1.986220
10,2,0.000000,0.125776,1.826872
1,3,0.000000,-0.527140,2.833191
2,3,0.000000,-0.527140,2.833191
3,3,0.000000,-0.527140,3.125669
4,3,0.000000,-0.501429,2.949816
5,3,0.000000,-0.556257,3.085414
6,3,0.000000,-0.517578,3.107509
7,3,0.000000,-0.499400,2.724997
8,3,0.000000,-0.499400,2.724997
9,3,0.000000,-0.498574,2.556268
10,3,0.000000,-0.478411,2.795655
1,4,0.000000,0.258193,-8.737859
2,4,0.000000,0.258193,-8.829662
3,4,0.000000,0.262447,-8.829662
4,4,0.000000,0.289782,-8.922358
5,4,0.000000,0.171706,-9.270856
6,4,0.000000,0.171706,-9.270856
7,4,0.000000,0.193444,-9.003761
8,4,0.000000,0.219214,-8.838979
9,4,0.000000,0.220834,-8.801845
10,4,0.000000,0.220834,-8.950603
1,5,0.000000,-0.198256,5.028943
2,5,0.000000,-0.198256,4.876878
3,5,0.000000,-0.224581,4.876878
4,5,0.000000,-0.186794,4.876878
5,5,0.000000,-0.248016,5.105796
6,5,0.000000,-0.248016,5.105796
7,5,0.000000,-0.250222,4.849115
8,5,0.000000,-0.250222,4.849115
9,5,0.000000,-0.205729,5.243970
10,5,0.000000,-0.233671,5.338554
1,6,0.000000,0.630996,-11.937977
2,6,0.000000,0.630996,-11.896359
3,6,0.000000,0.630996,-11.896359
4,6,0.000000,0.626366,-12.045836
5,6,0.000000,0.678808,-11.642804
6,6,0.000000,0.682384,-11.553708
7,6,0.000000,0.682384,-11.333137
8,6,0.000000,0.708192,-11.336183
9,6,0.000000,0.760954,-11.349077
10,6,0.000000,0.773879,-10.945990
1,7,0.000000,0.089316,-8.549987
2,7,0.000000,0.068140,-8.549987
3,7,0.000000,0.053370,-8.549987
4,7,0.000000,0.112514,-8.553971
5,7,0.000000,0.112514,-8.553326
6,7,0.000000,0.107668,-8.553326
7,7,0.000000,0.067226,-8.948122
8,7,0.000000,0.067226,-8.350190
9,7,0.000000,0.131507,-8.529804
10,7,0.000000,0.125964,-8.202135
1,8,0.000000,0.126803,-13.169867
2,8,0.000000,0.126803,-13.169867
3,8,0.000000,0.124030,-13.163216
4,8,0.000000,0.110614,-12.911033
5,8,0.000000,0.114174,-13.104985
6,8,0.000000,0.101501,-12.978815
7,8,0.000000,0.150506,-13.099505
8,8,0.000000,0.161366,-12.835440
9,8,0.000000,0.034759,-12.883038
10,8,0.000000,0.055295,-12.791212
1,9,0.000000,0.228455,-7.820723
2,9,0.000000,0.177246,-7.820723
3,9,0.000000,0.214894,-7.746340
4,9,0.000000,0.214894,-7.791023
5,9,0.000000,0.239232,-7.729927
6,9,0.000000,0.191103,-7.776440
7,9,0.000000,0.151883,-7.898737
8,9,0.000000,0.192259,-7.892262
9,9,0.000000,0.140120,-8.065904
10,9,0.000000,0.140120,-8.065904
1,10,0.000000,-0.688706,6.895394
2,10,0.000000,-0.688706,6.895394
3,10,0.000000,-0.664229,6.180078
4,10,0.000000,-0.638765,7.054925
5,10,0.000000,-0.659077,6.794058
6,10,0.000000,-0.674787,6.951186
7,10,0.000000,-0.662990,6.951186
8,10,0.000000,-0.653999,7.033344
9,10,0.000000,-0.636246,6.461744
10,10,0.000000,-0.714592,6.640650
1,11,0.000000,0.842328,-7.006065
2,11,0.000000,0.810321,-7.006065
3,11,0.000000,0.828315,-6.973856
4,11,0.000000,0.800933,-6.770628
5,11,0.000000,0.869482,-6.770628
6,11,0.000000,0.800549,-7.049510
7,11,0.000000,0.804344,-7.239059
8,11,0.000000,0.879725,-7.207824
9,11,0.000000,0.858630,-7.038541
10,11,0.000000,0.773858,-7.038541
1,12,0.000000,-0.004431,3.931637
2,12,0.000000,0.048998,3.931637
3,12,0.000000,0.010911,4.592687
4,12,0.000000,0.015354,4.037697
5,12,0.000000,0.038455,3.786011
6,12,0.000000,0.004050,3.806424
7,12,0.000000,0.030302,3.973206
8,12,0.000000,-0.054812,3.925412
9,12,0.000000,-0.058363,4.238453
10,12,0.000000,-0.067866,3.847810
1,13,0.000000,0.431199,-1.357424
2,13,0.000000,0.431199,-1.357424
3,13,0.000000,0.431199,-1.357424
4,13,0.000000,0.431199,-1.357424
5,13,0.000000,0.431199,-1.357424
6,13,0.000000,0.431199,-1.401313
7,13,0.000000,0.431199,-1.401313
8,13,0.000000,0.431199,-1.401313
9,13,0.000000,0.431199,-1.401313
10,13,0.000000,0.431199,-1.401313
1,14,0.000000,0.751649,-4.198550
2,14,0.000000,0.751636,-4.097423
3,14,0.000000,0.736542,-3.969343
4,14,0.000000,0.775429,-3.810771
5,14,0.000000,0.777821,-3.653098
6,14,0.000000,0.810591,-3.990088
7,14,0.000000,0.812483,-3.920983
8,14,0.000000,0.806275,-3.638101
9,14,0.000000,0.806275,-3.838295
10,14,0.000000,0.806275,-3.838295
1,15,0.000000,0.293799,9.699398
2,15,0.000000,0.293799,9.699398
3,15,0.000000,0.314970,9.669869
4,15,0.000000,0.276958,9.783703
5,15,0.000000,0.318028,9.783703
6,15,0.000000,0.303512,9.671908
7,15,0.000000,0.280961,9.492692
8,15,0.000000,0.254813,9.565414
9,15,0.000000,0.267363,9.707419
10,15,0.000000,0.343205,9.897198
1,16,0.000000,-0.049876,-12.550508
2,16,0.000000,-0.049876,-12.550508
3,16,0.000000,-0.049876,-12.550508
4,16,0.000000,-0.049876,-12.406967
5,16,0.000000,-0.059769,-12.595223
6,16,0.000000,-0.049160,-12.797304
7,16,0.000000,-0.083193,-12.911034
8,16,0.000000,-0.083193,-12.911034
9,16,0.000000,-0.083193,-13.015620
10,16,0.000000,-0.083193,-13.015620
1,17,0.000000,0.219752,0.035359
2,17,0.000000,0.285108,-0.113170
3,17,0.000000,0.262304,0.059224
4,17,0.000000,0.262712,-0.059454
5,17,0.000000,0.262712,-0.059454
6,17,0.000000,0.262712,-0.059454
7,17,0.000000,0.285342,-0.059454
8,17,0.000000,0.285342,-0.059454
9,17,0.000000,0.255489,-0.034761
10,17,0.000000,0.257244,-0.040070
1,18,0.000000,-0.053256,-13.988176
2,18,0.000000,-0.014152,-13.769656
3,18,0.000000,-0.014152,-13.769656
4,18,0.000000,-0.014152,-13.769656
5,18,0.000000,0.046469,-13.554007
6,18,0.000000,-0.028423,-13.554007
7,18,0.000000,-0.036987,-13.861436
8,18,0.000000,-0.036987,-13.503526
9,18,0.000000,-0.053070,-13.762473
10,18,0.000000,-0.000029,-13.739936
1,19,0.000000,0.013529,4.494764
2,19,0.000000,0.054702,4.802702
3,19,0.000000,0.055016,4.864400
4,19,0.000000,0.084107,4.860495
5,19,0.000000,0.081129,4.909290
6,19,0.000000,0.013250,4.552472
7,19,0.000000,0.041934,4.940506
8,19,0.000000,0.075838,4.813737
9,19,0.000000,0.039110,4.537692
10,19,0.000000,0.032738,4.520801
1,20,0.000000,-0.002874,-7.051815
2,20,0.000000,-0.002874,-7.051815
3,20,0.000000,0.002411,-7.051815
4,20,0.000000,0.002411,-7.051815
5,20,0.000000,0.002411,-7.051815
6,20,0.000000,-0.021736,-7.051815
7,20,0.000000,-0.021736,-7.051815
8,20,0.000000,-0.021736,-7.051815
9,20,0.000000,-0.001642,-6.887188
10,20,0.000000,-0.026596,-7.170511
1,21,0.000000,0.021187,-5.045978
2,21,0.000000,0.061679,-5.375841
3,21,0.000000,0.063701,-4.951617
4,21,0.000000,0.073332,-4.889213
5,21,0.000000,0.084596,-4.910324
6,21,0.000000,0.084596,-4.910324
7,21,0.000000,0.120327,-5.133874
8,21,0.000000,0.120327,-4.616652
9,21,0.000000,0.130827,-5.037202
10,21,0.000000,0.130827,-4.725661
1,22,0.000000,-0.970323,9.156101
2,22,0.000000,-0.974772,9.034067
3,22,0.000000,-0.988032,9.098978
4,22,0.000000,-0.997629,9.357164
5,22,0.000000,-1.022813,10.253880
6,22,0.000000,-1.109974,10.512837
7,22,0.000000,-1.094107,10.356556
8,22,0.000000,-1.098441,10.691754
9,22,0.000000,-1.094182,11.351434
10,22,0.000000,-1.033946,11.147266
1,23,0.000000,-0.274183,-2.261562
2,23,0.000000,-0.310644,-2.145894
3,23,0.000000,-0.317532,-2.055513
4,23,0.000000,-0.279839,-2.248403
5,23,0.000000,-0.272760,-2.176303
6,23,0.000000,-0.286315,-2.176303
7,23,0.000000,-0.286315,-2.249364
8,23,0.000000,-0.328446,-2.421023
9,23,0.000000,-0.260697,-2.131976
10,23,0.000000,-0.343628,-2.405833
1,24,0.000000,-1.192522,9.990315
2,24,0.000000,-1.183134,10.976946
3,24,0.000000,-1.163832,9.608441
4,24,0.000000,-1.171432,10.063393
5,24,0.000000,-1.156126,10.063393
6,24,0.000000,-1.088237,9.419212
7,24,0.000000,-1.163121,10.258113
8,24,0.000000,-1.174667,9.137799
9,24,0.000000,-1.185250,9.897223
10,24,0.000000,-1.155990,9.116177
1,25,0.000000,-0.219698,3.605593
2,25,0.000000,-0.279570,3.605593
3,25,0.000000,-0.235310,3.624542
4,25,0.000000,-0.270298,3.835327
5,25,0.000000,-0.307672,4.196438
6,25,0.000000,-0.307672,3.453875
7,25,0.000000,-0.276972,4.201115
8,25,0.000000,-0.198804,3.919700
9,25,0.000000,-0.260571,3.996368
10,25,0.000000,-0.206020,3.719798
1,26,0.000000,0.639306,2.984275
2,26,0.000000,0.700909,2.984275
3,26,0.000000,0.716900,2.816828
4,26,0.000000,0.771459,2.632631
5,26,0.000000,0.845861,2.746662
6,26,0.000000,0.845861,2.746662
7,26,0.000000,0.722374,2.862404
8,26,0.000000,0.763055,3.025643
9,26,0.000000,0.694577,3.025643
10,26,0.000000,0.678393,3.091415
1,27,0.000000,-0.275155,-2.460288
2,27,0.000000,-0.275155,-2.460288
3,27,0.000000,-0.253335,-2.204767
4,27,0.000000,-0.299161,-2.658175
5,27,0.000000,-0.299161,-2.526471
6,27,0.000000,-0.338736,-2.443865
7,27,0.000000,-0.279743,-2.279169
8,27,0.000000,-0.277763,-2.279169
9,27,0.000000,-0.277319,-2.374021
10,27,0.000000,-0.332673,-2.622383
1,28,0.000000,0.247333,0.249890
2,28,0.000000,0.249576,0.204626
3,28,0.000000,0.247683,0.263098
4,28,0.000000,0.247621,0.120014
5,28,0.000000,0.247621,0.186088
6,28,0.000000,0.246766,0.114570
7,28,0.000000,0.246766,0.261340
8,28,0.000000,0.243632,0.261340
9,28,0.000000,0.243632,0.261340
10,28,0.000000,0.243632,0.093566
1,29,0.000000,0.608098,6.529972
2,29,0.000000,0.608098,6.529972
3,29,0.000000,0.595213,6.496507
4,29,0.000000,0.595213,6.496507
5,29,0.000000,0.595213,6.496507
6,29,0.000000,0.621106,6.496507
7,29,0.000000,0.621106,6.555320
8,29,0.000000,0.621106,6.555320
9,29,0.000000,0.621106,6.555320
10,29,0.000000,0.621106,6.555320
1,30,0.000000,-0.414803,-3.063316
2,30,0.000000,-0.414803,-3.063316
3,30,0.000000,-0.420628,-3.129875
4,30,0.000000,-0.421776,-3.129875
5,30,0.000000,-0.373284,-2.878405
6,30,0.000000,-0.400898,-2.685870
7,30,0.000000,-0.400898,-3.090026
8,30,0.000000,-0.407356,-2.843830
9,30,0.000000,-0.375265,-3.006477
10,30,0.000000,-0.388858,-2.763312
1,31,0.000000,0.504866,-7.480135
2,31,0.000000,0.478535,-7.300076
3,31,0.000000,0.498923,-7.188275
4,31,0.000000,0.510040,-7.267268
5,31,0.000000,0.459822,-7.267268
6,31,0.000000,0.459822,-7.668801
7,31,0.000000,0.457014,-7.481636
8,31,0.000000,0.493841,-7.359249
9,31,0.000000,0.493841,-7.359249
10,31,0.000000,0.481273,-7.395635
1,32,0.000000,0.353698,0.729152
2,32,0.000000,0.323007,0.628797
3,32,0.000000,0.453343,0.633411
4,32,0.000000,0.344981,0.713655
5,32,0.000000,0.361852,0.713655
6,32,0.000000,0.329970,0.713655
7,32,0.000000,0.352269,0.598471
8,32,0.000000,0.323133,0.718075
9,32,0.000000,0.374606,0.480269
10,32,0.000000,0.374606,0.480269
1,33,0.000000,-0.252440,2.120109
2,33,0.000000,-0.324264,2.257159
3,33,0.000000,-0.324264,2.280384
4,33,0.000000,-0.238418,2.335061
5,33,0.000000,-0.260189,1.859151
6,33,0.000000,-0.244275,1.775587
7,33,0.000000,-0.208850,1.753039
8,33,0.000000,-0.219579,1.595731
9,33,0.000000,-0.219579,1.674809
10,33,0.000000,-0.192970,1.984314
1,34,0.000000,0.154426,-4.823281
2,34,0.000000,0.154426,-4.823281
3,34,0.000000,0.154426,-4.805638
4,34,0.000000,0.144008,-4.820408
5,34,0.000000,0.144008,-5.147920
6,34,0.000000,0.144008,-4.731364
7,34,0.000000,0.155432,-4.617180
8,34,0.000000,0.126808,-4.774026
9,34,0.000000,0.126808,-4.744665
10,34,0.000000,0.126808,-4.744665
1,35,0.000000,0.064153,1.981755
2,35,0.000000,0.146011,1.935018
3,35,0.000000,0.162428,1.890212
4,35,0.000000,0.094393,2.211799
5,35,0.000000,0.081094,1.873480
6,35,0.000000,0.096877,1.737571
7,35,0.000000,0.123715,1.829252
