id,eta_p0_SAEM,eta_alpha_SAEM,eta_tau_SAEM,eta_p0_mean,eta_alpha_mean,eta_tau_mean,eta_p0_sd,eta_alpha_sd,eta_tau_sd
1,0.000000,-0.212302,0.245751,0.000000,-0.218696,0.271610,0.000000,0.039980,0.165493
2,0.000000,0.203599,2.210678,0.000000,0.204503,2.254284,0.000000,0.028355,0.139827
3,0.000000,-0.513803,2.382030,0.000000,-0.512417,2.423957,0.000000,0.041147,0.229202
4,0.000000,0.240353,-8.741838,0.000000,0.232693,-8.752431,0.000000,0.026063,0.150346
5,0.000000,-0.191777,4.923614,0.000000,-0.189030,4.960537,0.000000,0.029990,0.180220
6,0.000000,0.666447,-11.370154,0.000000,0.661912,-11.365961,0.000000,0.042561,0.300224
7,0.000000,0.090194,-8.487776,0.000000,0.093427,-8.407268,0.000000,0.023342,0.140184
8,0.000000,0.106982,-12.953466,0.000000,0.102887,-12.911755,0.000000,0.023931,0.185620
9,0.000000,0.209196,-7.631958,0.000000,0.201324,-7.651409,0.000000,0.027753,0.128574
10,0.000000,-0.633468,5.860915,0.000000,-0.632593,5.878229,0.000000,0.036940,0.237847
11,0.000000,0.819698,-6.414673,0.000000,0.826104,-6.424435,0.000000,0.061317,0.173213
12,0.000000,0.022912,4.090918,0.000000,0.015622,4.104318,0.000000,0.034357,0.173469
13,0.000000,0.441383,-1.110730,0.000000,0.441132,-1.090657,0.000000,0.019549,0.083931
14,0.000000,0.781298,-3.443663,0.000000,0.774968,-3.437982,0.000000,0.027272,0.130993
15,0.000000,0.322809,9.873731,0.000000,0.313876,9.911494,0.000000,0.056696,0.109142
16,0.000000,-0.048054,-12.698589,0.000000,-0.057902,-12.743667,0.000000,0.028401,0.209035
17,0.000000,0.280362,0.149756,0.000000,0.281859,0.169725,0.000000,0.023642,0.127857
18,0.000000,-0.002100,-13.693054,0.000000,-0.004380,-13.657059,0.000000,0.024621,0.200942
19,0.000000,0.066544,4.714385,0.000000,0.064026,4.749614,0.000000,0.023417,0.135115
20,0.000000,-0.003659,-7.059866,0.000000,-0.002129,-6.985164,0.000000,0.022193,0.178859
21,0.000000,0.089269,-5.032840,0.000000,0.093084,-4.984847,0.000000,0.029571,0.208424
22,0.000000,-0.935870,7.808262,0.000000,-0.943864,7.982793,0.000000,0.078512,0.716485
23,0.000000,-0.295412,-2.607581,0.000000,-0.283430,-2.518162,0.000000,0.029441,0.214142
24,0.000000,-1.195638,8.380143,0.000000,-1.192633,8.477674,0.000000,0.058179,0.609427
25,0.000000,-0.223324,3.515722,0.000000,-0.226830,3.537266,0.000000,0.062853,0.222547
26,0.000000,0.635285,3.636337,0.000000,0.662055,3.586665,0.000000,0.108857,0.305981
27,0.000000,-0.294942,-2.827569,0.000000,-0.298934,-2.778649,0.000000,0.026698,0.238611
28,0.000000,0.273832,0.541812,0.000000,0.265980,0.509211,0.000000,0.022689,0.166143
29,0.000000,0.628731,6.952393,0.000000,0.622847,6.950361,0.000000,0.028120,0.084651
30,0.000000,-0.404692,-3.413992,0.000000,-0.416095,-3.494239,0.000000,0.024223,0.265798
31,0.000000,0.511711,-7.060213,0.000000,0.502615,-7.071267,0.000000,0.032386,0.104295
32,0.000000,0.374757,0.987382,0.000000,0.372346,1.023911,0.000000,0.030391,0.162032
33,0.000000,-0.223257,1.754189,0.000000,-0.255317,1.919176,0.000000,0.068076,0.343320
34,0.000000,0.148985,-4.740858,0.000000,0.144728,-4.719292,0.000000,0.019505,0.106353
35,0.000000,0.136042,2.047169,0.000000,0.136040,2.060089,0.000000,0.033937,0.111029
36,0.000000,-0.035598,-3.245424,0.000000,-0.036136,-3.246824,0.000000,0.024375,0.189480
37,0.000000,-0.343614,-7.546037,0.000000,-0.342380,-7.465086,0.000000,0.038152,0.298389
38,0.000000,0.625617,-4.168977,0.000000,0.618867,-4.215390,0.000000,0.037296,0.329048
39,0.000000,-0.068622,1.096988,0.000000,-0.069979,1.157333,0.000000,0.023321,0.208737
40,0.000000,0.615545,-6.329052,0.000000,0.610113,-6.311948,0.000000,0.022433,0.077090
41,0.000000,-0.320633,-1.615620,0.000000,-0.331776,-1.594990,0.000000,0.036307,0.170112
42,0.000000,0.921925,-1.887870,0.000000,0.919392,-1.864786,0.000000,0.019985,0.063735
43,0.000000,0.464582,0.238255,0.000000,0.463031,0.228948,0.000000,0.033097,0.132408
44,0.000000,0.106205,-11.350598,0.000000,0.119376,-11.207473,0.000000,0.033151,0.235981
45,0.000000,0.488972,-0.190660,0.000000,0.492859,-0.143654,0.000000,0.035212,0.144699
46,0.000000,0.168048,-3.844922,0.000000,0.165018,-3.842920,0.000000,0.022239,0.150698
47,0.000000,0.439778,-0.199945,0.000000,0.434651,-0.191163,0.000000,0.018938,0.075020
48,0.000000,-0.330643,3.717391,0.000000,-0.335834,3.711635,0.000000,0.023469,0.179007
49,0.000000,0.395544,3.686816,0.000000,0.402337,3.700477,0.000000,0.092579,0.130854
50,0.000000,0.579836,0.120478,0.000000,0.579444,0.143189,0.000000,0.019547,0.133498
51,0.000000,0.103226,-2.882578,0.000000,0.099459,-2.857930,0.000000,0.021888,0.131551
52,0.000000,0.415600,-4.756217,0.000000,0.416484,-4.709832,0.000000,0.019526,0.103895
53,0.000000,0.388150,-4.760826,0.000000,0.361715,-4.938884,0.000000,0.103714,0.771765
54,0.000000,-0.052946,2.451227,0.000000,-0.049545,2.496647,0.000000,0.025293,0.163796
55,0.000000,0.645062,-7.675442,0.000000,0.637364,-7.673312,0.000000,0.020780,0.086806
56,0.000000,0.511568,0.430053,0.000000,0.513037,0.456429,0.000000,0.033912,0.327097
57,0.000000,0.069318,-0.439320,0.000000,0.058304,-0.465355,0.000000,0.025328,0.165344
58,0.000000,-0.517007,-9.394663,0.000000,-0.522497,-9.386425,0.000000,0.026575,0.266800
59,0.000000,0.142510,6.419285,0.000000,0.140564,6.440803,0.000000,0.026606,0.176077
60,0.000000,0.659892,1.005731,0.000000,0.661131,1.027265,0.000000,0.031916,0.153679
61,0.000000,0.575929,-7.298696,0.000000,0.574350,-7.263764,0.000000,0.034188,0.076303
62,0.000000,0.813419,10.582672,0.000000,0.808888,10.591786,0.000000,0.035473,0.099339
63,0.000000,-0.614518,-5.774350,0.000000,-0.620109,-5.780714,0.000000,0.025221,0.288769
64,0.000000,0.059146,1.191574,0.000000,0.054562,1.182585,0.000000,0.024607,0.162233
65,0.000000,0.054595,8.207520,0.000000,0.057048,8.274787,0.000000,0.023597,0.120892
66,0.000000,0.616035,0.239860,0.000000,0.599096,0.167462,0.000000,0.025583,0.148638
67,0.000000,-0.225749,18.095194,0.000000,-0.032966,15.879895,0.000000,0.219319,2.711282
68,0.000000,-0.442199,4.524429,0.000000,-0.445575,4.506128,0.000000,0.034903,0.245983
69,0.000000,-0.218507,5.288499,0.000000,-0.221976,5.313662,0.000000,0.038129,0.203796
70,0.000000,-0.525148,4.820319,0.000000,-0.526667,4.880525,0.000000,0.028882,0.224217
71,0.000000,-0.861371,6.329912,0.000000,-0.866137,6.349205,0.000000,0.055723,0.357840
72,0.000000,-0.751055,-2.594380,0.000000,-0.741019,-2.552665,0.000000,0.038269,0.231933
73,0.000000,0.099829,-1.208712,0.000000,0.098431,-1.183874,0.000000,0.030369,0.213345
74,0.000000,0.230546,4.748101,0.000000,0.232947,4.785085,0.000000,0.033480,0.084376
75,0.000000,-0.649413,0.456425,0.000000,-0.656104,0.503281,0.000000,0.039826,0.202109
76,0.000000,0.081517,2.838449,0.000000,0.069529,2.934060,0.000000,0.114286,0.680553
77,0.000000,0.271289,-8.422780,0.000000,0.268304,-8.407305,0.000000,0.022542,0.170111
78,0.000000,0.589147,4.458560,0.000000,0.584291,4.461437,0.000000,0.034487,0.163728
79,0.000000,-0.412556,-3.066534,0.000000,-0.415898,-3.044162,0.000000,0.022258,0.185299
80,0.000000,0.077277,18.732202,0.000000,0.458281,14.122842,0.000000,0.320845,3.474731
81,0.000000,-0.377804,-7.222898,0.000000,-0.401654,-7.389645,0.000000,0.051228,0.419138
82,0.000000,-0.262187,0.393542,0.000000,-0.267055,0.434575,0.000000,0.045967,0.206209
83,0.000000,-0.166216,-0.548159,0.000000,-0.205663,-0.348193,0.000000,0.102121,0.477671
84,0.000000,-0.366812,-6.542778,0.000000,-0.358608,-6.427219,0.000000,0.052009,0.400924
85,0.000000,-1.013890,0.583311,0.000000,-1.010435,0.595346,0.000000,0.123286,0.275965
86,0.000000,0.294561,3.512914,0.000000,0.294917,3.550209,0.000000,0.023974,0.144872
87,0.000000,0.621964,-7.982787,0.000000,0.624487,-7.927147,0.000000,0.034372,0.091379
88,0.000000,-0.055621,-1.100179,0.000000,-0.048509,-1.019996,0.000000,0.033875,0.297701
89,0.000000,-0.048554,-13.012425,0.000000,-0.048075,-12.968326,0.000000,0.017959,0.141512
90,0.000000,0.379563,7.031307,0.000000,0.368169,7.076558,0.000000,0.049061,0.135285
91,0.000000,-0.146571,8.775824,0.000000,-0.036642,7.639776,0.000000,0.123947,1.166610
92,0.000000,-0.454425,-8.259600,0.000000,-0.461545,-8.261692,0.000000,0.028647,0.201160
93,0.000000,-0.109910,-9.656739,0.000000,-0.128295,-9.804497,0.000000,0.030855,0.288244
94,0.000000,0.052309,8.271382,0.000000,0.049849,8.273700,0.000000,0.054154,0.235260
95,0.000000,-0.107124,-6.741744,0.000000,-0.102385,-6.700998,0.000000,0.023786,0.177178
96,0.000000,0.210067,-4.337358,0.000000,0.218002,-4.189508,0.000000,0.033517,0.319869
97,0.000000,0.026768,0.722848,0.000000,0.026614,0.756235,0.000000,0.033606,0.186187
98,0.000000,0.431408,-8.280866,0.000000,0.416426,-8.348078,0.000000,0.028970,0.155741
99,0.000000,-0.092729,6.107808,0.000000,-0.086154,6.139072,0.000000,0.059829,0.344430
100,0.000000,0.368317,-3.181038,0.000000,0.366635,-3.163362,0.000000,0.028167,0.118816
101,0.000000,0.618487,-4.057603,0.000000,0.629147,-4.002274,0.000000,0.034397,0.100891
