id,p0_SAEM,alpha_SAEM,tau_SAEM,p0_mean,alpha_mean,tau_mean,p0_sd,alpha_sd,tau_sd
1,0.186410,0.021888,67.558521,0.186463,0.021807,67.534485,0.000000,0.000804,0.241118
2,0.186451,0.033150,70.854033,0.186516,0.033150,70.855180,0.000000,0.000866,0.186832
3,0.186460,0.016230,68.297354,0.186461,0.016077,68.292685,0.000000,0.000625,0.271764
4,0.186433,0.034165,59.947764,0.186557,0.034242,59.960386,0.000000,0.001012,0.221983
5,0.186495,0.022333,72.292282,0.186604,0.022288,72.291680,0.000000,0.000598,0.227213
6,0.186388,0.053987,58.417423,0.185990,0.052393,58.167280,0.000000,0.002539,0.403144
7,0.186448,0.029718,59.881172,0.186443,0.029564,59.839630,0.000000,0.000675,0.177687
8,0.186473,0.029943,55.406282,0.186372,0.030046,55.432441,0.000000,0.000741,0.194954
9,0.186531,0.033100,60.946818,0.186446,0.033334,60.993796,0.000000,0.000922,0.186712
10,0.186487,0.014402,71.089604,0.185964,0.014321,71.039811,0.000000,0.000550,0.297926
11,0.186555,0.061130,63.397343,0.186457,0.061521,63.377972,0.000000,0.004120,0.147780
12,0.186383,0.027388,72.191325,0.186454,0.027395,72.157121,0.000000,0.000920,0.202955
13,0.186465,0.042099,68.065581,0.186286,0.042032,68.062732,0.000000,0.000842,0.101771
14,0.186448,0.058871,66.280783,0.186633,0.058908,66.300799,0.000000,0.001593,0.157453
15,0.186506,0.037443,78.797079,0.185761,0.036846,78.737268,0.000000,0.002027,0.196354
16,0.186473,0.025550,55.103497,0.186022,0.025506,55.083033,0.000000,0.000575,0.246287
17,0.186410,0.035581,68.922223,0.186356,0.035831,68.965507,0.000000,0.000815,0.143829
18,0.186444,0.026698,54.274023,0.187320,0.027106,54.386813,0.000000,0.000696,0.266846
19,0.186414,0.028850,72.965950,0.186980,0.028867,72.969799,0.000000,0.000566,0.160681
20,0.186484,0.026912,60.976210,0.185843,0.026861,60.960465,0.000000,0.000688,0.280781
21,0.186480,0.029521,63.259030,0.186478,0.029486,63.255042,0.000000,0.001003,0.284266
22,0.186416,0.010559,70.857632,0.186567,0.010355,70.986766,0.000000,0.000849,0.448061
23,0.186555,0.020551,64.565784,0.186426,0.020366,64.460335,0.000000,0.000550,0.314724
24,0.186415,0.008083,68.987065,0.186459,0.008158,69.130562,0.000000,0.000458,0.485471
25,0.186420,0.021338,70.708780,0.186832,0.021449,70.746035,0.000000,0.001276,0.290453
26,0.186343,0.051816,73.129995,0.186533,0.050773,73.166795,0.000000,0.005353,0.156178
27,0.186447,0.019937,64.030902,0.186334,0.020061,64.121070,0.000000,0.000539,0.314052
28,0.186360,0.035514,69.341675,0.186521,0.035442,69.314611,0.000000,0.000773,0.198030
29,0.186368,0.050098,76.409918,0.186215,0.050736,76.463087,0.000000,0.001347,0.106489
30,0.186346,0.017968,63.004407,0.185522,0.017848,62.890778,0.000000,0.000399,0.327031
31,0.186517,0.044790,62.198263,0.187381,0.045280,62.270434,0.000000,0.001400,0.154541
32,0.186270,0.039214,70.020776,0.186283,0.039250,70.023474,0.000000,0.001166,0.185630
33,0.186505,0.020964,68.980211,0.186492,0.021164,69.025192,0.000000,0.001592,0.261762
