rep,id,p0,alpha,tau
1,1,0.186457,0.021165,66.980344
2,1,0.186457,0.021194,67.571450
3,1,0.186457,0.022838,68.006222
4,1,0.186457,0.020545,67.515920
5,1,0.186457,0.021316,67.515920
6,1,0.186457,0.021316,67.586817
7,1,0.186457,0.022186,67.600169
8,1,0.186457,0.022186,67.645009
9,1,0.186457,0.022186,67.645009
10,1,0.186457,0.022186,67.639916
1,2,0.186516,0.033728,71.020018
2,2,0.186516,0.033506,70.819856
3,2,0.186516,0.033201,70.819856
4,2,0.186516,0.033201,70.819856
5,2,0.186516,0.032481,70.718876
6,2,0.186516,0.032481,70.781160
7,2,0.186516,0.033466,70.781160
8,2,0.186516,0.032696,70.638146
9,2,0.186516,0.032696,70.638146
10,2,0.186516,0.032696,70.638146
1,3,0.186457,0.015827,68.104724
2,3,0.186457,0.015830,68.172107
3,3,0.186457,0.015648,68.073216
4,3,0.186457,0.016777,68.397613
5,3,0.186457,0.016458,68.484234
6,3,0.186457,0.016264,68.402331
7,3,0.186457,0.016200,68.678633
8,3,0.186457,0.016572,68.892051
9,3,0.186457,0.017488,68.614864
10,3,0.186457,0.015981,68.614864
1,4,0.186457,0.033060,59.546687
2,4,0.186457,0.033284,59.646424
3,4,0.186457,0.033140,59.837141
4,4,0.186457,0.033254,59.837141
5,4,0.186457,0.033686,59.809673
6,4,0.186457,0.033686,59.787064
7,4,0.186457,0.033930,59.787064
8,4,0.186457,0.033930,59.787064
9,4,0.186457,0.033765,59.787064
10,4,0.186457,0.034000,59.849315
1,5,0.186457,0.023522,72.578480
2,5,0.186457,0.022668,72.578480
3,5,0.186457,0.021953,71.937199
4,5,0.186457,0.021488,71.958239
5,5,0.186457,0.022069,72.426943
6,5,0.186457,0.023096,72.498687
7,5,0.186457,0.022427,72.514528
8,5,0.186457,0.022460,72.358444
9,5,0.186457,0.021768,72.273081
10,5,0.186457,0.022512,72.867241
1,6,0.185990,0.053710,58.421706
2,6,0.185990,0.053710,58.421706
3,6,0.185990,0.053710,58.421706
4,6,0.185990,0.050744,58.095403
5,6,0.185990,0.050744,58.095403
6,6,0.185990,0.049734,57.840628
7,6,0.185990,0.051343,57.781396
8,6,0.185990,0.051235,58.062550
9,6,0.185990,0.050089,57.884280
10,6,0.185990,0.049166,57.612467
1,7,0.186457,0.030998,60.173437
2,7,0.186457,0.030608,60.173437
3,7,0.186457,0.030608,60.114185
4,7,0.186457,0.030143,59.913881
5,7,0.186457,0.029711,60.052043
6,7,0.186457,0.029847,60.016230
7,7,0.186457,0.029847,60.016230
8,7,0.186457,0.029372,59.637128
9,7,0.186457,0.029447,60.086626
10,7,0.186457,0.029769,60.065821
1,8,0.186457,0.030492,55.368822
2,8,0.186457,0.030492,55.426431
3,8,0.186457,0.029651,55.426431
4,8,0.186457,0.030173,55.426431
5,8,0.186457,0.031108,55.573043
6,8,0.186457,0.030740,55.573043
7,8,0.186457,0.029424,55.341857
8,8,0.186457,0.029989,55.602583
9,8,0.186457,0.030816,55.454641
10,8,0.186457,0.030533,55.454641
1,9,0.186457,0.032417,60.874042
2,9,0.186457,0.031839,60.775573
3,9,0.186457,0.032618,60.924872
4,9,0.186457,0.032618,60.924872
5,9,0.186457,0.032618,60.801898
6,9,0.186457,0.032355,60.801898
7,9,0.186457,0.032355,60.868939
8,9,0.186457,0.032355,60.868939
9,9,0.186457,0.033078,60.941040
10,9,0.186457,0.035030,61.288669
1,10,0.186457,0.014481,71.284891
2,10,0.186457,0.014392,71.244330
3,10,0.186457,0.014392,71.398848
4,10,0.186457,0.014943,71.352168
5,10,0.186457,0.014778,71.598134
6,10,0.186457,0.014650,71.341553
7,10,0.186457,0.013881,71.288506
8,10,0.186457,0.014661,70.810503
9,10,0.186457,0.013996,71.266864
10,10,0.186457,0.014785,71.260501
1,11,0.186457,0.057542,63.530664
2,11,0.186457,0.061783,63.508011
3,11,0.186457,0.061820,63.451147
4,11,0.186457,0.061710,63.451147
5,11,0.186457,0.059167,63.626073
6,11,0.186457,0.058328,63.382317
7,11,0.186457,0.068741,63.165182
8,11,0.186457,0.068741,63.284303
9,11,0.186457,0.072729,63.284303
10,11,0.186457,0.072729,63.284303
1,12,0.186457,0.027063,72.090061
2,12,0.186457,0.026418,71.730763
3,12,0.186457,0.026418,72.433541
4,12,0.186457,0.026462,72.145645
5,12,0.186457,0.026989,72.382917
6,12,0.186457,0.026332,72.280882
7,12,0.186457,0.028291,72.345579
8,12,0.186457,0.027666,72.159955
9,12,0.186457,0.027738,72.222313
10,12,0.186457,0.028357,72.222313
1,13,0.186286,0.040394,67.801303
2,13,0.186286,0.041010,67.973414
3,13,0.186286,0.041290,67.907287
