id,importanceSampling
1,-24.469
2,-23.759
3,-36.833
4,-17.725
5,-34.573
6,-34.761
7,-31.843
8,-39.881
9,-20.174
10,-35.037
11,-17.095
12,-37.211
13,-35.414
14,-39.570
15,-49.062
16,-36.714
17,-48.024
18,-17.112
19,-37.859
20,-30.280
21,-29.628
22,-20.262
23,-31.764
24,-31.094
25,-22.439
26,-26.688
27,-22.640
28,-24.743
29,-43.877
30,-34.960
31,-14.707
32,-16.687
33,-22.654
34,-44.988
35,-45.723
36,-18.696
37,-41.351
38,-9.434
39,-21.677
40,-37.405
41,-30.281
42,-20.117
43,-25.483
44,-37.400
45,-42.305
46,-46.639
47,-36.115
48,-45.295
49,-24.252
50,-31.784
51,-42.928
52,-31.557
53,-20.958
54,-36.711
55,-35.184
56,-22.228
57,-24.730
58,-17.376
59,-42.980
60,-27.118
61,-39.193
62,-32.994
63,-26.889
64,-39.965
65,-44.133
66,-43.064
67,-44.415
68,-35.379
69,-22.735
70,-40.483
71,-35.671
72,-27.124
73,-20.655
74,-34.992
75,-34.474
76,-37.512
77,-42.250
78,-16.670
79,-40.722
80,-25.744
81,-27.415
82,-22.048
83,-35.936
84,-21.428
85,-34.802
86,-38.773
87,-16.453
88,-26.490
89,-45.406
90,-21.939
91,-38.131
92,-27.707
93,-32.145
94,-38.286
95,-39.386
96,-29.410
97,-21.108
98,-44.465
99,-29.473
100,-21.763
101,-29.549
102,-31.003
103,-50.980
104,-41.693
105,-37.773
106,-35.062
107,-17.442
108,-41.712
109,-12.943
110,-20.765
111,-10.887
112,-37.679
113,-32.801
114,-35.860
115,-22.798
116,-26.088
117,-44.527
118,-20.893
119,-14.200
120,-45.020
121,-17.827
122,-16.185
123,-41.154
124,-22.504
125,-21.452
126,-47.892
127,-35.442
128,-16.225
129,-20.602
130,-31.304
131,-19.353
132,-18.436
133,-47.359
134,-36.004
135,-26.926
136,-24.894
137,-21.808
138,-28.158
139,-22.761
140,-40.500
141,-24.971
142,-25.051
143,-31.109
144,-27.157
145,-21.122
146,-19.438
147,-17.822
148,-15.067
149,-37.081
150,-22.760
151,-46.321
152,-42.043
153,-34.015
154,-19.634
155,-20.384
156,-39.845
157,-36.027
158,-35.758
159,-31.099
160,-36.272
161,-20.199
162,-19.488
163,-21.150
164,-43.670
165,-28.068
166,-35.999
167,-16.208
168,-51.154
169,-33.097
170,-46.628
171,-41.575
172,-32.530
173,-26.130
174,-48.743
175,-49.899
176,-24.054
177,-28.021
178,-19.744
179,-34.044
180,-40.825
181,-26.179
182,-41.705
183,-22.400
184,-39.495
185,-36.250
186,-50.568
187,-27.929
188,-17.917
189,-33.779
190,-25.456
191,-32.613
192,-35.291
193,-44.012
194,-49.137
195,-35.449
196,-35.450
197,-35.134
198,-34.550
199,-38.319
200,-34.318
201,-46.709
202,-44.163
203,-44.549
204,-39.902
205,-17.465
206,-29.178
207,-20.683
208,-50.769
209,-25.156
210,-32.803
211,-19.269
212,-23.296
213,-38.677
214,-32.474
215,-24.783
216,-28.088
217,-24.324
218,-31.930
219,-36.066
220,-41.861
221,-27.640
222,-24.550
223,-43.897
224,-39.298
225,-25.903
226,-27.039
227,-38.705
228,-49.832
229,-46.649
230,-30.315
231,-21.300
232,-33.637
233,-33.869
234,-33.660
235,-26.463
236,-48.691
237,-32.550
238,-29.684
239,-34.217
240,-44.237
241,-17.760
242,-47.230
243,-34.629
244,-30.920
245,-23.981
246,-20.985
247,-44.122
248,-38.323
249,-45.834
250,-40.425
