id,eta_p0_SAEM,eta_alpha_SAEM,eta_tau_SAEM,eta_p0_mean,eta_alpha_mean,eta_tau_mean,eta_p0_sd,eta_alpha_sd,eta_tau_sd
1,0.000000,-0.221283,0.314562,0.000000,-0.219972,0.321826,0.000000,0.036951,0.173770
2,0.000000,0.191210,2.473419,0.000000,0.194385,2.477919,0.000000,0.026578,0.148671
3,0.000000,-0.525254,2.219936,0.000000,-0.519320,2.195296,0.000000,0.038988,0.231672
4,0.000000,0.225145,-8.481200,0.000000,0.230634,-8.449766,0.000000,0.025381,0.141747
5,0.000000,-0.203441,4.934693,0.000000,-0.202825,4.922631,0.000000,0.030076,0.210309
6,0.000000,0.657097,-10.933003,0.000000,0.642783,-11.050741,0.000000,0.040725,0.291451
7,0.000000,0.083071,-8.248703,0.000000,0.090366,-8.193322,0.000000,0.021541,0.134640
8,0.000000,0.100510,-12.683809,0.000000,0.095259,-12.720665,0.000000,0.022631,0.190800
9,0.000000,0.198844,-7.368731,0.000000,0.189050,-7.492988,0.000000,0.027441,0.141416
10,0.000000,-0.636087,5.525721,0.000000,-0.640145,5.476963,0.000000,0.042394,0.233860
11,0.000000,0.812877,-5.920316,0.000000,0.813846,-5.920905,0.000000,0.054577,0.173340
12,0.000000,0.013758,4.281831,0.000000,0.006770,4.218557,0.000000,0.035934,0.178520
13,0.000000,0.434545,-0.736683,0.000000,0.439967,-0.706749,0.000000,0.019366,0.087730
14,0.000000,0.772295,-2.954984,0.000000,0.767786,-3.013705,0.000000,0.025984,0.139932
15,0.000000,0.300708,10.193370,0.000000,0.307822,10.201406,0.000000,0.053274,0.113929
16,0.000000,-0.061695,-12.598941,0.000000,-0.067884,-12.700937,0.000000,0.026767,0.221745
17,0.000000,0.272025,0.446936,0.000000,0.272658,0.458824,0.000000,0.022205,0.119735
18,0.000000,-0.015451,-13.558240,0.000000,-0.018306,-13.612033,0.000000,0.023697,0.196676
19,0.000000,0.056331,4.919701,0.000000,0.053375,4.893446,0.000000,0.023799,0.140413
20,0.000000,-0.009534,-6.859033,0.000000,-0.010982,-6.893804,0.000000,0.023554,0.207783
