rep,id,p0,alpha,tau
1,1,0.266866,0.027769,70.508887
2,1,0.266866,0.025715,71.031206
3,1,0.266866,0.026969,70.450439
4,1,0.266866,0.028058,70.687362
5,1,0.266866,0.028468,70.580935
6,1,0.266866,0.027970,70.744146
7,1,0.266866,0.027469,70.853580
8,1,0.266866,0.027469,70.853580
9,1,0.266866,0.027469,70.720640
10,1,0.266866,0.028800,70.714721
1,2,0.266866,0.042876,72.899320
2,2,0.266866,0.042876,72.899320
3,2,0.266866,0.042247,72.771537
4,2,0.266866,0.040561,72.803583
5,2,0.266866,0.040621,72.803583
6,2,0.266866,0.044111,73.099682
7,2,0.266866,0.044111,73.099682
8,2,0.266866,0.043218,73.030461
9,2,0.266866,0.043218,73.030461
10,2,0.266866,0.044312,73.030461
1,3,0.266866,0.020464,72.207749
2,3,0.266866,0.020662,72.722468
3,3,0.266866,0.021732,72.533892
4,3,0.266866,0.020893,72.682467
5,3,0.266866,0.021478,72.768759
6,3,0.266866,0.021829,72.563045
7,3,0.266866,0.021608,72.941249
8,3,0.266866,0.021608,72.699596
9,3,0.266866,0.021151,73.068659
10,3,0.266866,0.021209,72.742524
1,4,0.266866,0.046467,62.441780
2,4,0.266866,0.046467,62.328550
3,4,0.266866,0.046467,62.202228
4,4,0.266866,0.045847,62.202228
5,4,0.266866,0.045847,62.202228
6,4,0.266866,0.045847,62.202228
7,4,0.266866,0.045202,61.935891
8,4,0.266866,0.045202,61.935891
9,4,0.266866,0.042532,61.900607
10,4,0.266866,0.043751,62.014732
1,5,0.266866,0.028877,75.495156
2,5,0.266866,0.028877,75.495156
3,5,0.266866,0.028877,75.373126
4,5,0.266866,0.028037,75.410915
5,5,0.266866,0.029293,75.323237
6,5,0.266866,0.029278,75.287606
7,5,0.266866,0.029552,75.474729
8,5,0.266866,0.028848,75.630266
9,5,0.266866,0.029150,75.490172
10,5,0.266866,0.029131,75.600909
1,6,0.266866,0.065082,59.283098
2,6,0.266866,0.065855,59.226471
3,6,0.266866,0.065855,59.327680
4,6,0.266866,0.067273,59.327680
5,6,0.266866,0.067273,59.348682
6,6,0.266866,0.068705,59.550112
7,6,0.266866,0.068705,59.638399
8,6,0.266866,0.069783,59.554288
9,6,0.266866,0.067430,59.554288
10,6,0.266866,0.067430,59.554288
1,7,0.268754,0.038639,62.252324
2,7,0.268754,0.038104,62.104450
3,7,0.268754,0.038104,62.104450
4,7,0.268754,0.037769,62.104450
5,7,0.268754,0.037769,62.104450
6,7,0.268754,0.038092,62.123572
7,7,0.268754,0.036926,62.317156
8,7,0.268754,0.036926,62.317156
9,7,0.268754,0.036926,62.317156
10,7,0.268754,0.038775,62.249484
1,8,0.266866,0.037227,57.494493
2,8,0.266866,0.038324,57.731727
3,8,0.266866,0.038324,57.731727
4,8,0.266866,0.038413,57.535205
5,8,0.266866,0.038413,57.535205
6,8,0.266866,0.038442,58.110091
7,8,0.266866,0.038442,57.750726
8,8,0.266866,0.038078,57.750726
9,8,0.266866,0.038763,57.498444
10,8,0.266866,0.038763,57.444529
1,9,0.263213,0.041786,62.813589
2,9,0.263213,0.041786,62.813589
3,9,0.263213,0.041786,62.940806
4,9,0.263213,0.042049,62.940806
5,9,0.263213,0.043406,62.940806
6,9,0.263213,0.044336,62.998493
7,9,0.263213,0.044336,62.998493
8,9,0.263213,0.044336,62.998493
9,9,0.263213,0.044336,62.998493
10,9,0.263213,0.044404,63.297885
1,10,0.266866,0.019402,76.326162
2,10,0.266866,0.016973,76.021262
3,10,0.266866,0.017525,75.907784
4,10,0.266866,0.017903,76.224623
5,10,0.266866,0.018442,76.215871
6,10,0.266866,0.018620,76.461366
7,10,0.266866,0.018059,76.450230
8,10,0.266866,0.017363,76.482269
9,10,0.266866,0.017363,76.135298
10,10,0.266866,0.017517,76.039636
1,11,0.266866,0.081697,64.561935
2,11,0.266866,0.076239,64.296010
3,11,0.266866,0.077283,64.546091
4,11,0.266866,0.078264,64.816861
5,11,0.266866,0.071776,64.578886
6,11,0.266866,0.075137,64.393368
7,11,0.266866,0.080364,64.466776
8,11,0.266866,0.080074,64.592424
9,11,0.266866,0.083225,64.343220
10,11,0.266866,0.083135,64.343220
1,12,0.266866,0.036765,74.604411
2,12,0.266866,0.035321,74.667539
3,12,0.266866,0.036670,74.667539
4,12,0.266866,0.037283,74.705603
5,12,0.266866,0.037630,74.875091
6,12,0.266866,0.035973,74.814688
7,12,0.266866,0.034415,74.814688
8,12,0.266866,0.036068,74.706851
9,12,0.266866,0.035361,74.648787
10,12,0.266866,0.034879,74.591559
1,13,0.269461,0.055285,69.809202
2,13,0.269461,0.055285,69.809202
3,13,0.269461,0.055285,69.751429
4,13,0.269461,0.055085,69.751429
5,13,0.269461,0.055085,69.751429
6,13,0.269461,0.056061,69.928227
7,13,0.269461,0.056751,69.936610
8,13,0.269461,0.056751,69.936610
9,13,0.269461,0.053860,69.802085
10,13,0.269461,0.053937,69.802085
1,14,0.264827,0.072802,67.128916
2,14,0.264827,0.073188,67.257167
3,14,0.264827,0.073188,67.257167
4,14,0.264827,0.073188,67.361803
5,14,0.264827,0.073188,67.361803
6,14,0.264827,0.074606,67.361803
7,14,0.264827,0.076117,67.538957
8,14,0.264827,0.076173,67.538957
9,14,0.264827,0.076173,67.163581
10,14,0.264827,0.072882,67.163581
1,15,0.267053,0.051200,80.628915
2,15,0.267053,0.051200,80.628915
3,15,0.267053,0.051716,80.804190
4,15,0.267053,0.051168,80.748444
5,15,0.267053,0.048947,80.748444
6,15,0.267053,0.048260,80.788968
7,15,0.267053,0.048260,80.788968
8,15,0.267053,0.046815,80.727708
9,15,0.267053,0.044904,80.746630
10,15,0.267053,0.049490,80.750097
1,16,0.263390,0.032262,57.514503
2,16,0.263390,0.033456,57.874667
3,16,0.263390,0.031967,57.590503
4,16,0.263390,0.031967,57.590503
5,16,0.263390,0.031967,57.590503
6,16,0.263390,0.031967,57.587660
7,16,0.263390,0.031967,57.512384
8,16,0.263390,0.031967,57.512384
9,16,0.263390,0.032633,57.768549
10,16,0.263390,0.033351,57.926452
1,17,0.267919,0.047787,71.168344
2,17,0.267919,0.045959,70.932302
3,17,0.267919,0.045873,70.975481
4,17,0.267919,0.045873,70.975481
5,17,0.267919,0.045253,70.895538
6,17,0.267919,0.046392,70.792135
7,17,0.267919,0.046392,71.009573
8,17,0.267919,0.046392,71.009573
9,17,0.267919,0.044754,71.067024
10,17,0.267919,0.044754,71.067024
1,18,0.263918,0.033888,57.102558
2,18,0.263918,0.034395,56.921536
3,18,0.263918,0.034711,56.809948
4,18,0.263918,0.034944,56.874042
5,18,0.263918,0.034944,56.982831
6,18,0.263918,0.034344,56.710080
7,18,0.263918,0.033930,56.991810
8,18,0.263918,0.033930,57.092801
9,18,0.263918,0.035718,56.884008
10,18,0.263918,0.034650,56.516551
1,19,0.266866,0.039003,75.692837
2,19,0.266866,0.039473,75.718909
3,19,0.266866,0.038062,75.768942
4,19,0.266866,0.038346,75.414651
5,19,0.266866,0.037328,75.404576
6,19,0.266866,0.037328,75.404576
7,19,0.266866,0.037328,75.404576
8,19,0.266866,0.036531,75.236422
9,19,0.266866,0.035849,75.236422
10,19,0.266866,0.035849,75.109146
1,20,0.266866,0.034419,63.521166
2,20,0.266866,0.034419,63.521166
3,20,0.266866,0.034419,63.521166
4,20,0.266866,0.035066,63.519367
5,20,0.266866,0.035603,63.694746
6,20,0.266866,0.035415,63.652020
7,20,0.266866,0.035192,63.642115
8,20,0.266866,0.035054,63.641432
9,20,0.266866,0.035054,63.641432
10,20,0.266866,0.035054,63.585045
1,21,0.266866,0.038937,65.655718
2,21,0.266866,0.037962,65.657070
3,21,0.266866,0.037665,65.657070
4,21,0.266866,0.037665,65.694405
5,21,0.266866,0.038061,65.586623
6,21,0.266866,0.038061,65.586623
7,21,0.266866,0.036863,65.625469
8,21,0.266866,0.035807,65.514692
9,21,0.266866,0.035807,65.565784
10,21,0.266866,0.035807,65.565784
1,22,0.266866,0.013625,78.612707
2,22,0.266866,0.012749,78.339081
3,22,0.266866,0.012337,78.486545
4,22,0.266866,0.012513,77.410022
