id,importanceSampling
1,-24.567
2,-23.828
3,-36.952
4,-17.906
5,-34.607
6,-35.092
7,-31.930
8,-39.927
9,-20.261
10,-35.276
11,-17.275
12,-37.192
13,-35.430
14,-39.718
15,-48.793
16,-36.626
17,-48.038
18,-17.024
19,-37.854
20,-30.324
21,-29.707
22,-20.826
23,-31.798
24,-31.962
25,-22.512
26,-26.608
27,-22.638
28,-24.791
29,-43.661
30,-34.930
31,-14.928
32,-16.722
33,-22.792
34,-45.084
35,-45.735
36,-18.771
37,-41.199
38,-9.608
39,-21.730
40,-37.612
41,-30.301
42,-20.245
43,-25.499
44,-37.344
45,-42.338
46,-46.646
47,-36.182
48,-45.383
49,-24.171
50,-31.812
51,-43.024
52,-31.731
53,-21.235
54,-36.750
55,-35.401
56,-22.358
57,-24.797
58,-17.089
59,-42.868
60,-27.158
61,-39.370
62,-32.502
63,-26.645
64,-40.003
65,-44.035
66,-43.136
67,-44.050
68,-35.486
69,-22.809
70,-40.629
71,-36.048
72,-27.079
73,-20.746
74,-34.953
75,-34.576
76,-37.539
77,-42.388
78,-16.554
79,-40.739
80,-25.144
81,-27.198
82,-22.089
83,-36.132
84,-21.303
85,-34.870
86,-38.681
87,-16.681
88,-26.556
89,-45.340
90,-21.785
91,-38.090
92,-27.512
93,-32.009
94,-38.205
95,-39.419
96,-29.477
97,-21.138
98,-44.695
99,-29.467
100,-21.899
101,-29.733
102,-31.063
103,-50.813
104,-41.859
105,-37.567
106,-34.988
107,-16.809
108,-41.852
109,-13.117
110,-20.414
111,-11.033
112,-37.648
113,-32.886
114,-35.662
115,-22.822
116,-26.237
117,-44.371
118,-21.597
119,-14.388
120,-44.610
121,-17.902
122,-16.171
123,-40.787
124,-22.424
125,-21.430
126,-47.995
127,-35.636
128,-17.656
129,-20.240
130,-31.770
131,-19.555
132,-18.420
133,-47.388
134,-35.777
135,-27.198
136,-24.974
137,-21.834
138,-28.355
139,-22.427
140,-41.012
141,-24.982
142,-25.108
143,-31.125
144,-27.043
145,-20.980
146,-19.544
147,-18.022
148,-15.153
149,-37.145
150,-22.854
151,-47.221
152,-42.060
153,-34.010
154,-19.323
155,-20.512
156,-39.606
157,-36.244
158,-35.754
159,-31.099
160,-36.288
161,-20.098
162,-19.368
163,-21.333
164,-44.262
165,-28.158
166,-36.085
167,-18.250
168,-50.326
169,-33.284
170,-46.704
171,-41.592
172,-32.612
173,-26.315
174,-48.753
175,-49.903
176,-24.114
177,-27.711
178,-19.648
179,-34.160
180,-40.877
181,-26.211
182,-41.352
183,-22.467
184,-39.550
185,-36.265
186,-50.602
187,-28.160
188,-17.924
189,-33.825
190,-25.383
191,-32.667
192,-35.466
193,-44.413
194,-49.212
195,-35.488
196,-35.631
197,-35.151
198,-34.454
199,-38.442
200,-34.219
201,-47.000
202,-44.217
203,-44.373
204,-39.842
205,-17.479
206,-29.007
207,-20.763
208,-50.564
209,-25.121
210,-32.535
211,-19.350
212,-23.480
213,-38.671
214,-32.247
215,-25.029
216,-28.089
217,-24.377
218,-32.030
219,-36.275
220,-41.864
221,-27.703
222,-24.244
223,-43.924
224,-40.169
225,-26.177
226,-27.208
227,-38.773
228,-49.849
229,-46.506
230,-30.081
231,-21.364
232,-33.679
233,-33.999
234,-33.677
235,-26.226
236,-48.703
237,-32.692
238,-29.661
239,-34.321
240,-44.242
241,-17.484
242,-47.291
243,-34.830
244,-31.025
245,-23.619
246,-21.091
247,-44.192
248,-38.371
249,-45.987
250,-40.627
