id,eta_p0_SAEM,eta_alpha_SAEM,eta_tau_SAEM,eta_p0_mean,eta_alpha_mean,eta_tau_mean,eta_p0_sd,eta_alpha_sd,eta_tau_sd
1,0.000000,-0.217832,0.554451,0.000000,-0.217436,0.566910,0.000000,0.045030,0.180568
2,0.000000,0.198097,1.474750,0.000000,0.195104,1.473166,0.000000,0.025032,0.123565
3,0.000000,-0.513249,3.716792,0.000000,-0.520657,3.739469,0.000000,0.040469,0.292418
4,0.000000,0.240839,-9.517425,0.000000,0.229261,-9.543943,0.000000,0.024376,0.091589
5,0.000000,-0.195855,5.115421,0.000000,-0.196289,5.134620,0.000000,0.028490,0.204654
6,0.000000,0.669916,-12.796583,0.000000,0.636837,-12.948453,0.000000,0.034249,0.215075
7,0.000000,0.088064,-8.971993,0.000000,0.087174,-8.955869,0.000000,0.026135,0.101642
8,0.000000,0.100264,-13.444591,0.000000,0.097937,-13.464944,0.000000,0.026795,0.189606
9,0.000000,0.194787,-8.382997,0.000000,0.200299,-8.376558,0.000000,0.029486,0.098272
10,0.000000,-0.637305,7.665175,0.000000,-0.621751,7.587767,0.000000,0.037532,0.283107
11,0.000000,0.804639,-7.964563,0.000000,0.825205,-8.086405,0.000000,0.052597,0.207700
12,0.000000,0.019618,3.756176,0.000000,0.013332,3.767682,0.000000,0.033309,0.183540
13,0.000000,0.435798,-2.253880,0.000000,0.438553,-2.252647,0.000000,0.022338,0.073797
14,0.000000,0.774568,-5.020293,0.000000,0.772676,-5.044514,0.000000,0.022340,0.116349
15,0.000000,0.302676,8.980432,0.000000,0.313812,8.957787,0.000000,0.051211,0.131885
16,0.000000,-0.057340,-12.872465,0.000000,-0.060154,-12.880432,0.000000,0.019971,0.120197
17,0.000000,0.272693,-0.731591,0.000000,0.270832,-0.728748,0.000000,0.022461,0.087543
18,0.000000,-0.013808,-13.970488,0.000000,-0.011240,-13.976829,0.000000,0.024932,0.173353
19,0.000000,0.065099,4.298996,0.000000,0.053580,4.287235,0.000000,0.024029,0.089876
