rep,id,eta_p0,eta_alpha,eta_tau
1,1,0.000000,-0.195767,0.469428
2,1,0.000000,-0.175425,0.450326
3,1,0.000000,-0.248187,0.401987
4,1,0.000000,-0.176993,0.216058
5,1,0.000000,-0.235833,0.087601
6,1,0.000000,-0.187722,0.202731
7,1,0.000000,-0.199317,0.422796
8,1,0.000000,-0.217775,-0.118704
9,1,0.000000,-0.173827,0.011068
10,1,0.000000,-0.233915,0.198703
1,2,0.000000,0.158109,2.363735
2,2,0.000000,0.158109,2.252376
3,2,0.000000,0.158109,2.134304
4,2,0.000000,0.174881,2.351133
5,2,0.000000,0.174881,2.351133
6,2,0.000000,0.164881,2.069581
7,2,0.000000,0.174078,2.361288
8,2,0.000000,0.174078,2.361288
9,2,0.000000,0.174078,2.361288
10,2,0.000000,0.182379,2.344705
1,3,0.000000,-0.512912,2.456204
2,3,0.000000,-0.513812,2.456204
3,3,0.000000,-0.546084,2.176597
4,3,0.000000,-0.504603,2.481495
5,3,0.000000,-0.504603,2.412214
6,3,0.000000,-0.458877,2.144319
7,3,0.000000,-0.493047,2.399069
8,3,0.000000,-0.502540,2.481864
9,3,0.000000,-0.541763,2.123776
10,3,0.000000,-0.493986,2.542772
1,4,0.000000,0.222790,-8.523626
2,4,0.000000,0.206667,-8.747986
3,4,0.000000,0.206667,-8.747986
4,4,0.000000,0.206667,-8.649767
5,4,0.000000,0.206667,-8.649767
6,4,0.000000,0.230888,-8.710259
7,4,0.000000,0.230888,-8.710259
8,4,0.000000,0.203582,-8.710259
9,4,0.000000,0.203582,-8.710259
10,4,0.000000,0.235943,-8.710259
1,5,0.000000,-0.119270,5.353053
2,5,0.000000,-0.139953,5.350057
3,5,0.000000,-0.139953,5.350057
4,5,0.000000,-0.144658,5.106921
5,5,0.000000,-0.187787,5.219630
6,5,0.000000,-0.204179,4.674673
7,5,0.000000,-0.218287,4.842032
8,5,0.000000,-0.237411,5.054643
9,5,0.000000,-0.232823,4.879635
10,5,0.000000,-0.173438,5.262947
1,6,0.000000,0.655933,-11.266204
2,6,0.000000,0.642773,-11.269817
3,6,0.000000,0.642773,-11.269817
4,6,0.000000,0.642773,-11.269817
5,6,0.000000,0.695548,-10.959725
6,6,0.000000,0.620212,-11.285898
7,6,0.000000,0.643555,-11.292788
8,6,0.000000,0.643555,-11.292788
9,6,0.000000,0.638926,-11.335708
10,6,0.000000,0.638926,-11.357078
1,7,0.000000,0.079818,-8.523742
2,7,0.000000,0.079818,-8.199536
3,7,0.000000,0.079818,-8.199536
4,7,0.000000,0.079818,-8.199536
5,7,0.000000,0.127413,-8.199536
6,7,0.000000,0.136531,-8.188845
7,7,0.000000,0.070406,-8.444200
8,7,0.000000,0.063065,-8.443202
9,7,0.000000,0.040379,-8.443202
10,7,0.000000,0.040379,-8.518038
1,8,0.000000,0.155510,-12.623588
2,8,0.000000,0.062995,-12.847190
3,8,0.000000,0.077928,-12.459778
4,8,0.000000,0.079187,-12.714198
5,8,0.000000,0.105499,-12.754960
6,8,0.000000,0.107357,-12.720363
7,8,0.000000,0.068786,-12.821229
8,8,0.000000,0.090708,-13.015904
9,8,0.000000,0.090708,-12.630238
10,8,0.000000,0.127745,-12.573792
1,9,0.000000,0.172818,-7.644884
2,9,0.000000,0.159682,-7.858160
3,9,0.000000,0.218585,-7.256667
4,9,0.000000,0.218585,-7.412236
5,9,0.000000,0.214276,-7.412236
6,9,0.000000,0.155946,-7.648544
7,9,0.000000,0.198752,-7.416071
8,9,0.000000,0.224979,-7.470277
9,9,0.000000,0.249229,-7.377590
10,9,0.000000,0.249229,-7.377590
1,10,0.000000,-0.644448,5.599654
2,10,0.000000,-0.637067,5.876660
3,10,0.000000,-0.693524,5.870392
4,10,0.000000,-0.693524,6.047220
5,10,0.000000,-0.705115,6.346237
6,10,0.000000,-0.704541,6.346237
7,10,0.000000,-0.697030,6.076811
8,10,0.000000,-0.658692,6.076811
9,10,0.000000,-0.623476,5.956291
10,10,0.000000,-0.680045,5.551172
1,11,0.000000,0.802124,-6.241138
2,11,0.000000,0.830292,-6.188358
3,11,0.000000,0.803255,-6.188358
4,11,0.000000,0.760192,-6.309135
5,11,0.000000,0.791852,-6.309135
6,11,0.000000,0.791852,-6.309135
7,11,0.000000,0.803109,-6.154093
8,11,0.000000,0.803282,-6.245348
9,11,0.000000,0.806087,-6.340992
10,11,0.000000,0.785676,-6.209966
1,12,0.000000,-0.000154,4.497605
2,12,0.000000,0.008926,4.374049
3,12,0.000000,0.056020,4.033788
4,12,0.000000,0.015454,4.020863
5,12,0.000000,0.014535,4.020863
6,12,0.000000,-0.022501,4.031363
7,12,0.000000,-0.042199,4.031363
8,12,0.000000,-0.042199,4.031363
9,12,0.000000,-0.024066,4.411555
10,12,0.000000,-0.024066,4.285856
1,13,0.000000,0.449009,-1.032760
2,13,0.000000,0.449009,-1.032760
3,13,0.000000,0.449009,-1.032760
4,13,0.000000,0.427085,-1.230449
5,13,0.000000,0.427085,-1.230449
6,13,0.000000,0.395087,-1.230449
7,13,0.000000,0.395087,-1.230449
8,13,0.000000,0.395087,-0.882087
9,13,0.000000,0.476744,-0.882087
10,13,0.000000,0.440279,-0.808761
1,14,0.000000,0.762682,-3.271677
2,14,0.000000,0.786745,-3.238410
3,14,0.000000,0.768611,-3.412562
4,14,0.000000,0.768611,-3.298900
5,14,0.000000,0.768611,-3.298900
6,14,0.000000,0.738781,-3.298900
7,14,0.000000,0.751324,-3.298900
8,14,0.000000,0.751324,-3.298900
9,14,0.000000,0.751324,-3.298900
10,14,0.000000,0.751324,-3.298900
1,15,0.000000,0.384376,9.832837
2,15,0.000000,0.289883,9.938466
3,15,0.000000,0.341250,10.092597
4,15,0.000000,0.256421,10.092597
5,15,0.000000,0.256421,10.092597
6,15,0.000000,0.263228,9.844210
7,15,0.000000,0.283433,9.844210
8,15,0.000000,0.227435,9.844210
9,15,0.000000,0.341789,9.928752
10,15,0.000000,0.292424,9.928752
1,16,0.000000,-0.078895,-12.882329
2,16,0.000000,-0.078895,-12.644910
3,16,0.000000,-0.078895,-12.644910
4,16,0.000000,-0.078895,-12.644910
5,16,0.000000,-0.078895,-12.635728
6,16,0.000000,-0.081074,-12.635728
7,16,0.000000,-0.092468,-12.872525
8,16,0.000000,-0.088927,-12.676237
9,16,0.000000,-0.081278,-12.799831
10,16,0.000000,-0.081278,-12.799831
1,17,0.000000,0.249296,0.227333
2,17,0.000000,0.241312,0.227333
3,17,0.000000,0.237141,0.079045
4,17,0.000000,0.237141,0.079045
5,17,0.000000,0.237141,0.057931
6,17,0.000000,0.279897,0.082074
7,17,0.000000,0.279897,0.125123
8,17,0.000000,0.279897,0.498899
9,17,0.000000,0.231555,0.093100
10,17,0.000000,0.231555,0.286461
1,18,0.000000,0.004943,-13.551646
2,18,0.000000,0.004943,-13.501163
3,18,0.000000,0.004943,-13.501163
4,18,0.000000,0.004943,-13.501163
5,18,0.000000,0.004943,-13.501163
6,18,0.000000,-0.052749,-13.501163
7,18,0.000000,-0.052749,-13.501163
8,18,0.000000,-0.031367,-13.730044
9,18,0.000000,-0.019925,-13.730044
10,18,0.000000,-0.019925,-13.730044
1,19,0.000000,0.095332,5.158331
2,19,0.000000,0.095363,5.158331
3,19,0.000000,0.083430,5.158331
4,19,0.000000,0.095269,5.158331
5,19,0.000000,0.093695,4.897691
6,19,0.000000,0.054558,4.648812
7,19,0.000000,0.069842,4.846191
8,19,0.000000,0.069842,4.846191
9,19,0.000000,0.056677,4.799041
10,19,0.000000,0.056677,4.799041
1,20,0.000000,0.054905,-6.555133
2,20,0.000000,0.054905,-6.555133
3,20,0.000000,0.054905,-6.555133
4,20,0.000000,-0.048638,-7.236300
5,20,0.000000,-0.048638,-7.236300
6,20,0.000000,-0.048638,-7.236300
7,20,0.000000,-0.044570,-7.332615
8,20,0.000000,-0.038146,-7.332615
9,20,0.000000,-0.017372,-7.096228
10,20,0.000000,-0.017372,-6.852257
1,21,0.000000,0.102337,-4.882876
2,21,0.000000,0.148441,-4.527856
3,21,0.000000,0.148441,-5.004711
4,21,0.000000,0.121624,-4.788357
5,21,0.000000,0.071255,-4.987283
6,21,0.000000,0.090617,-4.820808
7,21,0.000000,0.103981,-4.845721
8,21,0.000000,0.103981,-5.119318
9,21,0.000000,0.103981,-5.119318
10,21,0.000000,0.052332,-5.119318
1,22,0.000000,-0.864289,6.834835
2,22,0.000000,-0.859530,7.179057
3,22,0.000000,-0.883983,7.112031
4,22,0.000000,-0.866245,7.427118
5,22,0.000000,-0.953050,7.564004
6,22,0.000000,-0.841930,7.955653
7,22,0.000000,-0.853195,7.128061
8,22,0.000000,-0.927868,7.373557
9,22,0.000000,-0.892880,7.804003
10,22,0.000000,-0.981267,7.680539
1,23,0.000000,-0.332762,-2.677071
2,23,0.000000,-0.324188,-2.677071
3,23,0.000000,-0.324188,-2.677071
4,23,0.000000,-0.324188,-2.791954
5,23,0.000000,-0.324188,-2.909454
6,23,0.000000,-0.324188,-2.640608
7,23,0.000000,-0.324188,-2.640608
8,23,0.000000,-0.298402,-2.640608
9,23,0.000000,-0.338258,-2.640608
10,23,0.000000,-0.268594,-2.369504
1,24,0.000000,-1.178436,7.395849
2,24,0.000000,-1.116607,7.122300
3,24,0.000000,-1.154686,7.122300
4,24,0.000000,-1.118703,7.102230
5,24,0.000000,-1.221231,8.281442
6,24,0.000000,-1.290573,7.905357
7,24,0.000000,-1.120911,7.923905
8,24,0.000000,-1.120911,7.434215
9,24,0.000000,-1.096609,8.002738
10,24,0.000000,-1.202071,7.539203
1,25,0.000000,-0.336990,3.463476
2,25,0.000000,-0.273808,3.463476
3,25,0.000000,-0.168814,3.265922
4,25,0.000000,-0.238740,3.472953
5,25,0.000000,-0.160054,3.531749
6,25,0.000000,-0.279408,3.413419
7,25,0.000000,-0.289001,3.567400
8,25,0.000000,-0.172637,3.389837
9,25,0.000000,-0.174709,3.389837
10,25,0.000000,-0.167872,3.760680
1,26,0.000000,0.794231,3.331914
2,26,0.000000,0.843051,3.190323
3,26,0.000000,0.750083,3.627893
4,26,0.000000,0.725109,3.467242
5,26,0.000000,0.736397,3.246826
6,26,0.000000,0.789131,3.431610
7,26,0.000000,0.679779,3.327229
8,26,0.000000,0.633798,3.641328
9,26,0.000000,0.669007,3.539936
10,26,0.000000,0.728748,3.322676
1,27,0.000000,-0.307790,-2.899384
2,27,0.000000,-0.307790,-2.747862
3,27,0.000000,-0.284275,-2.638787
4,27,0.000000,-0.314769,-2.649236
