id,p0_SAEM,alpha_SAEM,tau_SAEM,p0_mean,alpha_mean,tau_mean,p0_sd,alpha_sd,tau_sd
1,0.231747,0.025325,69.408303,0.231792,0.025775,69.448678,0.000000,0.000826,0.187366
2,0.231747,0.039084,72.155555,0.231792,0.039037,72.131732,0.000000,0.001126,0.168573
3,0.231747,0.019178,70.938702,0.231792,0.018716,70.874814,0.000000,0.000762,0.236794
4,0.231747,0.040157,61.167346,0.231792,0.040457,61.215338,0.000000,0.001487,0.237226
5,0.231747,0.026337,74.179337,0.231792,0.026137,74.153162,0.000000,0.000772,0.194118
6,0.231747,0.061301,58.925620,0.231792,0.063363,59.161345,0.000000,0.003492,0.411507
7,0.231747,0.034653,61.232570,0.231792,0.034730,61.251238,0.000000,0.000642,0.133961
8,0.231747,0.035155,56.786132,0.231792,0.034991,56.783987,0.000000,0.000926,0.196312
9,0.231747,0.038906,62.217971,0.231792,0.038735,62.176486,0.000000,0.001052,0.140281
10,0.231747,0.016837,73.989614,0.231792,0.016943,74.029743,0.000000,0.000700,0.237548
11,0.231747,0.071706,64.090096,0.231792,0.071915,64.062392,0.000000,0.003665,0.144553
12,0.231747,0.032368,73.701880,0.231792,0.032264,73.696462,0.000000,0.001196,0.186441
13,0.231747,0.049399,69.071086,0.231792,0.049633,69.083989,0.000000,0.000947,0.103826
14,0.231747,0.069017,66.975834,0.231792,0.069330,67.021622,0.000000,0.001676,0.131935
15,0.231747,0.043269,79.894373,0.231792,0.043541,79.902543,0.000000,0.002264,0.138540
16,0.231747,0.030516,56.874968,0.231792,0.030705,56.944851,0.000000,0.000759,0.217397
17,0.231747,0.041639,70.097150,0.231792,0.042127,70.126104,0.000000,0.000906,0.125493
18,0.231747,0.031579,55.904943,0.231792,0.031703,55.932302,0.000000,0.000713,0.201123
19,0.231747,0.034167,74.467751,0.231792,0.033479,74.336501,0.000000,0.000734,0.171422
20,0.231747,0.031819,62.606592,0.231792,0.031505,62.489640,0.000000,0.000817,0.263927
21,0.231747,0.034446,64.665847,0.231792,0.034772,64.707593,0.000000,0.001009,0.219890
22,0.231747,0.012582,74.923896,0.231792,0.012469,74.846717,0.000000,0.001085,0.516496
23,0.231747,0.024083,66.589886,0.231792,0.024094,66.579808,0.000000,0.000845,0.341351
24,0.231747,0.009583,74.246365,0.231792,0.009652,74.202421,0.000000,0.000605,0.516860
25,0.231747,0.025090,72.678192,0.231792,0.025316,72.678351,0.000000,0.001555,0.229994
26,0.231747,0.056759,74.081995,0.231792,0.058994,74.009932,0.000000,0.004958,0.186044
27,0.231747,0.023541,66.218825,0.231792,0.023525,66.197185,0.000000,0.000583,0.257527
28,0.231747,0.041345,70.429005,0.231792,0.041631,70.500138,0.000000,0.000971,0.201024
29,0.231747,0.059381,77.289153,0.231792,0.059310,77.275339,0.000000,0.001485,0.085245
30,0.231747,0.020910,65.201771,0.231792,0.020771,65.140292,0.000000,0.000518,0.322244
31,0.231747,0.052825,63.155305,0.231792,0.053131,63.201688,0.000000,0.001480,0.108515
32,0.231747,0.046493,71.117626,0.231792,0.046098,71.107425,0.000000,0.001235,0.144782
33,0.231747,0.024542,71.021093,0.231792,0.025043,70.964717,0.000000,0.001942,0.255392
34,0.231747,0.036710,65.083913,0.231792,0.036935,65.087612,0.000000,0.000697,0.114663
35,0.231747,0.036569,71.824617,0.231792,0.036240,71.843497,0.000000,0.001452,0.101731
36,0.231747,0.030470,66.279936,0.231792,0.030548,66.229042,0.000000,0.000867,0.188956
37,0.231747,0.022393,61.339060,0.231792,0.022005,61.165373,0.000000,0.000624,0.299400
38,0.231747,0.060094,66.300815,0.231792,0.058960,66.101938,0.000000,0.002075,0.347319
39,0.231747,0.029648,70.625328,0.231792,0.029675,70.613774,0.000000,0.000717,0.234938
40,0.231747,0.058345,63.992989,0.231792,0.058093,63.976494,0.000000,0.001390,0.079236
41,0.231747,0.023199,67.400565,0.231792,0.022829,67.330842,0.000000,0.000809,0.210879
42,0.231747,0.079480,68.671607,0.231792,0.079934,68.707187,0.000000,0.001951,0.087590
43,0.231747,0.049799,70.315995,0.231792,0.050594,70.402092,0.000000,0.001764,0.158139
44,0.231747,0.035485,58.459944,0.231792,0.035834,58.550341,0.000000,0.001297,0.311319
45,0.231747,0.051744,70.011586,0.231792,0.051157,69.974438,0.000000,0.001962,0.187063
46,0.231747,0.037180,65.907125,0.231792,0.037694,66.027454,0.000000,0.000668,0.143744
47,0.231747,0.048926,69.940163,0.231792,0.049154,69.955569,0.000000,0.000911,0.098513
48,0.231747,0.022854,72.664972,0.231792,0.022694,72.624711,0.000000,0.000490,0.186488
49,0.231747,0.047415,73.789374,0.231792,0.049052,73.843669,0.000000,0.004695,0.156811
50,0.231747,0.056726,70.421815,0.231792,0.056613,70.438651,0.000000,0.001148,0.141786
51,0.231747,0.034978,66.833258,0.231792,0.035205,66.877989,0.000000,0.000814,0.158834
