id,importanceSampling
1,-24.529
2,-23.672
3,-37.037
4,-17.929
5,-34.659
6,-35.416
7,-32.005
8,-40.093
9,-20.465
10,-35.448
11,-17.430
12,-37.214
13,-35.498
14,-39.783
15,-48.650
16,-36.699
17,-48.075
18,-17.182
19,-37.782
20,-30.395
21,-29.782
22,-21.245
23,-31.743
24,-32.538
25,-22.537
26,-26.493
27,-22.666
28,-24.726
29,-43.406
30,-34.904
31,-15.040
32,-16.675
33,-22.791
34,-45.148
35,-45.718
36,-18.770
37,-41.114
38,-9.588
39,-21.752
40,-37.698
41,-30.320
42,-20.136
43,-25.466
44,-37.411
45,-42.319
46,-46.735
47,-36.115
48,-45.437
49,-24.105
50,-31.717
51,-43.063
52,-31.770
53,-21.331
54,-36.699
55,-35.619
56,-22.196
57,-24.787
58,-16.820
59,-42.822
60,-27.035
61,-39.490
62,-32.133
63,-26.454
64,-40.012
65,-43.982
66,-43.063
67,-44.165
68,-35.613
69,-22.795
70,-40.763
71,-36.370
72,-26.798
73,-20.749
74,-34.833
75,-34.510
76,-37.450
77,-42.539
78,-16.360
79,-40.635
80,-24.863
81,-27.194
82,-22.040
83,-36.100
84,-21.287
85,-34.769
86,-38.654
87,-16.843
88,-26.545
89,-45.420
90,-21.656
91,-38.116
92,-27.329
93,-32.166
94,-38.117
95,-39.358
96,-29.575
97,-21.162
98,-44.785
99,-29.485
100,-21.932
101,-29.757
102,-31.066
103,-50.730
104,-41.934
105,-37.500
106,-34.785
107,-16.201
108,-41.925
109,-13.098
110,-19.947
111,-11.201
112,-37.591
113,-32.984
114,-35.269
115,-22.845
116,-26.357
117,-44.251
118,-22.276
119,-14.568
120,-44.305
121,-17.949
122,-16.198
123,-40.780
124,-22.441
125,-21.365
126,-48.011
127,-35.740
128,-18.679
129,-19.965
130,-32.219
131,-19.813
132,-18.307
133,-47.381
134,-35.778
135,-27.415
136,-24.924
137,-21.809
138,-28.157
139,-22.196
140,-41.549
141,-24.993
142,-25.297
143,-31.061
144,-26.947
145,-20.658
146,-19.522
147,-18.403
148,-15.141
149,-37.098
150,-22.743
151,-47.934
152,-41.995
153,-34.020
154,-18.912
155,-20.597
156,-39.551
157,-36.408
158,-35.686
159,-31.157
160,-36.343
161,-19.929
162,-19.604
163,-21.502
164,-44.696
165,-28.219
166,-36.149
167,-19.457
168,-49.696
169,-33.469
170,-46.661
171,-41.380
172,-32.550
173,-26.329
174,-48.711
175,-49.826
176,-24.132
177,-27.475
178,-19.520
179,-34.236
180,-40.893
181,-26.159
182,-40.798
183,-22.487
184,-39.568
185,-36.123
186,-50.649
187,-28.396
188,-17.891
189,-33.784
190,-25.405
191,-32.660
192,-35.732
193,-45.023
194,-49.306
195,-35.523
196,-35.772
197,-35.140
198,-34.302
199,-38.657
200,-34.158
201,-47.337
202,-44.134
203,-44.312
204,-39.768
205,-17.465
206,-28.801
207,-20.769
208,-50.410
209,-25.094
210,-32.224
211,-19.290
212,-23.691
213,-38.662
214,-31.935
215,-25.249
216,-28.099
217,-24.129
218,-31.940
219,-36.481
220,-41.859
221,-27.569
222,-24.072
223,-43.842
224,-40.951
225,-26.094
226,-27.394
227,-38.747
228,-49.896
229,-46.354
230,-29.872
231,-21.388
232,-33.683
233,-34.100
234,-33.751
235,-26.047
236,-48.749
237,-32.882
238,-29.626
239,-34.262
240,-44.127
241,-17.548
242,-47.300
243,-35.035
244,-31.007
245,-23.284
246,-21.108
247,-44.129
248,-38.351
249,-46.155
250,-40.753
