id,alpha_eta_mean,alpha_eta_mode,tau_eta_mean,tau_eta_mode,color,filter
1,0,,-0.21585,,#4682B4,0
2,0,,0.2023,,#4682B4,0
3,0,,-0.522436,,#4682B4,0
4,0,,0.241796,,#4682B4,0
5,0,,-0.195623,,#4682B4,0
6,0,,0.675175,,#4682B4,0
7,0,,0.0870958,,#4682B4,0
8,0,,0.104975,,#4682B4,0
9,0,,0.194521,,#4682B4,0
10,0,,-0.628296,,#4682B4,0
11,0,,0.806858,,#4682B4,0
12,0,,0.0211301,,#4682B4,0
13,0,,0.437859,,#4682B4,0
14,0,,0.780512,,#4682B4,0
15,0,,0.311558,,#4682B4,0
16,0,,-0.052788,,#4682B4,0
17,0,,0.276666,,#4682B4,0
18,0,,-0.0124581,,#4682B4,0
19,0,,0.0635039,,#4682B4,0
20,0,,0.00624569,,#4682B4,0
21,0,,0.0821639,,#4682B4,0
22,0,,-0.925244,,#4682B4,0
23,0,,-0.291932,,#4682B4,0
24,0,,-1.15457,,#4682B4,0
25,0,,-0.244827,,#4682B4,0
26,0,,0.591692,,#4682B4,0
27,0,,-0.301425,,#4682B4,0
28,0,,0.261826,,#4682B4,0
29,0,,0.623647,,#4682B4,0
30,0,,-0.415202,,#4682B4,0
31,0,,0.494763,,#4682B4,0
32,0,,0.377131,,#4682B4,0
33,0,,-0.246191,,#4682B4,0
34,0,,0.140021,,#4682B4,0
35,0,,0.130501,,#4682B4,0
36,0,,-0.0355246,,#4682B4,0
37,0,,-0.352446,,#4682B4,0
38,0,,0.616937,,#4682B4,0
39,0,,-0.0761424,,#4682B4,0
40,0,,0.607209,,#4682B4,0
41,0,,-0.335469,,#4682B4,0
42,0,,0.920954,,#4682B4,0
43,0,,0.458668,,#4682B4,0
44,0,,0.0980019,,#4682B4,0
45,0,,0.487978,,#4682B4,0
46,0,,0.163383,,#4682B4,0
47,0,,0.431599,,#4682B4,0
48,0,,-0.331513,,#4682B4,0
49,0,,0.376224,,#4682B4,0
50,0,,0.58032,,#4682B4,0
51,0,,0.096055,,#4682B4,0
52,0,,0.408638,,#4682B4,0
53,0,,0.354961,,#4682B4,0
54,0,,-0.0609266,,#4682B4,0
55,0,,0.643837,,#4682B4,0
56,0,,0.506222,,#4682B4,0
57,0,,0.0677546,,#4682B4,0
58,0,,-0.517602,,#4682B4,0
59,0,,0.131058,,#4682B4,0
60,0,,0.663912,,#4682B4,0
61,0,,0.564748,,#4682B4,0
62,0,,0.809316,,#4682B4,0
63,0,,-0.619556,,#4682B4,0
64,0,,0.0548419,,#4682B4,0
65,0,,0.0468034,,#4682B4,0
66,0,,0.596674,,#4682B4,0
67,0,,-0.160659,,#4682B4,0
68,0,,-0.45397,,#4682B4,0
69,0,,-0.226728,,#4682B4,0
70,0,,-0.534575,,#4682B4,0
71,0,,-0.873161,,#4682B4,0
72,0,,-0.744639,,#4682B4,0
73,0,,0.0889625,,#4682B4,0
74,0,,0.230772,,#4682B4,0
75,0,,-0.670805,,#4682B4,0
76,0,,0.0437088,,#4682B4,0
77,0,,0.263539,,#4682B4,0
78,0,,0.579253,,#4682B4,0
79,0,,-0.416072,,#4682B4,0
80,0,,0.32833,,#4682B4,0
81,0,,-0.4168,,#4682B4,0
