id,alpha_eta_simulated,tau_eta_simulated,color,filter
1,0,-0.226366,#4682B4,0
2,0,0.199356,#4682B4,0
3,0,-0.508696,#4682B4,0
4,0,0.183966,#4682B4,0
5,0,-0.169652,#4682B4,0
6,0,0.618393,#4682B4,0
7,0,0.0701404,#4682B4,0
8,0,0.0552058,#4682B4,0
9,0,0.203964,#4682B4,0
10,0,-0.644677,#4682B4,0
11,0,0.753959,#4682B4,0
12,0,0.0763161,#4682B4,0
13,0,0.435964,#4682B4,0
14,0,0.735219,#4682B4,0
15,0,0.380549,#4682B4,0
16,0,-0.0772552,#4682B4,0
17,0,0.268876,#4682B4,0
18,0,-0.00440038,#4682B4,0
19,0,0.0582744,#4682B4,0
20,0,0.00463387,#4682B4,0
21,0,0.0551074,#4682B4,0
22,0,-1.00092,#4682B4,0
23,0,-0.351208,#4682B4,0
24,0,-1.17806,#4682B4,0
25,0,-0.216184,#4682B4,0
26,0,0.571995,#4682B4,0
27,0,-0.41384,#4682B4,0
28,0,0.257403,#4682B4,0
29,0,0.600733,#4682B4,0
30,0,-0.431345,#4682B4,0
31,0,0.483744,#4682B4,0
32,0,0.370036,#4682B4,0
33,0,-0.290604,#4682B4,0
34,0,0.160217,#4682B4,0
35,0,0.095761,#4682B4,0
36,0,-0.0297164,#4682B4,0
37,0,-0.36947,#4682B4,0
38,0,0.563253,#4682B4,0
39,0,-0.0455655,#4682B4,0
40,0,0.623797,#4682B4,0
41,0,-0.309733,#4682B4,0
42,0,0.919924,#4682B4,0
43,0,0.447424,#4682B4,0
44,0,0.130802,#4682B4,0
45,0,0.472872,#4682B4,0
46,0,0.123916,#4682B4,0
47,0,0.443361,#4682B4,0
48,0,-0.305126,#4682B4,0
49,0,0.299648,#4682B4,0
50,0,0.546059,#4682B4,0
51,0,0.12469,#4682B4,0
52,0,0.417768,#4682B4,0
53,0,0.346435,#4682B4,0
54,0,-0.0541445,#4682B4,0
55,0,0.637514,#4682B4,0
56,0,0.434875,#4682B4,0
57,0,0.071195,#4682B4,0
58,0,-0.510829,#4682B4,0
59,0,0.12745,#4682B4,0
60,0,0.672637,#4682B4,0
61,0,0.574524,#4682B4,0
62,0,0.811008,#4682B4,0
63,0,-0.624015,#4682B4,0
64,0,0.0708409,#4682B4,0
65,0,0.0183893,#4682B4,0
66,0,0.60541,#4682B4,0
67,0,-0.106908,#4682B4,0
68,0,-0.486877,#4682B4,0
69,0,-0.175249,#4682B4,0
70,0,-0.509535,#4682B4,0
71,0,-0.879271,#4682B4,0
72,0,-0.778899,#4682B4,0
73,0,0.101064,#4682B4,0
74,0,0.24083,#4682B4,0
75,0,-0.59497,#4682B4,0
76,0,-0.00377733,#4682B4,0
77,0,0.268813,#4682B4,0
78,0,0.555963,#4682B4,0
79,0,-0.433807,#4682B4,0
80,0,0.455162,#4682B4,0
81,0,-0.42913,#4682B4,0
82,0,-0.282101,#4682B4,0
83,0,-0.298154,#4682B4,0
84,0,-0.363333,#4682B4,0
85,0,-0.942645,#4682B4,0
86,0,0.318705,#4682B4,0
87,0,0.632496,#4682B4,0
88,0,-0.0974459,#4682B4,0
89,0,-0.0252567,#4682B4,0
