id,time,y,censored,split,color,filter
1,60.2706,0.0936,0,All,#4682B4,0
1,65.786,0.1533,0,All,#4682B4,0
1,67.1988,0.1785,0,All,#4682B4,0
1,68.9157,0.205,0,All,#4682B4,0
1,73.2716,0.3368,0,All,#4682B4,0
1,76.6833,0.4701,0,All,#4682B4,0
2,54.7534,-0.0148,0,All,#4682B4,0
2,64.2221,0.0465,0,All,#4682B4,0
2,68.2182,0.0963,0,All,#4682B4,0
2,68.6036,0.1425,0,All,#4682B4,0
2,77.0042,0.4774,0,All,#4682B4,0
2,78.4639,0.5422,0,All,#4682B4,0
2,79.9464,0.6216,0,All,#4682B4,0
3,61.3778,0.0976,0,All,#4682B4,0
3,61.4056,0.1064,0,All,#4682B4,0
3,61.8904,0.1057,0,All,#4682B4,0
3,63.3323,0.1188,0,All,#4682B4,0
3,70.7757,0.2204,0,All,#4682B4,0
3,75.4875,0.3304,0,All,#4682B4,0
3,77.3866,0.38,0,All,#4682B4,0
4,62.2931,0.2874,0,All,#4682B4,0
4,65.1686,0.4157,0,All,#4682B4,0
4,66.7014,0.5098,0,All,#4682B4,0
4,69.8336,0.6904,0,All,#4682B4,0
4,73.2783,0.819,0,All,#4682B4,0
5,62.3789,0.0581,0,All,#4682B4,0
5,62.8927,0.0441,0,All,#4682B4,0
5,66.0412,0.0812,0,All,#4682B4,0
5,68.7449,0.1253,0,All,#4682B4,0
5,69.6957,0.1363,0,All,#4682B4,0
5,81.1627,0.4497,0,All,#4682B4,0
5,81.5075,0.4778,0,All,#4682B4,0
6,51.3491,0.0321,0,All,#4682B4,0
6,52.6741,0.0243,0,All,#4682B4,0
6,65.7768,0.7575,0,All,#4682B4,0
6,67.5642,0.8641,0,All,#4682B4,0
6,70.4416,0.9246,0,All,#4682B4,0
6,75.3987,0.9992,0,All,#4682B4,0
6,79.1034,0.9981,0,All,#4682B4,0
6,80.8876,0.9935,0,All,#4682B4,0
7,60.7814,0.2111,0,All,#4682B4,0
7,61.5569,0.241,0,All,#4682B4,0
7,64.7481,0.3703,0,All,#4682B4,0
7,67.6332,0.5225,0,All,#4682B4,0
7,74.8856,0.8048,0,All,#4682B4,0
7,80.116,0.9283,0,All,#4682B4,0
7,84.2767,0.9523,0,All,#4682B4,0
8,53.3615,0.1351,0,All,#4682B4,0
8,54.7512,0.1646,0,All,#4682B4,0
8,55.989,0.2048,0,All,#4682B4,0
8,72.0323,0.8602,0,All,#4682B4,0
8,80.8232,0.9806,0,All,#4682B4,0
8,80.9992,0.9696,0,All,#4682B4,0
8,84.2734,0.9777,0,All,#4682B4,0
8,85.8264,0.9823,0,All,#4682B4,0
9,61.8442,0.2199,0,All,#4682B4,0
9,64.1586,0.3201,0,All,#4682B4,0
9,65.6344,0.3814,0,All,#4682B4,0
9,69.2442,0.5837,0,All,#4682B4,0
9,74.5514,0.8192,0,All,#4682B4,0
10,61.0442,0.0786,0,All,#4682B4,0
10,65.9714,0.1036,0,All,#4682B4,0
10,66.0268,0.1203,0,All,#4682B4,0
10,70.8579,0.2034,0,All,#4682B4,0
10,73.71,0.2296,0,All,#4682B4,0
10,76.3568,0.2728,0,All,#4682B4,0
10,76.7929,0.2892,0,All,#4682B4,0
10,82.7266,0.4003,0,All,#4682B4,0
11,58.9208,0.0552,0,All,#4682B4,0
11,59.9438,0.0487,0,All,#4682B4,0
11,63.2919,0.1783,0,All,#4682B4,0
11,76.1945,0.9804,0,All,#4682B4,0
11,79.3327,0.9989,0,All,#4682B4,0
12,52.7435,0.0062,0,All,#4682B4,0
12,56.2069,0.0167,0,All,#4682B4,0
12,62.233,0.03,0,All,#4682B4,0
12,67.2039,0.0802,0,All,#4682B4,0
12,68.3164,0.1024,0,All,#4682B4,0
12,72.8042,0.2103,0,All,#4682B4,0
12,79.9407,0.4818,0,All,#4682B4,0
13,63.5853,0.0477,0,All,#4682B4,0
13,65.5303,0.1137,0,All,#4682B4,0
13,66.126,0.1143,0,All,#4682B4,0
13,68.1675,0.1845,0,All,#4682B4,0
13,71.2814,0.3681,0,All,#4682B4,0
13,72.1323,0.4133,0,All,#4682B4,0
13,76.3583,0.704,0,All,#4682B4,0
13,76.3758,0.6837,0,All,#4682B4,0
14,59.5414,0.0184,0,All,#4682B4,0
14,61.0421,0.0353,0,All,#4682B4,0
14,61.9724,0.0447,0,All,#4682B4,0
14,65.9464,0.1622,0,All,#4682B4,0
14,73.8038,0.8085,0,All,#4682B4,0
14,77.8069,0.9619,0,All,#4682B4,0
14,79.9397,0.9699,0,All,#4682B4,0
14,80.6411,0.9781,0,All,#4682B4,0
15,57.763,0.0136,0,All,#4682B4,0
15,59.2576,0.0025,0,All,#4682B4,0
15,61.1538,-0.0031,0,All,#4682B4,0
15,62.724,0.0044,0,All,#4682B4,0
15,71.1975,0.0364,0,All,#4682B4,0
15,72.354,0.0454,0,All,#4682B4,0
15,78.7535,0.1838,0,All,#4682B4,0
15,82.2963,0.3558,0,All,#4682B4,0
15,82.4116,0.3539,0,All,#4682B4,0
16,61.073,0.3811,0,All,#4682B4,0
16,63.143,0.4557,0,All,#4682B4,0
16,63.7033,0.4963,0,All,#4682B4,0
16,64.2093,0.5336,0,All,#4682B4,0
16,67.1378,0.6383,0,All,#4682B4,0
16,72.3983,0.792,0,All,#4682B4,0
16,76.5949,0.8924,0,All,#4682B4,0
16,80.3742,0.9593,0,All,#4682B4,0
16,81.7036,0.9548,0,All,#4682B4,0
17,58.1294,0.0229,0,All,#4682B4,0
17,58.899,0.0154,0,All,#4682B4,0
17,59.557,0.0111,0,All,#4682B4,0
17,63.5321,0.055,0,All,#4682B4,0
17,67.801,0.1546,0,All,#4682B4,0
17,70.2737,0.2369,0,All,#4682B4,0
