alpha_abscissa,alpha_pdf,tau_abscissa,tau_pdf,split
0.0147827,7.39626,60.1897,0.0151394,All
0.0239766,20.3397,62.4355,0.00756972,All
0.0331704,13.868,64.6812,0.0378486,All
0.0423643,21.7265,66.927,0.0435259,All
0.0515581,14.3302,69.1728,0.0454183,All
0.0607519,14.3302,71.4186,0.0340637,All
0.0699458,7.39626,73.6644,0.0738048,All
0.0791396,6.93399,75.9102,0.0454183,All
0.0883334,3.23586,78.156,0.0548805,All
0.0975273,2.31133,80.4018,0.039741,All
0.106721,0.462266,82.6476,0.0208167,All
0.115915,0.462266,84.8934,0.0227092,All
0.125109,0.462266,87.1392,0.013247,All
0.134303,0.462266,89.3849,0.00756972,All
0.143496,0.924532,91.6307,0.00378486,All
0.15269,0.924532,93.8765,0.00756972,All
