id,alpha_standEta_mean,alpha_standEta_mode,tau_standEta_mean,tau_standEta_mode,filter
1,0,,-0.0289915,,0
2,0,,0.0271716,,0
3,0,,-0.0701701,,0
4,0,,0.0324764,,0
5,0,,-0.0262748,,0
6,0,,0.0906851,,0
7,0,,0.0116981,,0
8,0,,0.0140995,,0
9,0,,0.0261268,,0
10,0,,-0.0843886,,0
11,0,,0.108372,,0
12,0,,0.00283806,,0
13,0,,0.0588103,,0
14,0,,0.104833,,0
15,0,,0.0418464,,0
16,0,,-0.00709014,,0
17,0,,0.0371599,,0
18,0,,-0.00167328,,0
19,0,,0.00852943,,0
20,0,,0.000838879,,0
21,0,,0.0110357,,0
22,0,,-0.124273,,0
23,0,,-0.0392103,,0
24,0,,-0.155074,,0
25,0,,-0.0328836,,0
26,0,,0.0794722,,0
27,0,,-0.0404854,,0
28,0,,0.0351668,,0
29,0,,0.0837641,,0
30,0,,-0.0557672,,0
31,0,,0.0664533,,0
32,0,,0.0506538,,0
33,0,,-0.0330667,,0
34,0,,0.0188067,,0
35,0,,0.017528,,0
36,0,,-0.00477142,,0
37,0,,-0.0473382,,0
38,0,,0.082863,,0
39,0,,-0.0102269,,0
40,0,,0.0815564,,0
41,0,,-0.045058,,0
42,0,,0.123696,,0
43,0,,0.0616052,,0
44,0,,0.013163,,0
45,0,,0.065542,,0
46,0,,0.0219446,,0
47,0,,0.0579695,,0
48,0,,-0.0445266,,0
49,0,,0.050532,,0
50,0,,0.0779447,,0
51,0,,0.0129015,,0
52,0,,0.0548856,,0
53,0,,0.047676,,0
54,0,,-0.00818326,,0
55,0,,0.0864759,,0
56,0,,0.0679924,,0
57,0,,0.00910035,,0
58,0,,-0.0695209,,0
59,0,,0.0176028,,0
60,0,,0.0891723,,0
61,0,,0.0758532,,0
62,0,,0.108702,,0
63,0,,-0.0832147,,0
64,0,,0.007366,,0
65,0,,0.00628632,,0
66,0,,0.0801413,,0
67,0,,-0.0215786,,0
68,0,,-0.0609743,,0
69,0,,-0.0304526,,0
70,0,,-0.0718006,,0
71,0,,-0.117277,,0
72,0,,-0.100015,,0
73,0,,0.0119489,,0
74,0,,0.0309958,,0
75,0,,-0.0900981,,0
76,0,,0.00587068,,0
77,0,,0.0353969,,0
78,0,,0.0778014,,0
79,0,,-0.0558841,,0
80,0,,0.0440992,,0
81,0,,-0.0559818,,0
82,0,,-0.0360043,,0
83,0,,-0.0318374,,0
84,0,,-0.0478128,,0
85,0,,-0.136345,,0
86,0,,0.0391235,,0
87,0,,0.082345,,0
88,0,,-0.00754543,,0
89,0,,-0.00712386,,0
90,0,,0.0496407,,0
91,0,,-0.00478448,,0
92,0,,-0.0627983,,0
93,0,,-0.0168931,,0
94,0,,0.00665002,,0
95,0,,-0.0131294,,0
96,0,,0.0295793,,0
97,0,,0.0032559,,0
98,0,,0.0548365,,0
99,0,,-0.0133973,,0
100,0,,0.050279,,0
101,0,,0.0838051,,0
102,0,,0.0016299,,0
103,0,,0.0122312,,0
104,0,,0.0607707,,0
105,0,,0.0112353,,0
106,0,,0.160183,,0
107,0,,-0.0947639,,0
108,0,,0.0937123,,0
109,0,,0.0549127,,0
110,0,,-0.0943828,,0
111,0,,0.0304506,,0
112,0,,-0.0679006,,0
113,0,,0.0406889,,0
114,0,,-0.11456,,0
115,0,,-0.0176501,,0
116,0,,0.0296848,,0
117,0,,0.0198367,,0
118,0,,-0.104855,,0
119,0,,0.146848,,0
120,0,,0.0644518,,0
121,0,,0.00107415,,0
122,0,,-0.0223113,,0
123,0,,0.00370509,,0
124,0,,-0.00280224,,0
125,0,,0.0198037,,0
126,0,,-0.0969482,,0
127,0,,-0.060457,,0
128,0,,-0.172092,,0
129,0,,0.0493193,,0
130,0,,-0.0938824,,0
131,0,,0.0532512,,0
132,0,,-0.0699205,,0
133,0,,0.0340858,,0
134,0,,0.0404283,,0
135,0,,-0.106829,,0
136,0,,0.174609,,0
137,0,,0.00414016,,0
138,0,,0.179793,,0
139,0,,-0.0524591,,0
140,0,,-0.0944722,,0
141,0,,-0.0424928,,0
142,0,,0.0149297,,0
143,0,,0.0262236,,0
144,0,,-0.0527461,,0
145,0,,0.0673667,,0
146,0,,0.0181541,,0
147,0,,0.0721895,,0
148,0,,-0.0124898,,0
149,0,,0.0054067,,0
150,0,,-0.00372989,,0
151,0,,-0.134042,,0
152,0,,-0.0403878,,0
153,0,,-0.00206054,,0
154,0,,0.0437206,,0
155,0,,-0.0677341,,0
156,0,,0.00545827,,0
157,0,,0.086054,,0
158,0,,-0.0161362,,0
159,0,,-0.0169001,,0
160,0,,-0.0229257,,0
161,0,,0.0541327,,0
162,0,,-0.0289177,,0
163,0,,-0.07119,,0
164,0,,-0.137268,,0
165,0,,0.0463708,,0
166,0,,-0.0474297,,0
167,0,,-0.202312,,0
168,0,,0.0894195,,0
169,0,,0.0898707,,0
170,0,,0.00994384,,0
171,0,,-0.133851,,0
172,0,,-0.0269134,,0
173,0,,0.0788085,,0
174,0,,-0.124965,,0
175,0,,-0.0673605,,0
176,0,,0.00482889,,0
177,0,,0.0659343,,0
178,0,,0.00884549,,0
179,0,,0.0325583,,0
180,0,,-0.00430427,,0
181,0,,0.108414,,0
182,0,,-0.135198,,0
183,0,,-0.0470927,,0
184,0,,0.00049281,,0
185,0,,0.0795273,,0
186,0,,0.0144488,,0
187,0,,0.151861,,0
188,0,,0.0170661,,0
189,0,,-0.094178,,0
190,0,,0.115134,,0
191,0,,-0.0229767,,0
192,0,,0.0473025,,0
193,0,,-0.0865963,,0
194,0,,0.0355787,,0
195,0,,-0.000290141,,0
196,0,,0.0348078,,0
197,0,,0.0557763,,0
198,0,,0.169078,,0
199,0,,0.0394394,,0
200,0,,-0.0598953,,0
201,0,,-0.0827277,,0
202,0,,-0.129516,,0
203,0,,-0.0608182,,0
204,0,,-0.0528692,,0
205,0,,0.133875,,0
206,0,,0.0473002,,0
207,0,,-0.0363646,,0
208,0,,0.0317938,,0
209,0,,0.0432277,,0
210,0,,-0.0953714,,0
211,0,,-0.0781073,,0
212,0,,0.0571138,,0
213,0,,-0.0136177,,0
214,0,,0.080007,,0
215,0,,0.0966545,,0
216,0,,0.036432,,0
217,0,,0.0863291,,0
218,0,,0.00650721,,0
219,0,,-0.0400249,,0
220,0,,0.0388548,,0
221,0,,-0.0789788,,0
222,0,,0.0895652,,0
223,0,,-0.0907027,,0
224,0,,-0.134979,,0
225,0,,-0.163796,,0
226,0,,0.0457401,,0
227,0,,-0.0960753,,0
228,0,,-0.0864049,,0
229,0,,-0.0713877,,0
230,0,,0.0315204,,0
231,0,,0.00560378,,0
232,0,,0.0652825,,0
233,0,,0.0417458,,0
234,0,,-0.0112699,,0
235,0,,-0.0673019,,0
236,0,,0.00273664,,0
237,0,,0.0468877,,0
238,0,,0.0105707,,0
239,0,,-0.0194545,,0
240,0,,-0.0916857,,0
241,0,,-0.0374497,,0
242,0,,-0.0279949,,0
243,0,,-0.0595083,,0
244,0,,-0.0775184,,0
245,0,,-0.0882134,,0
246,0,,0.0505184,,0
247,0,,-0.116556,,0
248,0,,-0.0186756,,0
249,0,,0.0285652,,0
250,0,,0.0339617,,0
