id,p0_SAEM,alpha_SAEM,tau_SAEM
1,0.403970,0.034719,75.094871
2,0.403970,0.052719,75.797788
3,0.403970,0.025551,78.525592
4,0.403970,0.054844,64.807483
5,0.403970,0.035412,79.645047
6,0.403970,0.084694,61.408333
7,0.403970,0.046980,65.440345
8,0.403970,0.047823,60.908030
9,0.403970,0.052310,65.929188
10,0.403970,0.022979,82.490859
11,0.403970,0.096605,66.127470
12,0.403970,0.043992,78.149991
13,0.403970,0.066710,71.969169
14,0.403970,0.093977,69.118700
15,0.403970,0.058898,83.256502
16,0.403970,0.040849,61.570351
17,0.403970,0.056786,73.551740
18,0.403970,0.042524,60.454189
19,0.403970,0.045880,78.660406
20,0.403970,0.043324,67.152258
21,0.403970,0.046757,68.852424
22,0.403970,0.017095,86.249212
23,0.403970,0.032168,72.506137
24,0.403970,0.013595,88.455017
25,0.403970,0.033762,78.433898
26,0.403970,0.077969,76.567180
27,0.403970,0.031857,72.281604
28,0.403970,0.055945,73.937095
29,0.403970,0.080337,79.696621
30,0.403970,0.028426,72.111120
31,0.403970,0.070628,65.902987
32,0.403970,0.062794,74.249115
33,0.403970,0.033750,76.760326
34,0.403970,0.049526,68.992273
35,0.403970,0.049071,75.772476
36,0.403970,0.041554,70.949136
37,0.403970,0.030277,67.757721
38,0.403970,0.079836,68.536052
39,0.403970,0.039903,75.468702
40,0.403970,0.079025,66.432670
41,0.403970,0.030796,73.626658
42,0.403970,0.108141,70.482102
43,0.403970,0.068124,73.250438
44,0.403970,0.047503,62.458735
45,0.403970,0.070161,72.801834
46,0.403970,0.050699,69.802381
47,0.403970,0.066295,72.883928
48,0.403970,0.030908,78.968037
49,0.403970,0.062883,76.917775
50,0.403970,0.076925,72.999622
51,0.403970,0.047396,70.958521
52,0.403970,0.064785,68.382646
53,0.403970,0.061548,68.284632
54,0.403970,0.040516,76.768351
55,0.403970,0.081963,65.079573
56,0.403970,0.071446,73.375692
57,0.403970,0.046078,73.532804
58,0.403970,0.025661,66.730355
59,0.403970,0.049087,80.199002
60,0.403970,0.083650,73.731793
61,0.403970,0.075761,65.546981
62,0.403970,0.096748,83.087993
63,0.403970,0.023175,70.851142
64,0.403970,0.045486,75.158979
65,0.403970,0.045119,82.182716
66,0.403970,0.078202,72.986409
67,0.403970,0.036863,91.764256
68,0.403970,0.027354,80.222545
69,0.403970,0.034333,80.153694
70,0.403970,0.025231,80.983735
71,0.403970,0.017995,84.522895
72,0.403970,0.020455,74.794845
73,0.403970,0.047078,72.585363
74,0.403970,0.054249,78.272803
75,0.403970,0.022020,77.360851
76,0.403970,0.045165,77.030697
77,0.403970,0.056038,64.979739
78,0.403970,0.076866,77.255230
79,0.403970,0.028406,72.534525
80,0.403970,0.062445,88.966646
81,0.403970,0.028406,68.107481
82,0.403970,0.032959,75.404676
83,0.403970,0.034048,74.658734
84,0.403970,0.030185,68.956563
85,0.403970,0.015655,79.805747
86,0.403970,0.057626,76.876532
87,0.403970,0.079535,64.803635
88,0.403970,0.040714,73.220703
89,0.403970,0.040829,61.268358
90,0.403970,0.062409,80.286828
91,0.403970,0.041933,81.851904
92,0.403970,0.026983,67.534000
93,0.403970,0.037986,64.748442
94,0.403970,0.045297,82.238355
95,0.403970,0.039051,67.785088
96,0.403970,0.053672,69.355896
97,0.403970,0.044131,74.772244
98,0.403970,0.064771,64.743757
99,0.403970,0.039018,80.518309
100,0.403970,0.062621,70.069648
101,0.403970,0.080386,68.740127
102,0.403970,0.043992,78.896542
103,0.403970,0.047287,84.185467
104,0.403970,0.067686,68.005903
105,0.403970,0.046979,84.008549
106,0.403970,0.141961,73.999085
107,0.403970,0.021301,64.200799
108,0.403970,0.086829,69.675584
109,0.403970,0.064824,68.948416
110,0.403970,0.021344,69.521872
111,0.403970,0.054102,58.890603
112,0.403970,0.025991,73.274850
113,0.403970,0.058293,70.941398
114,0.403970,0.018367,73.325763
115,0.403970,0.037767,73.515297
116,0.403970,0.053708,65.154718
117,0.403970,0.049979,82.760025
118,0.403970,0.019848,90.007413
119,0.403970,0.128520,65.114187
120,0.403970,0.071434,86.057969
121,0.403970,0.043416,70.264781
122,0.403970,0.036519,87.300937
123,0.403970,0.044445,89.020981
124,0.403970,0.042208,83.018218
125,0.403970,0.049923,77.180346
126,0.403970,0.020928,78.417521
127,0.403970,0.027514,84.208110
128,0.403970,0.011972,93.515950
129,0.403970,0.062248,85.622727
130,0.403970,0.021411,89.621601
131,0.403970,0.064029,63.935159
132,0.403970,0.025592,73.702087
133,0.403970,0.055491,73.325443
134,0.403970,0.058665,78.493341
135,0.403970,0.019460,82.508996
136,0.403970,0.158453,69.966514
137,0.403970,0.044518,77.961290
138,0.403970,0.165039,66.914995
139,0.403970,0.029146,59.509194
140,0.403970,0.021346,84.893109
141,0.403970,0.031379,74.377991
142,0.403970,0.048127,60.628064
143,0.403970,0.052403,77.424163
144,0.403970,0.029084,69.511362
145,0.403970,0.074557,81.532809
146,0.403970,0.049298,69.881375
147,0.403970,0.073720,60.105277
148,0.403970,0.039245,71.465022
149,0.403970,0.044840,75.264593
150,0.403970,0.041944,75.782025
151,0.403970,0.015923,90.065240
152,0.403970,0.031874,74.646531
153,0.403970,0.042417,78.002192
154,0.403970,0.060053,85.917352
155,0.403970,0.026042,79.434123
156,0.403970,0.044856,86.529010
157,0.403970,0.081723,66.737784
158,0.403970,0.038182,63.993576
159,0.403970,0.037974,81.322163
160,0.403970,0.036315,77.294768
161,0.403970,0.065273,77.628007
162,0.403970,0.034852,91.277112
163,0.403970,0.025351,82.690046
164,0.403970,0.015500,86.986652
165,0.403970,0.060822,70.346697
166,0.403970,0.030270,79.632542
167,0.403970,0.009568,97.062020
168,0.403970,0.085664,90.141613
169,0.403970,0.084097,65.770094
170,0.403970,0.046365,74.161451
171,0.403970,0.015903,78.669531
172,0.403970,0.035261,74.064551
173,0.403970,0.077425,67.507576
174,0.403970,0.016988,78.605029
175,0.403970,0.026075,73.897323
176,0.403970,0.044641,67.638564
177,0.403970,0.073511,83.928963
178,0.403970,0.046086,83.812526
179,0.403970,0.054870,69.091407
180,0.403970,0.041711,65.064531
181,0.403970,0.096525,73.213905
182,0.403970,0.015748,74.066126
183,0.403970,0.030374,75.330702
184,0.403970,0.043219,72.535081
185,0.403970,0.077837,75.464874
186,0.403970,0.047956,72.699847
187,0.403970,0.133487,63.659889
188,0.403970,0.048906,77.808840
189,0.403970,0.021387,77.231060
190,0.403970,0.101475,72.821498
191,0.403970,0.036287,74.405219
192,0.403970,0.061255,61.068085
193,0.403970,0.022617,92.254397
194,0.403970,0.056126,69.996737
195,0.403970,0.042964,69.810526
196,0.403970,0.055810,67.363637
197,0.403970,0.065259,73.968564
198,0.403970,0.151916,73.618703
199,0.403970,0.057746,67.012760
200,0.403970,0.027569,70.930351
201,0.403970,0.023269,86.158134
202,0.403970,0.016419,79.161551
203,0.403970,0.027378,70.103018
204,0.403970,0.029054,69.244269
205,0.403970,0.116673,71.441823
206,0.403970,0.061254,80.395676
207,0.403970,0.032866,79.341404
208,0.403970,0.055263,82.001423
209,0.403970,0.059413,77.553620
210,0.403970,0.021172,71.076899
211,0.403970,0.024078,75.999619
212,0.403970,0.065933,64.907676
213,0.403970,0.038916,81.149317
214,0.403970,0.078145,80.221784
215,0.403970,0.088420,64.083836
216,0.403970,0.056587,74.730317
217,0.403970,0.082202,68.648533
218,0.403970,0.045194,74.734861
219,0.403970,0.031995,81.614488
220,0.403970,0.057513,76.183296
221,0.403970,0.023919,74.376683
222,0.403970,0.084657,80.260062
223,0.403970,0.021916,76.552417
224,0.403970,0.015771,88.313780
225,0.403970,0.012724,83.179578
226,0.403970,0.060533,66.816797
227,0.403970,0.021066,77.711112
228,0.403970,0.022641,77.155853
229,0.403970,0.025304,70.862140
230,0.403970,0.054619,84.894307
231,0.403970,0.044920,72.955494
232,0.403970,0.070030,73.001299
233,0.403970,0.058754,66.915537
234,0.403970,0.039593,66.778437
235,0.403970,0.026086,68.422001
236,0.403970,0.043958,75.522632
237,0.403970,0.061048,63.045660
238,0.403970,0.046691,79.104659
239,0.403970,0.037255,77.580660
240,0.403970,0.021791,75.340885
241,0.403970,0.032584,64.262173
242,0.403970,0.034954,75.553918
243,0.403970,0.027689,84.456989
244,0.403970,0.024184,77.096195
245,0.403970,0.022327,67.923582
246,0.403970,0.062718,71.512657
247,0.403970,0.018080,78.835957
248,0.403970,0.037471,73.441042
249,0.403970,0.053268,63.694627
