rep,id,p0,alpha,tau
1,1,0.403735,0.034348,75.101368
1,2,0.403735,0.052577,75.898228
1,3,0.403735,0.025900,78.736660
1,4,0.403735,0.051774,64.734411
1,5,0.403735,0.036353,79.638634
1,6,0.403735,0.079943,61.308237
1,7,0.403735,0.046204,65.449900
1,8,0.403735,0.045519,60.823264
1,9,0.403735,0.052820,65.956781
1,10,0.403735,0.022607,82.682721
1,11,0.403735,0.091550,66.472943
1,12,0.403735,0.046490,77.940003
1,13,0.403735,0.066612,72.034159
1,14,0.403735,0.089850,68.838743
1,15,0.403735,0.063021,83.197804
1,16,0.403735,0.039872,61.454965
1,17,0.403735,0.056362,73.433310
1,18,0.403735,0.042885,60.496422
1,19,0.403735,0.045659,78.613806
1,20,0.403735,0.043274,66.937383
1,21,0.403735,0.045514,69.172550
1,22,0.403735,0.015832,87.186311
1,23,0.403735,0.030317,72.358019
1,24,0.403735,0.013261,88.939061
1,25,0.403735,0.034700,78.634205
1,26,0.403735,0.076319,76.710464
1,27,0.403735,0.028477,72.082269
1,28,0.403735,0.055719,74.017046
1,29,0.403735,0.078544,79.740993
1,30,0.403735,0.027982,72.032925
1,31,0.403735,0.069872,66.041584
1,32,0.403735,0.062362,74.316487
1,33,0.403735,0.032211,76.560118
1,34,0.403735,0.050559,68.968004
1,35,0.403735,0.047403,75.843703
1,36,0.403735,0.041813,70.978258
1,37,0.403735,0.029769,67.753398
1,38,0.403735,0.075654,67.994368
1,39,0.403735,0.041156,75.553242
1,40,0.403735,0.080376,66.421670
1,41,0.403735,0.031601,73.457820
1,42,0.403735,0.108077,70.521548
1,43,0.403735,0.067380,73.191903
1,44,0.403735,0.049093,62.496457
1,45,0.403735,0.069117,72.838030
1,46,0.403735,0.048757,69.639453
1,47,0.403735,0.067107,72.892469
1,48,0.403735,0.031747,79.104173
1,49,0.403735,0.058124,76.922305
1,50,0.403735,0.074365,73.023288
1,51,0.403735,0.048794,70.903881
1,52,0.403735,0.065411,68.354472
1,53,0.403735,0.060908,68.187529
1,54,0.403735,0.040804,76.891769
1,55,0.403735,0.081486,65.021388
1,56,0.403735,0.066540,73.206433
1,57,0.403735,0.046253,73.361753
1,58,0.403735,0.025844,66.756309
1,59,0.403735,0.048929,79.937640
1,60,0.403735,0.084399,73.589477
1,61,0.403735,0.076512,65.525808
1,62,0.403735,0.096924,83.166713
1,63,0.403735,0.023079,70.852078
1,64,0.403735,0.046236,74.908223
1,65,0.403735,0.043874,82.005539
1,66,0.403735,0.078912,72.679722
1,67,0.403735,0.038707,90.514440
1,68,0.403735,0.026471,80.218404
1,69,0.403735,0.036150,80.099872
1,70,0.403735,0.025878,80.848940
1,71,0.403735,0.017879,84.356242
1,72,0.403735,0.019767,74.834873
1,73,0.403735,0.047655,72.378129
1,74,0.403735,0.054803,78.241809
1,75,0.403735,0.023759,77.011295
1,76,0.403735,0.042912,77.295197
1,77,0.403735,0.056359,65.137663
1,78,0.403735,0.075105,77.129840
1,79,0.403735,0.027914,72.442007
1,80,0.403735,0.067903,85.320755
1,81,0.403735,0.028045,68.356970
1,82,0.403735,0.032486,75.273112
1,83,0.403735,0.031969,75.249592
1,84,0.403735,0.029952,68.756574
1,85,0.403735,0.016782,79.189443
1,86,0.403735,0.059242,76.934533
1,87,0.403735,0.081079,64.821652
1,88,0.403735,0.039075,72.994936
1,89,0.403735,0.042000,61.459062
1,90,0.403735,0.062246,80.366627
1,91,0.403735,0.044842,81.074376
1,92,0.403735,0.026102,67.515716
1,93,0.403735,0.036592,64.704079
