rep,id,eta_p0,eta_alpha,eta_tau
1,1,0.000000,-0.226366,0.619224
1,2,0.000000,0.199356,1.416085
1,3,0.000000,-0.508696,4.254517
1,4,0.000000,0.183966,-9.747733
1,5,0.000000,-0.169652,5.156491
1,6,0.000000,0.618393,-13.173906
1,7,0.000000,0.070140,-9.032243
1,8,0.000000,0.055206,-13.658879
1,9,0.000000,0.203964,-8.525363
1,10,0.000000,-0.644677,8.200577
1,11,0.000000,0.753959,-8.009201
1,12,0.000000,0.076316,3.457860
1,13,0.000000,0.435964,-2.447984
1,14,0.000000,0.735219,-5.643401
1,15,0.000000,0.380549,8.715660
1,16,0.000000,-0.077255,-13.027179
1,17,0.000000,0.268876,-1.048833
1,18,0.000000,-0.004400,-13.985721
1,19,0.000000,0.058274,4.131662
1,20,0.000000,0.004634,-7.544760
1,21,0.000000,0.055107,-5.309594
1,22,0.000000,-1.000922,12.704168
1,23,0.000000,-0.351208,-2.124125
1,24,0.000000,-1.178060,14.456917
1,25,0.000000,-0.216184,4.152061
1,26,0.000000,0.571995,2.228320
1,27,0.000000,-0.413840,-2.399874
1,28,0.000000,0.257403,-0.465097
1,29,0.000000,0.600733,5.258850
1,30,0.000000,-0.431345,-2.449219
1,31,0.000000,0.483744,-8.440560
1,32,0.000000,0.370036,-0.165656
1,33,0.000000,-0.290604,2.077974
1,34,0.000000,0.160217,-5.514140
1,35,0.000000,0.095761,1.361560
1,36,0.000000,-0.029716,-3.503885
1,37,0.000000,-0.369470,-6.728746
1,38,0.000000,0.563253,-6.487775
1,39,0.000000,-0.045566,1.071099
1,40,0.000000,0.623797,-8.060474
1,41,0.000000,-0.309733,-1.024323
1,42,0.000000,0.919924,-3.960596
1,43,0.000000,0.447424,-1.290241
1,44,0.000000,0.130802,-11.985686
1,45,0.000000,0.472872,-1.644113
1,46,0.000000,0.123916,-4.842691
1,47,0.000000,0.443361,-1.589674
1,48,0.000000,-0.305126,4.622029
1,49,0.000000,0.299648,2.440162
1,50,0.000000,0.546059,-1.458855
1,51,0.000000,0.124690,-3.578263
1,52,0.000000,0.417768,-6.127671
1,53,0.000000,0.346435,-6.294614
1,54,0.000000,-0.054144,2.409626
1,55,0.000000,0.637514,-9.460755
1,56,0.000000,0.434875,-1.275710
1,57,0.000000,0.071195,-1.120391
1,58,0.000000,-0.510829,-7.725834
1,59,0.000000,0.127450,5.455497
1,60,0.000000,0.672637,-0.892666
