id,importanceSampling
1,-24.570
2,-23.770
3,-37.013
4,-18.071
5,-34.652
6,-35.467
7,-32.040
8,-40.101
9,-20.423
10,-35.495
11,-17.501
12,-37.146
13,-35.457
14,-39.802
15,-48.557
16,-36.714
17,-48.038
18,-17.141
19,-37.801
20,-30.407
21,-29.784
22,-21.356
23,-31.765
24,-32.670
25,-22.536
26,-26.438
27,-22.606
28,-24.762
29,-43.377
30,-34.871
31,-15.136
32,-16.690
33,-22.799
34,-45.171
35,-45.706
36,-18.796
37,-41.123
38,-9.700
39,-21.731
40,-37.778
41,-30.299
42,-20.238
43,-25.485
44,-37.461
45,-42.322
46,-46.698
47,-36.205
48,-45.441
49,-24.071
50,-31.790
51,-43.041
52,-31.833
53,-21.386
54,-36.744
55,-35.622
56,-22.302
57,-24.795
58,-16.743
59,-42.788
60,-27.037
61,-39.583
62,-32.077
63,-26.392
64,-39.984
65,-43.949
66,-43.088
67,-44.030
68,-35.577
69,-22.848
70,-40.791
71,-36.419
72,-26.869
73,-20.755
74,-34.854
75,-34.539
76,-37.486
77,-42.563
78,-16.385
79,-40.670
80,-24.803
81,-27.085
82,-22.081
83,-36.147
84,-21.142
85,-34.755
86,-38.607
87,-16.919
88,-26.555
89,-45.387
90,-21.592
91,-38.033
92,-27.257
93,-32.002
94,-38.123
95,-39.445
96,-29.552
97,-21.121
98,-44.994
99,-29.461
100,-21.957
101,-29.878
102,-31.062
103,-50.682
104,-42.004
105,-37.456
106,-34.809
107,-16.140
108,-41.933
109,-13.194
110,-19.901
111,-11.279
112,-37.515
113,-32.945
114,-35.186
115,-22.867
116,-26.414
117,-44.215
118,-22.405
119,-14.718
120,-44.204
121,-17.903
122,-16.210
123,-40.663
124,-22.346
125,-21.376
126,-48.008
127,-35.829
128,-18.926
129,-19.877
130,-32.297
131,-19.791
132,-18.333
133,-47.427
134,-35.648
135,-27.453
136,-25.014
137,-21.806
138,-28.440
139,-21.990
140,-41.536
141,-25.011
142,-25.277
143,-31.048
144,-26.959
145,-20.722
146,-19.583
147,-18.431
148,-15.141
149,-37.079
150,-22.816
151,-48.131
152,-42.044
153,-33.967
154,-18.803
155,-20.617
156,-39.485
157,-36.433
158,-35.703
159,-31.129
160,-36.303
161,-19.939
162,-19.548
163,-21.531
164,-44.820
165,-28.219
166,-36.180
167,-19.799
168,-49.633
169,-33.504
170,-46.744
171,-41.404
172,-32.585
173,-26.452
174,-48.635
175,-49.873
176,-24.179
177,-27.422
178,-19.499
179,-34.233
180,-40.935
181,-26.143
182,-40.661
183,-22.463
184,-39.561
185,-36.127
186,-50.640
187,-28.517
188,-17.849
189,-33.762
190,-25.430
191,-32.664
192,-35.759
193,-45.081
194,-49.306
195,-35.533
196,-35.768
197,-35.119
198,-34.314
199,-38.560
200,-34.108
201,-47.358
202,-44.129
203,-44.276
204,-39.729
205,-17.482
206,-28.748
207,-20.816
208,-50.363
209,-25.012
210,-32.156
211,-19.281
212,-23.695
213,-38.664
214,-31.975
215,-25.292
216,-28.056
217,-24.505
218,-31.983
219,-36.429
220,-41.841
221,-27.600
222,-23.927
223,-43.849
224,-41.103
225,-26.075
226,-27.376
227,-38.770
228,-49.881
229,-46.279
230,-29.845
231,-21.364
232,-33.664
233,-34.156
234,-33.674
235,-26.015
236,-48.695
237,-32.951
238,-29.590
239,-34.333
240,-44.092
241,-17.338
242,-47.314
243,-35.049
244,-31.025
245,-23.134
246,-21.123
247,-44.177
248,-38.384
249,-46.141
250,-40.792
