id,p0_SAEM,alpha_SAEM,tau_SAEM,p0_mean,alpha_mean,tau_mean,p0_sd,alpha_sd,tau_sd
1,0.208599,0.023649,68.487749,0.208473,0.023668,68.492023,0.000000,0.000885,0.203606
2,0.208599,0.035869,71.461791,0.208473,0.036216,71.510092,0.000000,0.000966,0.191704
3,0.208599,0.017553,69.616805,0.208473,0.017601,69.607551,0.000000,0.000707,0.246347
4,0.208599,0.037281,60.569443,0.208473,0.037352,60.577849,0.000000,0.001120,0.210805
5,0.208599,0.024265,73.224766,0.208473,0.024249,73.225109,0.000000,0.000665,0.216402
6,0.208599,0.058572,58.785413,0.208473,0.057973,58.706195,0.000000,0.003224,0.413997
7,0.208599,0.032239,60.559013,0.208473,0.032232,60.578097,0.000000,0.000648,0.149409
8,0.208599,0.032579,56.108059,0.208473,0.032586,56.125519,0.000000,0.000799,0.190160
9,0.208599,0.035943,61.567382,0.208473,0.036123,61.597437,0.000000,0.000985,0.167938
10,0.208599,0.015794,72.615673,0.208473,0.015709,72.585322,0.000000,0.000627,0.256955
11,0.208599,0.066002,63.732476,0.208473,0.067337,63.713886,0.000000,0.003996,0.153932
12,0.208599,0.029954,72.942554,0.208473,0.029929,72.949274,0.000000,0.001057,0.200477
13,0.208599,0.045896,68.576574,0.208473,0.045636,68.552491,0.000000,0.000950,0.104887
14,0.208599,0.064401,66.678433,0.208473,0.063948,66.652876,0.000000,0.001686,0.155292
15,0.208599,0.040155,79.330844,0.208473,0.040568,79.360330,0.000000,0.002346,0.166079
16,0.208599,0.028092,56.029196,0.208473,0.027811,55.941163,0.000000,0.000680,0.238297
17,0.208599,0.038710,69.528778,0.208473,0.038991,69.558126,0.000000,0.000865,0.149310
18,0.208599,0.029323,55.118096,0.208473,0.029190,55.087560,0.000000,0.000721,0.238043
19,0.208599,0.031129,73.632392,0.208473,0.031351,73.686708,0.000000,0.000639,0.165093
20,0.208599,0.029404,61.815680,0.208473,0.029444,61.820418,0.000000,0.000743,0.251814
21,0.208599,0.032264,64.040333,0.208473,0.032171,64.005154,0.000000,0.000992,0.263558
22,0.208599,0.011398,73.002415,0.208473,0.011418,72.963275,0.000000,0.000884,0.454148
23,0.208599,0.021949,65.406104,0.208473,0.022098,65.463779,0.000000,0.000735,0.342969
24,0.208599,0.008889,71.721557,0.208473,0.008927,71.738889,0.000000,0.000548,0.446495
25,0.208599,0.023551,71.739176,0.208473,0.023595,71.738061,0.000000,0.001433,0.259279
26,0.208599,0.058268,73.512027,0.208473,0.056129,73.560329,0.000000,0.005571,0.193339
