rep,id,p0,alpha,tau
1,1,0.164594,0.020286,66.492114
2,1,0.164594,0.020170,66.674950
3,1,0.164594,0.020170,66.674950
4,1,0.164594,0.020478,66.666572
5,1,0.164594,0.020496,66.674981
6,1,0.164594,0.020432,66.641825
7,1,0.164594,0.021835,67.019113
8,1,0.164594,0.021180,67.019113
9,1,0.164594,0.019492,66.426854
10,1,0.164594,0.019492,66.046102
1,2,0.164594,0.029037,70.020203
2,2,0.164594,0.029839,69.976655
3,2,0.164594,0.029839,69.976655
4,2,0.164594,0.029622,69.930458
5,2,0.164594,0.029622,69.930458
6,2,0.164594,0.029622,69.930458
7,2,0.164594,0.029622,69.930458
8,2,0.164594,0.030202,70.150834
9,2,0.164594,0.030202,70.176195
10,2,0.164594,0.030202,70.176195
1,3,0.164594,0.015486,66.671905
2,3,0.164594,0.013502,66.400635
3,3,0.164594,0.013417,66.400635
4,3,0.164594,0.013813,66.460346
5,3,0.164594,0.014565,66.568277
6,3,0.164594,0.014127,66.492521
7,3,0.164594,0.013577,66.429124
8,3,0.164594,0.013495,66.185793
9,3,0.164594,0.014383,67.029871
10,3,0.164594,0.014605,66.633652
1,4,0.164594,0.029450,58.585150
2,4,0.164594,0.028090,58.561489
3,4,0.164594,0.028716,58.740879
4,4,0.164594,0.028716,58.707141
5,4,0.164594,0.030571,59.141062
6,4,0.164594,0.029926,59.112750
7,4,0.164594,0.029926,59.112750
8,4,0.164594,0.030985,59.411953
9,4,0.164594,0.031018,59.403265
10,4,0.164594,0.031018,59.403265
1,5,0.164594,0.020095,71.462570
2,5,0.164594,0.019375,70.895671
3,5,0.164594,0.020307,71.053216
4,5,0.164594,0.020510,71.303339
5,5,0.164594,0.020672,71.173944
6,5,0.164594,0.020350,71.283250
7,5,0.164594,0.020672,71.533882
8,5,0.164594,0.020725,71.658993
9,5,0.164594,0.020725,71.658993
10,5,0.164594,0.021188,71.515322
1,6,0.164594,0.046845,57.430593
2,6,0.164594,0.046804,57.503735
3,6,0.164594,0.047526,57.871642
4,6,0.164594,0.047526,57.871642
5,6,0.164594,0.047526,57.871642
6,6,0.164594,0.047526,57.871642
7,6,0.164594,0.048793,58.004530
8,6,0.164594,0.048793,58.004530
9,6,0.164594,0.048793,57.971199
10,6,0.164594,0.049588,58.131329
1,7,0.164594,0.026910,59.050416
2,7,0.164594,0.026910,59.050416
3,7,0.164594,0.026910,59.050416
4,7,0.164594,0.026532,59.053627
5,7,0.164594,0.026513,58.927113
6,7,0.164594,0.027577,59.323627
7,7,0.164594,0.027442,59.276589
8,7,0.164594,0.027754,59.246959
9,7,0.164594,0.027243,59.440736
10,7,0.164594,0.027243,59.061757
1,8,0.164594,0.026962,54.873468
2,8,0.164594,0.027052,55.087726
3,8,0.164594,0.027396,54.699336
4,8,0.164594,0.026339,54.505134
5,8,0.164594,0.025683,54.390874
6,8,0.164594,0.025993,54.744891
7,8,0.164594,0.027055,54.509492
