rep,id,eta_p0,eta_alpha,eta_tau
1,1,0.000000,-0.192600,-0.074400
2,1,0.000000,-0.198315,0.108436
3,1,0.000000,-0.198315,0.108436
4,1,0.000000,-0.183142,0.100059
5,1,0.000000,-0.182295,0.108468
6,1,0.000000,-0.185435,0.075311
7,1,0.000000,-0.118978,0.452600
8,1,0.000000,-0.149465,0.452600
9,1,0.000000,-0.232520,-0.139659
10,1,0.000000,-0.232520,-0.520411
1,2,0.000000,0.166071,3.453690
2,2,0.000000,0.193290,3.410141
3,2,0.000000,0.193290,3.410141
4,2,0.000000,0.185994,3.363944
5,2,0.000000,0.185994,3.363944
6,2,0.000000,0.185994,3.363944
7,2,0.000000,0.185994,3.363944
8,2,0.000000,0.205401,3.584321
9,2,0.000000,0.205401,3.609681
10,2,0.000000,0.205401,3.609681
1,3,0.000000,-0.462587,0.105392
2,3,0.000000,-0.599658,-0.165879
3,3,0.000000,-0.605957,-0.165879
4,3,0.000000,-0.576909,-0.106168
5,3,0.000000,-0.523864,0.001764
6,3,0.000000,-0.554415,-0.073993
7,3,0.000000,-0.594164,-0.137389
8,3,0.000000,-0.600216,-0.380720
9,3,0.000000,-0.536452,0.463357
10,3,0.000000,-0.521180,0.067138
1,4,0.000000,0.180165,-7.981364
2,4,0.000000,0.132917,-8.005025
3,4,0.000000,0.154948,-7.825634
4,4,0.000000,0.154948,-7.859373
5,4,0.000000,0.217537,-7.425451
6,4,0.000000,0.196218,-7.453764
7,4,0.000000,0.196218,-7.453764
8,4,0.000000,0.230974,-7.154560
9,4,0.000000,0.232065,-7.163249
10,4,0.000000,0.232065,-7.163249
1,5,0.000000,-0.202044,4.896056
2,5,0.000000,-0.238523,4.329158
3,5,0.000000,-0.191551,4.486703
4,5,0.000000,-0.181615,4.736825
5,5,0.000000,-0.173730,4.607431
6,5,0.000000,-0.189418,4.716736
7,5,0.000000,-0.173736,4.967368
8,5,0.000000,-0.171160,5.092479
9,5,0.000000,-0.171160,5.092479
10,5,0.000000,-0.149096,4.948808
1,6,0.000000,0.644324,-9.135921
2,6,0.000000,0.643447,-9.062778
3,6,0.000000,0.658772,-8.694872
4,6,0.000000,0.658772,-8.694872
5,6,0.000000,0.658772,-8.694872
6,6,0.000000,0.658772,-8.694872
7,6,0.000000,0.685066,-8.561983
8,6,0.000000,0.685066,-8.561983
9,6,0.000000,0.685066,-8.595314
10,6,0.000000,0.701241,-8.435184
1,7,0.000000,0.089995,-7.516098
2,7,0.000000,0.089995,-7.516098
3,7,0.000000,0.089995,-7.516098
4,7,0.000000,0.075831,-7.512886
5,7,0.000000,0.075104,-7.639400
6,7,0.000000,0.114484,-7.242886
7,7,0.000000,0.109558,-7.289925
8,7,0.000000,0.120859,-7.319554
9,7,0.000000,0.102290,-7.125777
10,7,0.000000,0.102290,-7.504757
1,8,0.000000,0.091904,-11.693045
2,8,0.000000,0.095244,-11.478787
3,8,0.000000,0.107902,-11.867177
4,8,0.000000,0.068556,-12.061380
5,8,0.000000,0.043308,-12.175640
6,8,0.000000,0.055311,-11.821623
7,8,0.000000,0.095367,-12.057022
8,8,0.000000,0.072547,-11.839902
9,8,0.000000,0.079476,-11.781833
10,8,0.000000,0.118586,-11.879115
1,9,0.000000,0.203147,-6.226386
2,9,0.000000,0.203147,-6.231600
3,9,0.000000,0.203147,-6.231600
4,9,0.000000,0.203147,-6.107490
5,9,0.000000,0.241557,-6.134942
6,9,0.000000,0.228554,-6.134942
7,9,0.000000,0.228554,-6.134942
8,9,0.000000,0.149983,-6.821678
9,9,0.000000,0.158868,-6.821678
10,9,0.000000,0.158868,-6.552551
1,10,0.000000,-0.592151,3.137297
2,10,0.000000,-0.666661,3.072649
3,10,0.000000,-0.621779,2.968953
4,10,0.000000,-0.616740,2.978329
5,10,0.000000,-0.616740,2.978329
6,10,0.000000,-0.664027,3.016487
7,10,0.000000,-0.664027,3.016487
8,10,0.000000,-0.653669,2.303725
9,10,0.000000,-0.634426,3.017812
10,10,0.000000,-0.634426,3.017812
1,11,0.000000,0.825208,-3.532169
2,11,0.000000,0.825208,-3.532169
3,11,0.000000,0.776656,-3.532169
4,11,0.000000,0.776517,-3.599084
5,11,0.000000,0.776517,-3.504896
6,11,0.000000,0.776517,-3.504896
7,11,0.000000,0.754521,-3.435561
8,11,0.000000,0.772123,-3.393005
9,11,0.000000,0.795963,-3.766410
10,11,0.000000,0.745969,-3.353320
1,12,0.000000,0.023562,5.065466
2,12,0.000000,0.023562,4.962245
3,12,0.000000,0.023562,4.962245
4,12,0.000000,0.035621,4.873312
5,12,0.000000,-0.005464,4.774255
6,12,0.000000,-0.035034,4.465690
7,12,0.000000,-0.072066,4.668852
8,12,0.000000,-0.011480,4.669433
9,12,0.000000,0.017322,4.684695
10,12,0.000000,0.017322,4.822426
1,13,0.000000,0.428555,0.864034
2,13,0.000000,0.433056,0.880462
3,13,0.000000,0.433056,0.880462
4,13,0.000000,0.433056,0.880462
5,13,0.000000,0.433056,0.969969
6,13,0.000000,0.433056,0.969969
7,13,0.000000,0.433056,0.969969
8,13,0.000000,0.426900,0.969969
9,13,0.000000,0.426900,0.969969
10,13,0.000000,0.426900,0.788024
1,14,0.000000,0.826769,-0.608668
2,14,0.000000,0.803818,-0.488066
3,14,0.000000,0.809731,-0.488066
4,14,0.000000,0.857057,-0.266506
5,14,0.000000,0.749292,-0.560563
6,14,0.000000,0.734548,-0.985971
7,14,0.000000,0.752771,-0.962122
8,14,0.000000,0.774488,-0.698292
9,14,0.000000,0.789203,-0.916784
10,14,0.000000,0.766678,-0.491159
1,15,0.000000,0.349767,11.705662
2,15,0.000000,0.347256,11.705662
3,15,0.000000,0.413154,11.705662
4,15,0.000000,0.413154,11.992155
5,15,0.000000,0.409895,11.971588
6,15,0.000000,0.403752,11.803299
7,15,0.000000,0.300882,11.702431
8,15,0.000000,0.339914,11.683939
9,15,0.000000,0.339914,11.683939
10,15,0.000000,0.321484,11.683939
1,16,0.000000,-0.045365,-12.233141
2,16,0.000000,-0.045365,-12.233141
3,16,0.000000,-0.045365,-12.233141
4,16,0.000000,-0.045365,-12.233141
5,16,0.000000,-0.067188,-12.360696
6,16,0.000000,-0.067188,-12.360696
7,16,0.000000,-0.067188,-12.360696
8,16,0.000000,-0.067188,-12.320714
9,16,0.000000,-0.067188,-12.382737
10,16,0.000000,-0.067188,-12.382737
1,17,0.000000,0.322031,1.905204
2,17,0.000000,0.326549,1.905204
3,17,0.000000,0.304653,1.757522
4,17,0.000000,0.308490,2.196038
5,17,0.000000,0.308490,1.942486
6,17,0.000000,0.308490,1.825635
7,17,0.000000,0.308490,1.827743
8,17,0.000000,0.269050,1.797788
9,17,0.000000,0.269050,1.699804
10,17,0.000000,0.269050,1.699804
1,18,0.000000,0.006183,-13.251000
