id,eta_p0_SAEM,eta_alpha_SAEM,eta_tau_SAEM,eta_p0_mean,eta_alpha_mean,eta_tau_mean,eta_p0_sd,eta_alpha_sd,eta_tau_sd
1,0.000000,-0.229376,0.108061,0.000000,-0.223830,0.112100,0.000000,0.037490,0.200226
2,0.000000,0.197501,3.011091,0.000000,0.199790,3.024043,0.000000,0.029604,0.199644
3,0.000000,-0.520531,1.339673,0.000000,-0.517109,1.343177,0.000000,0.042644,0.231004
4,0.000000,0.221006,-7.957766,0.000000,0.234846,-7.878898,0.000000,0.030349,0.202428
5,0.000000,-0.201225,4.848861,0.000000,-0.201012,4.842535,0.000000,0.030739,0.222541
6,0.000000,0.644769,-10.045039,0.000000,0.661109,-9.930287,0.000000,0.057584,0.455450
7,0.000000,0.077824,-7.916659,0.000000,0.083608,-7.890428,0.000000,0.020124,0.160755
8,0.000000,0.096371,-12.333025,0.000000,0.099468,-12.332100,0.000000,0.024946,0.201098
9,0.000000,0.191640,-6.909533,0.000000,0.190093,-6.926927,0.000000,0.029073,0.173086
10,0.000000,-0.641506,4.326243,0.000000,-0.642559,4.313031,0.000000,0.039030,0.240441
11,0.000000,0.826795,-4.861845,0.000000,0.810597,-4.841041,0.000000,0.062105,0.159371
12,0.000000,0.007666,4.507848,0.000000,0.009976,4.490493,0.000000,0.036059,0.201624
13,0.000000,0.428772,0.036512,0.000000,0.439135,0.060876,0.000000,0.019670,0.098205
14,0.000000,0.773326,-1.891928,0.000000,0.770879,-1.905647,0.000000,0.023995,0.146501
15,0.000000,0.315157,10.885237,0.000000,0.307029,10.834321,0.000000,0.052206,0.154732
16,0.000000,-0.066118,-12.501072,0.000000,-0.052178,-12.395820,0.000000,0.027217,0.253359
17,0.000000,0.271303,1.059325,0.000000,0.271123,1.048032,0.000000,0.021532,0.135196
18,0.000000,-0.012505,-13.317179,0.000000,-0.011691,-13.317592,0.000000,0.024742,0.243945
19,0.000000,0.054203,5.227639,0.000000,0.050360,5.184648,0.000000,0.021330,0.153404
20,0.000000,-0.016487,-6.705602,0.000000,-0.012104,-6.677755,0.000000,0.023346,0.240601
21,0.000000,0.085245,-4.420072,0.000000,0.087642,-4.397902,0.000000,0.028652,0.237474
22,0.000000,-0.980633,5.026606,0.000000,-0.953160,4.889523,0.000000,0.071942,0.469699
23,0.000000,-0.294662,-2.876778,0.000000,-0.301279,-2.971157,0.000000,0.029936,0.305245
24,0.000000,-1.200105,3.884901,0.000000,-1.205859,3.810162,0.000000,0.059899,0.462580
25,0.000000,-0.226880,3.370140,0.000000,-0.241788,3.337308,0.000000,0.060545,0.231602
26,0.000000,0.595344,5.078914,0.000000,0.651922,4.980020,0.000000,0.114165,0.210912
27,0.000000,-0.310417,-3.207507,0.000000,-0.307790,-3.211989,0.000000,0.029592,0.326377
28,0.000000,0.265452,1.452200,0.000000,0.265835,1.423685,0.000000,0.023652,0.208199
29,0.000000,0.622182,8.347636,0.000000,0.625588,8.351449,0.000000,0.024839,0.089708
30,0.000000,-0.415697,-4.149743,0.000000,-0.417800,-4.187275,0.000000,0.023217,0.319325
31,0.000000,0.493090,-5.863916,0.000000,0.493784,-5.859883,0.000000,0.029278,0.126361
32,0.000000,0.366290,2.059357,0.000000,0.370725,2.080791,0.000000,0.028448,0.179824
33,0.000000,-0.268835,1.684488,0.000000,-0.260822,1.615167,0.000000,0.067696,0.280660
34,0.000000,0.140033,-4.045585,0.000000,0.140538,-4.065976,0.000000,0.018055,0.124738
35,0.000000,0.123299,2.697601,0.000000,0.127860,2.690333,0.000000,0.031329,0.120847
36,0.000000,-0.040240,-2.921821,0.000000,-0.042812,-2.973224,0.000000,0.023971,0.214655
37,0.000000,-0.355026,-8.059900,0.000000,-0.357757,-8.109631,0.000000,0.031634,0.336763
38,0.000000,0.612836,-2.839318,0.000000,0.607074,-2.906816,0.000000,0.032257,0.338875
39,0.000000,-0.078313,1.379214,0.000000,-0.077267,1.343426,0.000000,0.024791,0.228929
40,0.000000,0.595860,-4.992574,0.000000,0.601538,-4.975289,0.000000,0.025637,0.100752
41,0.000000,-0.334980,-2.059357,0.000000,-0.337392,-2.098693,0.000000,0.036823,0.235121
42,0.000000,0.914591,-0.195397,0.000000,0.909441,-0.220928,0.000000,0.019445,0.082455
43,0.000000,0.460762,1.425867,0.000000,0.450838,1.369102,0.000000,0.031724,0.161081
44,0.000000,0.095534,-10.761910,0.000000,0.120630,-10.531346,0.000000,0.028607,0.256833
45,0.000000,0.474637,1.014357,0.000000,0.488537,1.069091,0.000000,0.034485,0.166588
46,0.000000,0.155584,-3.162175,0.000000,0.158880,-3.145686,0.000000,0.020000,0.167134
47,0.000000,0.422443,0.907325,0.000000,0.428799,0.931472,0.000000,0.018385,0.090104
48,0.000000,-0.341193,3.261359,0.000000,-0.340754,3.238149,0.000000,0.022119,0.200526
49,0.000000,0.383197,4.774824,0.000000,0.376707,4.739481,0.000000,0.079583,0.182751
50,0.000000,0.572300,1.476923,0.000000,0.573362,1.451697,0.000000,0.018834,0.137435
51,0.000000,0.096281,-2.257292,0.000000,0.086272,-2.342132,0.000000,0.020629,0.162888
52,0.000000,0.411109,-3.607576,0.000000,0.410562,-3.624508,0.000000,0.017811,0.111415
53,0.000000,0.338460,-4.096163,0.000000,0.416908,-3.405080,0.000000,0.089320,0.705153
54,0.000000,-0.057038,2.748633,0.000000,-0.056389,2.733623,0.000000,0.024432,0.205724
55,0.000000,0.638831,-6.245985,0.000000,0.634825,-6.269223,0.000000,0.020201,0.104464
56,0.000000,0.503909,1.728736,0.000000,0.505337,1.672525,0.000000,0.036824,0.375487
57,0.000000,0.053044,0.085148,0.000000,0.056290,0.070718,0.000000,0.027909,0.210766
58,0.000000,-0.533378,-10.597022,0.000000,-0.531230,-10.545626,0.000000,0.025725,0.316133
59,0.000000,0.132017,7.079196,0.000000,0.130344,7.060624,0.000000,0.026486,0.201207
60,0.000000,0.653128,2.434261,0.000000,0.652075,2.409641,0.000000,0.031472,0.163947
61,0.000000,0.569503,-5.958524,0.000000,0.560814,-5.990304,0.000000,0.037638,0.113709
62,0.000000,0.805798,12.168311,0.000000,0.803964,12.154709,0.000000,0.037052,0.126905
63,0.000000,-0.619686,-7.150472,0.000000,-0.622264,-7.212085,0.000000,0.024151,0.410519
64,0.000000,0.045308,1.673310,0.000000,0.049573,1.672533,0.000000,0.024854,0.173824
65,0.000000,0.044620,8.707215,0.000000,0.040740,8.673608,0.000000,0.024730,0.161821
66,0.000000,0.597488,1.557014,0.000000,0.598004,1.537745,0.000000,0.025510,0.176351
67,0.000000,-0.114322,16.810559,0.000000,0.017672,15.460719,0.000000,0.183164,1.581688
68,0.000000,-0.467028,3.546798,0.000000,-0.448555,3.691606,0.000000,0.040435,0.397092
69,0.000000,-0.233143,5.116646,0.000000,-0.230628,5.126898,0.000000,0.034379,0.237933
70,0.000000,-0.542294,3.661604,0.000000,-0.541292,3.655179,0.000000,0.027324,0.239598
71,0.000000,-0.874401,3.730761,0.000000,-0.873816,3.745828,0.000000,0.057056,0.337417
72,0.000000,-0.753793,-4.582118,0.000000,-0.748509,-4.583893,0.000000,0.041068,0.364405
73,0.000000,0.082397,-0.680740,0.000000,0.097866,-0.599312,0.000000,0.033925,0.247420
74,0.000000,0.220417,5.582053,0.000000,0.220353,5.571248,0.000000,0.035964,0.116654
75,0.000000,-0.665302,-1.172016,0.000000,-0.659532,-1.144240,0.000000,0.037789,0.279351
76,0.000000,0.109013,3.268881,0.000000,0.123170,3.208318,0.000000,0.099219,0.382044
77,0.000000,0.267569,-7.543645,0.000000,0.265043,-7.516439,0.000000,0.023383,0.180698
78,0.000000,0.591471,5.860571,0.000000,0.575033,5.761505,0.000000,0.034361,0.185047
79,0.000000,-0.432217,-3.842451,0.000000,-0.416303,-3.734828,0.000000,0.026826,0.270621
80,0.000000,0.413563,15.732494,0.000000,0.536982,14.365882,0.000000,0.303642,2.496948
81,0.000000,-0.392625,-7.891291,0.000000,-0.397897,-7.976266,0.000000,0.045664,0.508445
82,0.000000,-0.273218,0.137962,0.000000,-0.283780,0.041932,0.000000,0.046952,0.311208
83,0.000000,-0.230245,-0.450092,0.000000,-0.222860,-0.493493,0.000000,0.106863,0.259936
84,0.000000,-0.397687,-7.353792,0.000000,-0.365449,-7.001579,0.000000,0.047861,0.521116
85,0.000000,-1.021564,-2.837862,0.000000,-0.983606,-2.622644,0.000000,0.104918,0.647891
86,0.000000,0.282247,4.411896,0.000000,0.281418,4.411263,0.000000,0.022327,0.170622
87,0.000000,0.608238,-6.590702,0.000000,0.613079,-6.596038,0.000000,0.036593,0.124071
88,0.000000,-0.051667,-0.721516,0.000000,-0.057612,-0.782924,0.000000,0.028857,0.309090
89,0.000000,-0.055210,-12.720988,0.000000,-0.053654,-12.712387,0.000000,0.018507,0.178518
90,0.000000,0.372956,8.121891,0.000000,0.375620,8.117661,0.000000,0.048245,0.132920
91,0.000000,-0.091450,8.307011,0.000000,-0.086053,8.239638,0.000000,0.152314,1.204770
92,0.000000,-0.463192,-9.064877,0.000000,-0.463848,-9.124758,0.000000,0.027385,0.277817
93,0.000000,-0.136246,-9.717545,0.000000,-0.127849,-9.637757,0.000000,0.027861,0.328738
94,0.000000,0.043470,8.751167,0.000000,0.039691,8.717724,0.000000,0.058143,0.356869
95,0.000000,-0.103070,-6.475395,0.000000,-0.109542,-6.557294,0.000000,0.026100,0.243896
96,0.000000,0.200797,-3.503525,0.000000,0.201346,-3.511368,0.000000,0.032756,0.343868
97,0.000000,0.015655,1.153604,0.000000,0.016661,1.149172,0.000000,0.031887,0.221063
98,0.000000,0.416317,-7.179271,0.000000,0.420836,-7.170761,0.000000,0.026703,0.180904
99,0.000000,-0.099674,6.272141,0.000000,-0.100504,6.260607,0.000000,0.055840,0.256839
100,0.000000,0.364052,-2.109589,0.000000,0.367876,-2.108983,0.000000,0.029333,0.147628
101,0.000000,0.627860,-2.596906,0.000000,0.620486,-2.643378,0.000000,0.037128,0.123608
102,0.000000,0.015431,5.143101,0.000000,-0.021622,5.411700,0.000000,0.152402,1.239104
103,0.000000,0.040181,11.187258,0.000000,0.102246,10.908670,0.000000,0.134954,0.578904
104,0.000000,0.453050,-3.836524,0.000000,0.447081,-3.888192,0.000000,0.020286,0.121952
105,0.000000,0.045267,10.764152,0.000000,0.067341,10.714051,0.000000,0.092763,0.266582
