id,p0_SAEM,alpha_SAEM,tau_SAEM
1,0.221571,0.024906,69.048572
2,0.221571,0.037649,71.836917
3,0.221571,0.018387,70.328236
4,0.221571,0.039028,60.934215
5,0.221571,0.025153,73.711062
6,0.221571,0.058311,58.609937
7,0.221571,0.033607,60.952024
8,0.221571,0.034118,56.493326
9,0.221571,0.037405,61.898324
10,0.221571,0.016318,73.368714
11,0.221571,0.069968,63.908215
12,0.221571,0.031155,73.359023
13,0.221571,0.047827,68.849617
14,0.221571,0.067516,66.885410
15,0.221571,0.042465,79.687322
16,0.221571,0.029391,56.499797
17,0.221571,0.040758,69.876679
18,0.221571,0.030619,55.555350
19,0.221571,0.032794,74.101165
20,0.221571,0.030658,62.229176
21,0.221571,0.033597,64.379879
22,0.221571,0.011968,74.080519
23,0.221571,0.022965,65.992378
24,0.221571,0.009329,73.104158
25,0.221571,0.024425,72.262350
26,0.221571,0.058569,73.777074
27,0.221571,0.022769,65.727622
28,0.221571,0.040258,70.243383
29,0.221571,0.057264,77.088772
30,0.221571,0.020463,64.840424
31,0.221571,0.050749,62.924620
32,0.221571,0.044598,70.867013
33,0.221571,0.023903,70.583567
34,0.221571,0.035536,64.782746
35,0.221571,0.035227,71.539897
36,0.221571,0.029601,65.916338
37,0.221571,0.021725,60.875917
38,0.221571,0.057742,66.026419
39,0.221571,0.028667,70.232442
40,0.221571,0.056347,63.798995
41,0.221571,0.022100,66.864077
42,0.221571,0.077237,68.553907
43,0.221571,0.048926,70.203318
44,0.221571,0.034152,58.101883
45,0.221571,0.050678,69.874453
46,0.221571,0.036428,65.719133
47,0.221571,0.047626,69.742901
48,0.221571,0.022069,72.215974
49,0.221571,0.045753,73.566842
50,0.221571,0.055019,70.258002
51,0.221571,0.034103,66.591051
52,0.221571,0.046730,65.193468
53,0.221571,0.048311,65.562921
54,0.221571,0.029129,71.593586
55,0.221571,0.058250,62.490806
56,0.221571,0.051341,70.473463
57,0.221571,0.032909,68.959174
58,0.221571,0.018219,58.472182
59,0.221571,0.035272,75.885567
60,0.221571,0.059458,71.208272
61,0.221571,0.055147,62.843363
62,0.221571,0.069194,80.923288
63,0.221571,0.016476,61.683312
64,0.221571,0.032473,70.529827
65,0.221571,0.032342,77.551410
66,0.221571,0.056434,70.327674
67,0.221571,0.030665,84.694682
68,0.221571,0.019891,72.755613
69,0.221571,0.024741,74.088716
70,0.221571,0.018170,72.721033
71,0.221571,0.012962,72.909881
72,0.221571,0.014564,64.500733
73,0.221571,0.034050,68.234424
74,0.221571,0.038845,74.430680
75,0.221571,0.015931,67.901936
76,0.221571,0.035798,71.997558
77,0.221571,0.040124,61.274097
78,0.221571,0.054816,74.526077
79,0.221571,0.020301,65.177826
80,0.221571,0.039766,86.299271
81,0.221571,0.020413,60.783682
82,0.221571,0.023370,68.995377
83,0.221571,0.024870,68.444400
84,0.221571,0.021210,61.826638
85,0.221571,0.011447,66.484789
86,0.221571,0.041309,73.279831
87,0.221571,0.057421,62.199572
88,0.221571,0.029352,68.147687
89,0.221571,0.029386,56.190537
90,0.221571,0.044365,76.908540
91,0.221571,0.029068,77.015258
92,0.221571,0.019423,59.867369
93,0.221571,0.027386,59.312385
94,0.221571,0.032057,77.565222
95,0.221571,0.027799,62.369951
96,0.221571,0.037828,65.295763
97,0.221571,0.031669,70.067133
98,0.221571,0.047069,61.617545
99,0.221571,0.028122,75.190763
100,0.221571,0.044681,66.704808
101,0.221571,0.057804,66.166008
102,0.221571,0.030161,74.361346
103,0.221571,0.035812,79.582325
104,0.221571,0.048449,64.928638
105,0.221571,0.032809,79.620844
106,0.221571,0.101800,72.524577
107,0.221571,0.015435,54.564007
108,0.221571,0.062742,67.259436
109,0.221571,0.046635,65.714652
110,0.221571,0.015299,59.741844
111,0.221571,0.038346,54.977932
112,0.221571,0.018823,65.337962
113,0.221571,0.041702,67.359476
114,0.221571,0.013437,62.125159
115,0.221571,0.027257,68.026425
116,0.221571,0.038488,61.284110
117,0.221571,0.035790,78.536638
118,0.221571,0.013283,79.962277
119,0.221571,0.092289,63.483843
120,0.221571,0.053688,82.604276
121,0.221571,0.030837,65.406256
122,0.221571,0.025865,81.605785
123,0.221571,0.031665,84.284756
124,0.221571,0.030354,78.020254
125,0.221571,0.035402,72.906822
126,0.221571,0.015005,68.466831
127,0.221571,0.019472,76.631485
128,0.221571,0.008508,75.933130
129,0.221571,0.044140,82.260976
130,0.221571,0.015448,79.784791
131,0.221571,0.045622,60.620869
132,0.221571,0.018155,65.425691
133,0.221571,0.039636,69.557606
134,0.221571,0.044446,74.599489
135,0.221571,0.013588,71.744902
136,0.221571,0.113526,68.644880
137,0.221571,0.031653,73.265267
138,0.221571,0.112342,65.558117
139,0.221571,0.020871,52.334257
140,0.221571,0.013743,75.618456
141,0.221571,0.022508,67.774119
142,0.221571,0.034634,56.326189
143,0.221571,0.037872,73.394581
144,0.221571,0.020786,62.262289
145,0.221571,0.050416,79.147261
146,0.221571,0.035263,65.646616
147,0.221571,0.052999,57.283285
148,0.221571,0.028160,66.162483
149,0.221571,0.031963,70.600291
150,0.221571,0.030630,70.764633
151,0.221571,0.010985,76.917723
152,0.221571,0.022729,67.990066
153,0.221571,0.030225,73.070656
154,0.221571,0.080743,80.397098
155,0.221571,0.018561,71.398173
156,0.221571,0.032077,81.818975
157,0.221571,0.058162,64.167363
158,0.221571,0.027371,58.530070
159,0.221571,0.027260,75.854571
160,0.221571,0.025645,71.425927
161,0.221571,0.040382,74.635869
162,0.221571,0.023902,85.344507
163,0.221571,0.018020,74.384259
164,0.221571,0.011135,73.497182
165,0.221571,0.043686,66.923838
166,0.221571,0.021867,72.727290
167,0.221571,0.007006,75.064134
168,0.221571,0.076752,87.081902
169,0.221571,0.060549,63.298351
170,0.221571,0.033074,69.605010
171,0.221571,0.011391,65.458957
172,0.221571,0.025681,68.118348
173,0.221571,0.056312,64.875264
174,0.221571,0.012087,66.400482
175,0.221571,0.018644,65.914896
176,0.221571,0.031899,62.906673
177,0.221571,0.058735,79.223185
178,0.221571,0.033967,79.451640
179,0.221571,0.039248,65.288538
180,0.221571,0.029961,60.054400
181,0.221571,0.068532,70.981759
182,0.221571,0.011460,60.881013
183,0.221571,0.021936,68.491402
184,0.221571,0.030868,67.699818
185,0.221571,0.055868,72.793689
186,0.221571,0.034391,68.320859
187,0.221571,0.097207,62.146096
188,0.221571,0.035160,73.575976
189,0.221571,0.015311,67.402236
190,0.221571,0.072633,70.746303
191,0.221571,0.026126,68.672505
192,0.221571,0.044269,57.698293
193,0.221571,0.016012,83.090911
194,0.221571,0.040124,66.268684
195,0.221571,0.030680,64.923313
196,0.221571,0.040220,63.643658
197,0.221571,0.046664,70.762578
198,0.221571,0.108223,72.207899
199,0.221571,0.041369,63.430887
200,0.221571,0.019865,63.405472
201,0.221571,0.016750,77.103889
202,0.221571,0.011643,66.283559
203,0.221571,0.019741,62.515378
204,0.221571,0.021005,62.152609
205,0.221571,0.082019,69.597961
206,0.221571,0.043969,76.981464
207,0.221571,0.023426,72.931273
208,0.221571,0.040599,77.933118
209,0.221571,0.042664,74.044518
210,0.221571,0.015041,61.109899
211,0.221571,0.017232,67.300746
212,0.221571,0.047696,61.807331
213,0.221571,0.027970,75.781551
214,0.221571,0.056233,77.555476
215,0.221571,0.061908,61.632422
216,0.221571,0.040624,71.019975
217,0.221571,0.064476,66.769558
218,0.221571,0.032390,70.096967
219,0.221571,0.021697,75.484391
