id,importanceSampling
1,-24.567
2,-23.767
3,-37.010
4,-18.065
5,-34.666
6,-35.509
7,-32.048
8,-40.106
9,-20.405
10,-35.503
11,-17.518
12,-37.144
13,-35.453
14,-39.810
15,-48.559
16,-36.720
17,-48.033
18,-17.142
19,-37.776
20,-30.388
21,-29.789
22,-21.386
23,-31.767
24,-32.706
25,-22.528
26,-26.431
27,-22.599
28,-24.756
29,-43.363
30,-34.863
31,-15.138
32,-16.684
33,-22.795
34,-45.183
35,-45.703
36,-18.794
37,-41.089
38,-9.716
39,-21.724
40,-37.802
41,-30.296
42,-20.256
43,-25.461
44,-37.466
45,-42.338
46,-46.695
47,-36.208
48,-45.454
49,-24.067
50,-31.792
51,-43.046
52,-31.850
53,-21.352
54,-36.747
55,-35.615
56,-22.316
57,-24.784
58,-16.722
59,-42.773
60,-27.033
61,-39.564
62,-32.043
63,-26.380
64,-39.990
65,-43.942
66,-43.090
67,-44.059
68,-35.607
69,-22.835
70,-40.795
71,-36.434
72,-26.850
73,-20.759
74,-34.844
75,-34.526
76,-37.493
77,-42.566
78,-16.380
79,-40.657
80,-24.865
81,-27.154
82,-22.075
83,-36.145
84,-21.144
85,-34.747
86,-38.604
87,-16.927
88,-26.552
89,-45.369
90,-21.588
91,-38.014
92,-27.249
93,-32.012
94,-38.126
95,-39.441
96,-29.553
97,-21.142
98,-44.994
99,-29.456
100,-21.963
101,-29.874
102,-31.067
103,-50.615
104,-42.019
105,-37.451
106,-34.818
107,-16.085
108,-41.946
109,-13.198
110,-19.856
111,-11.299
112,-37.502
113,-32.952
114,-35.177
115,-22.858
116,-26.410
117,-44.205
118,-22.460
119,-14.733
120,-44.192
121,-17.905
122,-16.206
123,-40.658
124,-22.348
125,-21.375
126,-48.004
127,-35.835
128,-18.998
129,-19.865
130,-32.323
131,-19.805
132,-18.330
133,-47.435
134,-35.624
135,-27.464
136,-25.039
137,-21.803
138,-28.651
139,-21.958
140,-41.552
141,-24.983
142,-25.270
143,-31.046
144,-26.980
145,-20.695
146,-19.584
147,-18.467
148,-15.108
149,-37.073
150,-22.814
151,-48.172
152,-42.041
153,-33.954
154,-18.800
155,-20.625
156,-39.465
157,-36.451
158,-35.697
159,-31.120
160,-36.304
161,-19.932
162,-19.552
163,-21.534
164,-44.853
165,-28.223
166,-36.181
167,-19.882
168,-49.554
169,-33.523
170,-46.735
171,-41.396
172,-32.581
173,-26.441
174,-48.627
175,-49.856
176,-24.191
177,-27.387
178,-19.469
179,-34.236
180,-40.940
181,-26.195
182,-40.634
183,-22.467
184,-39.559
185,-36.107
186,-50.628
187,-28.592
188,-17.843
189,-33.759
190,-25.441
191,-32.651
192,-35.750
193,-45.113
194,-49.294
195,-35.521
196,-35.727
197,-35.113
198,-34.332
199,-38.554
200,-34.108
201,-47.374
202,-44.110
203,-44.315
204,-39.716
205,-17.494
206,-28.749
207,-20.818
208,-50.338
209,-25.007
210,-32.129
211,-19.266
212,-23.699
213,-38.659
214,-31.950
215,-25.317
216,-28.047
217,-24.482
218,-31.978
219,-36.413
220,-41.838
221,-27.587
222,-23.887
223,-43.853
224,-41.137
225,-26.077
226,-27.354
227,-38.767
228,-49.871
229,-46.246
230,-29.834
231,-21.373
232,-33.671
233,-34.160
234,-33.651
235,-26.008
236,-48.677
237,-32.963
238,-29.581
239,-34.323
240,-44.074
241,-17.323
242,-47.309
243,-35.048
244,-31.012
245,-23.115
246,-21.145
247,-44.164
248,-38.378
249,-46.150
250,-40.796
