            iB_pop;   1.00000;  -0.11791;   0.04177;   0.03938;   0.01751;       NaN;   0.02096;   0.02187;   0.13290;  -0.43593;   0.08644;       NaN;   0.05025;   0.00426
          actB_pop;  -0.11791;   1.00000;  -0.46787;  -0.46981;  -0.71233;       NaN;  -0.69354;   0.03822;  -0.15718;   0.09342;  -0.17504;       NaN;  -0.08598;   0.00104
beta_actB_tGROUP_1;   0.04177;  -0.46787;   1.00000;   0.22091;   0.33623;       NaN;   0.32770;  -0.01206;   0.06404;  -0.04421;   0.06943;       NaN;   0.03267;  -0.00153
beta_actB_tGROUP_2;   0.03938;  -0.46981;   0.22091;   1.00000;   0.34655;       NaN;   0.34058;  -0.02927;  -0.00906;  -0.03572;   0.04679;       NaN;  -0.00379;   0.06849
beta_actB_tGROUP_3;   0.01751;  -0.71233;   0.33623;   0.34655;   1.00000;       NaN;   0.52097;   0.01177;   0.02437;  -0.01548;   0.01507;       NaN;   0.00135;   0.02913
beta_actB_tGROUP_4;       NaN;       NaN;       NaN;       NaN;       NaN;       NaN;       NaN;       NaN;       NaN;       NaN;       NaN;       NaN;       NaN;       NaN
beta_actB_tGROUP_5;   0.02096;  -0.69354;   0.32770;   0.34058;   0.52097;       NaN;   1.00000;  -0.00580;  -0.01089;  -0.02492;   0.00413;       NaN;  -0.00682;   0.03181
            uB_pop;   0.02187;   0.03822;  -0.01206;  -0.02927;   0.01177;       NaN;  -0.00580;   1.00000;   0.20053;  -0.02370;  -0.04369;       NaN;  -0.16132;   0.06681
             h_pop;   0.13290;  -0.15718;   0.06404;  -0.00906;   0.02437;       NaN;  -0.01089;   0.20053;   1.00000;  -0.09713;   0.15422;       NaN;   0.11208;  -0.10717
          omega_iB;  -0.43593;   0.09342;  -0.04421;  -0.03572;  -0.01548;       NaN;  -0.02492;  -0.02370;  -0.09713;   1.00000;  -0.06712;       NaN;  -0.02792;  -0.04239
        omega_actB;   0.08644;  -0.17504;   0.06943;   0.04679;   0.01507;       NaN;   0.00413;  -0.04369;   0.15422;  -0.06712;   1.00000;       NaN;   0.12429;  -0.10633
          omega_uB;       NaN;       NaN;       NaN;       NaN;       NaN;       NaN;       NaN;       NaN;       NaN;       NaN;       NaN;       NaN;       NaN;       NaN
           omega_h;   0.05025;  -0.08598;   0.03267;  -0.00379;   0.00135;       NaN;  -0.00682;  -0.16132;   0.11208;  -0.02792;   0.12429;       NaN;   1.00000;  -0.08934
                 a;   0.00426;   0.00104;  -0.00153;   0.06849;   0.02913;       NaN;   0.03181;   0.06681;  -0.10717;  -0.04239;  -0.10633;       NaN;  -0.08934;   1.00000
