                  ;         iB_pop;      actB_pop;beta_actB_tGROUP_1;beta_actB_tGROUP_2;beta_actB_tGROUP_3;beta_actB_tGROUP_5;      uB_pop;       h_pop;    omega_iB;  omega_actB;    omega_uB;     omega_h;           a
            iB_pop;1771.4340702959;  0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
          actB_pop;   0.0000000000;904.0833637186;      0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
beta_actB_tGROUP_1;   0.0000000000;  0.0000000000;      1.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
beta_actB_tGROUP_2;   0.0000000000;  0.0000000000;      0.0000000000;      1.0000000000;      0.0000000000;      0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
beta_actB_tGROUP_3;   0.0000000000;  0.0000000000;      0.0000000000;      0.0000000000;      1.0000000000;      0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
beta_actB_tGROUP_4;   0.0000000000;  0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
beta_actB_tGROUP_5;   0.0000000000;  0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;      1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
            uB_pop;   0.0000000000;  0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;0.0032327239;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
             h_pop;   0.0000000000;  0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;0.0000000000;1.4804867616;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
          omega_iB;   0.0000000000;  0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
        omega_actB;   0.0000000000;  0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000
          omega_uB;   0.0000000000;  0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000
           omega_h;   0.0000000000;  0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000
                 a;   0.0000000000;  0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;      0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;1.0000000000
