popPred,popPred_spline,popPred_ciLower,popPred_ciUpper,indivPred,indivPred_spline,indivPred_ciLower,indivPred_ciUpper,split
0.0252061,0.0511635,-0.253086,0.303498,0.040903,0.038246,-0.237389,0.319195,All
0.0271169,0.0519045,-0.251175,0.305409,0.0445314,0.0413823,-0.233761,0.322824,All
0.0291726,0.0527017,-0.24912,0.307465,0.0484817,0.0447968,-0.229811,0.326774,All
0.0313841,0.0535593,-0.246908,0.309676,0.0527824,0.0485142,-0.22551,0.331075,All
0.0337632,0.054482,-0.244529,0.312056,0.0574646,0.0525614,-0.220828,0.335757,All
0.0363227,0.0554746,-0.24197,0.314615,0.0625622,0.0569676,-0.21573,0.340855,All
0.0390763,0.0565424,-0.239216,0.317369,0.068112,0.0616963,-0.21018,0.346404,All
0.0420385,0.0576912,-0.236254,0.320331,0.0741541,0.0665935,-0.204138,0.352446,All
0.0441672,0.0585167,-0.234125,0.32246,0.0807321,0.0719251,-0.19756,0.359024,All
0.0452253,0.0589271,-0.233067,0.323518,0.0878937,0.0777296,-0.190399,0.366186,All
0.0486538,0.0602566,-0.229639,0.326946,0.0956906,0.0840491,-0.182602,0.373983,All
0.0523421,0.061687,-0.22595,0.330634,0.0974116,0.085444,-0.180881,0.375704,All
0.05631,0.0632258,-0.221982,0.334602,0.104179,0.0909291,-0.174113,0.382471,All
0.0605787,0.0648812,-0.217714,0.338871,0.113421,0.0982553,-0.164872,0.391713,All
0.0631284,0.06587,-0.215164,0.341421,0.123482,0.106119,-0.15481,0.401774,All
0.065171,0.0666621,-0.213121,0.343463,0.134436,0.114622,-0.143856,0.412728,All
0.0701114,0.0685781,-0.208181,0.348404,0.146361,0.123872,-0.131931,0.424654,All
0.0754264,0.0706393,-0.202866,0.353719,0.15392,0.129735,-0.124372,0.432213,All
0.0811442,0.0728567,-0.197148,0.359437,0.159345,0.13396,-0.118947,0.437637,All
0.0820895,0.0732233,-0.196203,0.360382,0.17348,0.145027,-0.104812,0.451772,All
0.0872956,0.0752422,-0.190997,0.365588,0.188869,0.15734,-0.0894232,0.467161,All
0.0939132,0.0778086,-0.184379,0.372206,0.205623,0.170809,-0.072669,0.483916,All
0.101033,0.0838244,-0.17726,0.379325,0.210429,0.174782,-0.0678634,0.488721,All
0.101051,0.0838401,-0.177242,0.379343,0.223864,0.186236,-0.0544286,0.502156,All
0.108692,0.0904739,-0.169601,0.386984,0.243722,0.203624,-0.0345701,0.522015,All
0.116931,0.0985695,-0.161361,0.395223,0.265342,0.223444,-0.0129499,0.543635,All
0.120012,0.102003,-0.158281,0.398304,0.266938,0.224977,-0.0113547,0.54523,All
0.125795,0.10845,-0.152497,0.404088,0.28888,0.246896,0.0105881,0.567173,All
0.135332,0.119079,-0.142961,0.413624,0.314506,0.274365,0.0362141,0.592799,All
0.138973,0.123137,-0.139319,0.417265,0.323446,0.284326,0.0451539,0.601739,All
0.145591,0.130514,-0.132702,0.423883,0.342406,0.306305,0.0641134,0.620698,All
0.156627,0.142816,-0.121665,0.43492,0.37278,0.342147,0.0944875,0.651072,All
0.157934,0.144272,-0.120358,0.436226,0.379955,0.350598,0.101663,0.658247,All
0.168501,0.158025,-0.109791,0.446793,0.405848,0.38037,0.127556,0.684141,All
0.176895,0.169172,-0.101397,0.455187,0.436464,0.413852,0.158171,0.714756,All
0.181275,0.174989,-0.0970177,0.459567,0.44185,0.419586,0.163558,0.720143,All
0.195016,0.193239,-0.0832758,0.473309,0.481046,0.460016,0.202754,0.759338,All
0.195856,0.194354,-0.0824361,0.474148,0.492972,0.471972,0.21468,0.771264,All
0.2098,0.213653,-0.0684921,0.488092,0.523719,0.502324,0.245426,0.802011,All
0.214817,0.220681,-0.063475,0.49311,0.549481,0.527533,0.271189,0.827773,All
0.225705,0.235932,-0.0525878,0.503997,0.570177,0.547785,0.291885,0.848469,All
