Tlag_abscissa,Tlag_pdf,Tlag_cdf,ka_abscissa,ka_pdf,ka_cdf,V_abscissa,V_pdf,V_cdf,alpha_abscissa,alpha_pdf,alpha_cdf,beta_abscissa,beta_pdf,beta_cdf,split
2.22045e-16,4.75695e-91,0,2.22045e-16,0,0,7.98983,9.15906e-08,8.10387e-08,5.00634,0.00752737,0.00439164,0.150763,0.758985,0.00410786,All
0.000764238,312.259,0.256618,0.0909459,0.41575,0.0129441,14.4712,5.5399e-06,1.07769e-05,5.1624,0.00919974,0.00569408,0.151785,0.890384,0.0049495,All
0.00152848,191.439,0.444181,0.181892,0.879124,0.0746449,20.9525,4.34831e-05,0.000141036,5.31847,0.0110908,0.00727453,0.152808,1.03922,0.00593427,All
0.00229272,127.251,0.563544,0.272838,1.0232,0.162962,27.4338,0.000153442,0.000731397,5.47453,0.0132022,0.00916732,0.15383,1.2069,0.00708071,All
0.00305695,90.1692,0.645446,0.363784,1.00247,0.255847,33.9151,0.00035912,0.00233879,5.6306,0.0155318,0.0114067,0.154852,1.39476,0.00840877,All
0.00382119,66.9016,0.70483,0.454729,0.916983,0.343393,40.3965,0.000659056,0.00559154,5.78666,0.0180739,0.0140263,0.155875,1.60413,0.00993976,All
0.00458543,51.3712,0.749651,0.545675,0.813016,0.422103,46.8778,0.00103329,0.011043,5.94273,0.0208189,0.0170587,0.156897,1.83622,0.0116963,All
0.00534967,40.5088,0.784528,0.636621,0.710289,0.491323,53.3591,0.0014536,0.0190853,6.09879,0.0237542,0.0205344,0.157919,2.09216,0.0137022,All
0.00611391,32.6288,0.812322,0.727567,0.616448,0.551573,59.8404,0.00189133,0.0299228,6.25486,0.0268641,0.0244822,0.158941,2.37293,0.0159824,All
0.00687815,26.7428,0.834905,0.818513,0.53377,0.603791,66.3217,0.00232182,0.0435859,6.41092,0.03013,0.0289277,0.159964,2.67937,0.0185626,All
0.00764238,22.2394,0.853549,0.909459,0.462217,0.649,72.8031,0.00272614,0.0599629,6.56699,0.0335313,0.0338937,0.160986,3.01211,0.0214696,All
0.00840662,18.7241,0.869148,1.0004,0.400832,0.688173,79.2844,0.00309124,0.0788388,6.72305,0.0370455,0.0393997,0.162008,3.37158,0.0247303,All
0.00917086,15.9329,0.882352,1.09135,0.348368,0.722178,85.7657,0.00340922,0.0999314,6.87912,0.0406486,0.0454613,0.163031,3.75799,0.0283722,All
0.0099351,13.6839,0.893639,1.1823,0.303573,0.75177,92.247,0.0036764,0.122921,7.03518,0.0443159,0.0520907,0.164053,4.17127,0.032423,All
0.0106993,11.8485,0.903372,1.27324,0.265296,0.777593,98.7284,0.00389222,0.147476,7.19125,0.048022,0.0592957,0.165075,4.6111,0.0369098,All
0.0114636,10.3337,0.91183,1.36419,0.232532,0.800192,105.21,0.00405838,0.173267,7.34731,0.0517415,0.0670805,0.166098,5.07685,0.0418596,All
0.0122278,9.07109,0.919231,1.45513,0.204421,0.82003,111.691,0.00417803,0.199983,7.50338,0.0554493,0.0754451,0.16712,5.56762,0.0472985,All
0.0129921,8.00923,0.925746,1.54608,0.180237,0.837494,118.172,0.00425525,0.227334,7.65944,0.0591211,0.084386,0.168142,6.08218,0.0532513,All
0.0137563,7.10904,0.931514,1.63703,0.159371,0.852914,124.654,0.00429453,0.25506,7.81551,0.0627335,0.0938955,0.169164,6.61899,0.0597416,All
0.0145205,6.34038,0.936646,1.72797,0.141314,0.866567,131.135,0.00430052,0.282931,7.97157,0.0662641,0.103963,0.170187,7.17624,0.0667914,All
0.0152848,5.6797,0.941233,1.81892,0.125642,0.87869,137.616,0.00427777,0.310744,8.12764,0.0696923,0.114573,0.171209,7.75179,0.0744203,All
0.016049,5.10841,0.94535,1.90986,0.111998,0.889482,144.098,0.0042306,0.338329,8.2837,0.072999,0.125709,0.172231,8.34324,0.082646,All
0.0168132,4.61169,0.94906,2.00081,0.100086,0.899114,150.579,0.00416303,0.36554,8.43977,0.0761667,0.137351,0.173254,8.9479,0.0914834,All
0.0175775,4.17761,0.952415,2.09176,0.0896555,0.907731,157.06,0.00407869,0.392257,8.59583,0.0791801,0.149475,0.174276,9.56286,0.100944,All
0.0183417,3.79649,0.955459,2.1827,0.0804974,0.91546,163.542,0.00398086,0.418382,8.7519,0.0820254,0.162057,0.175298,10.185,0.111038,All
0.019106,3.4604,0.958229,2.27365,0.0724349,0.922407,170.023,0.00387243,0.443837,8.90796,0.0846911,0.175069,0.17632,10.8109,0.12177,All
0.0198702,3.16283,0.960758,2.36459,0.0653184,0.928664,176.504,0.00375593,0.468561,9.06403,0.0871675,0.188482,0.177343,11.4373,0.133142,All
0.0206344,2.89837,0.963072,2.45554,0.0590211,0.934312,182.986,0.00363354,0.492511,9.22009,0.0894468,0.202266,0.178365,12.0603,0.145153,All
0.0213987,2.6625,0.965195,2.54648,0.0534353,0.939421,189.467,0.00350716,0.515653,9.37616,0.0915231,0.21639,0.179387,12.6765,0.157798,All
0.0221629,2.45144,0.967148,2.63743,0.0484691,0.94405,195.948,0.00337839,0.537968,9.53222,0.093392,0.230822,0.18041,13.2821,0.171068,All
0.0229272,2.26198,0.968947,2.72838,0.0440439,0.948253,202.43,0.00324857,0.559444,9.68829,0.0950513,0.24553,0.181432,13.8734,0.18495,All
