id,Tlag_standEta_simulated,ka_standEta_simulated,V_standEta_simulated,alpha_standEta_simulated,beta_standEta_simulated,filter
1,-0.653105,-0.146949,0.319428,1.34106,-0.0627151,0
1,-0.744816,0.952744,1.66851,0.737196,-0.0865931,0
1,-0.520639,-1.82849,-1.01585,0.520822,0.21123,0
1,0.715822,1.00612,0.964303,-0.796341,1.1196,0
1,-0.0372959,-0.987176,1.06513,-0.0333574,0.694334,0
2,0.918349,-0.884667,-1.16129,1.24651,-0.0314944,0
2,0.339824,0.497484,1.31199,-0.524642,1.58059,0
2,0.44598,0.995665,0.103762,0.732252,1.9657,0
2,0.365961,0.29865,0.780653,0.66278,0.781134,0
2,-0.447431,-0.705813,0.0246789,-0.0485343,-0.548273,0
3,1.09847,-0.373351,1.86457,0.577515,-0.213703,0
3,-0.387471,-1.54263,-0.502699,-1.54749,1.31702,0
3,0.663117,-1.15839,0.147529,-1.92623,1.571,0
3,-0.901167,1.00092,1.22182,-0.764553,-0.477066,0
3,-1.81864,-0.459575,0.974187,0.145618,-0.117534,0
4,1.41881,1.48624,-0.460013,0.592425,-0.437896,0
4,-1.76299,2.92723,-0.0755769,0.179524,-1.91616,0
4,1.50257,1.51124,-0.787667,0.0311512,0.637026,0
4,-1.72687,1.25001,-0.471984,0.284135,-0.404959,0
4,0.605151,1.87541,-0.815899,-0.120224,0.614049,0
5,-0.0801607,1.19634,0.615753,-0.192595,0.608868,0
5,0.551551,-0.327235,0.210687,-0.512047,0.745485,0
5,0.175884,-1.01229,-1.40183,1.05023,-0.0650131,0
5,0.0486867,1.05163,0.512968,0.314969,0.451896,0
5,-1.15895,-0.912765,-0.894044,1.35643,1.14774,0
6,1.15681,-0.480915,-0.0547495,0.692981,-0.00679631,0
6,1.7341,-0.561632,0.3609,-0.468104,0.14317,0
6,1.38029,-0.378785,0.273386,0.353622,0.661507,0
6,-1.70686,0.26809,0.462696,0.364252,1.52622,0
6,0.489896,1.40726,1.38622,-0.323487,0.0106192,0
7,-0.642691,1.80754,0.668047,-1.98546,1.81067,0
7,1.8674,1.08257,0.217862,0.0210498,0.542548,0
7,1.23463,0.16321,0.773711,0.277246,-0.577281,0
7,1.0903,0.474852,0.365189,1.39601,-0.378754,0
7,-0.638934,0.83413,0.683912,0.481192,-0.574513,0
8,0.275064,-0.407299,0.0042918,-0.975862,-1.05477,0
8,0.430004,-0.761262,-0.161422,-0.101896,-2.35959,0
8,0.795613,-0.261982,-0.507513,-0.127932,-1.2287,0
8,0.1624,-0.832196,-0.570603,-0.87688,-0.844653,0
8,-0.997482,-0.519856,-0.318662,-0.753189,0.211169,0
9,1.7038,0.228311,-1.69281,-2.05706,-0.312433,0
9,0.519756,-0.0614005,-1.9015,-1.52016,-0.973471,0
9,-0.735801,-0.159396,-2.11111,-2.23627,2.0271,0
9,0.367735,-0.716422,-2.67632,-1.54411,-0.167461,0
9,0.479434,0.157658,-1.94405,-2.05261,-1.48817,0
10,0.384395,0.753576,2.01666,-1.48627,0.608451,0
10,-0.576871,0.463157,1.02215,-0.434584,1.72298,0
10,-0.355598,-0.355468,0.790203,0.579868,0.27412,0
10,1.60777,-0.162503,1.34285,0.0492075,-0.0603669,0
10,1.68992,0.675499,1.259,-0.0251698,-1.4364,0
11,-0.519902,-0.846134,0.493304,-0.743313,1.50979,0
11,1.15562,-0.623143,0.448073,-0.375979,0.303613,0
11,0.336103,-0.922538,0.107202,-0.108722,0.363752,0
11,-0.389712,0.18741,1.55362,-0.94527,-0.167948,0
11,-0.727981,-0.596964,0.168964,-0.318136,-0.767985,0
12,-0.600862,0.292379,0.926041,1.01576,-0.87716,0
12,0.559245,-0.162338,0.728819,-0.536054,1.82236,0
12,0.107106,-0.251754,0.225891,-0.438439,1.16223,0
12,1.27626,-0.373382,0.982292,-0.548641,-0.773493,0
12,2.71385,-1.11731,-0.589068,0.347618,0.344136,0
