id,Tlag_standEta_mean,Tlag_standEta_mode,ka_standEta_mean,ka_standEta_mode,V_standEta_mean,V_standEta_mode,alpha_standEta_mean,alpha_standEta_mode,beta_standEta_mean,beta_standEta_mode,filter
1,-0.0368635,,-0.360431,,0.567968,,0.26884,,0.107369,,0
2,0.0618863,,-0.0953295,,0.377843,,0.432001,,0.0732409,,0
3,0.0514353,,-0.607379,,0.677116,,0.264172,,0.0920458,,0
4,-0.0912619,,1.91678,,-0.549978,,-0.191129,,0.0384545,,0
5,0.0387632,,0.644572,,0.26689,,0.402816,,0.144673,,0
6,-0.0682845,,0.257069,,0.205001,,0.296101,,0.0387482,,0
7,0.0169042,,0.795804,,0.412896,,0.36349,,0.137796,,0
8,-0.0384802,,-0.560598,,-0.6138,,-0.557186,,-0.243432,,0
9,-0.0558153,,-0.315548,,-2.27034,,-1.60392,,-0.489064,,0
10,0.00780141,,-0.304262,,0.604783,,0.646382,,0.203812,,0
11,-0.0239087,,-0.846777,,-0.0156128,,-0.143476,,-0.103222,,0
12,-0.0188115,,-0.442195,,0.454691,,0.218558,,0.0610183,,0
