id,Tlag_eta_simulated,ka_eta_simulated,V_eta_simulated,color,filter
1,3.00381,-0.169974,1.01144,#4682B4,0
1,2.58259,-0.412911,0.643688,#4682B4,0
1,-0.185521,0.374544,0.642219,#4682B4,0
1,0.456867,1.24036,0.6797,#4682B4,0
1,-8.78688,-0.294974,-0.0587945,#4682B4,0
2,2.01497,0.0504816,0.387761,#4682B4,0
2,2.4454,1.00565,0.234334,#4682B4,0
2,-1.22237,0.17814,0.414667,#4682B4,0
2,-8.64763,0.342872,0.549131,#4682B4,0
2,-2.76025,-0.402197,-0.17197,#4682B4,0
3,-1.59173,0.398333,0.775561,#4682B4,0
3,-1.66751,-0.0675542,0.83815,#4682B4,0
3,-7.50063,-0.0593656,0.428001,#4682B4,0
3,-6.48962,0.221568,0.264208,#4682B4,0
3,-3.34751,-1.028,0.0522296,#4682B4,0
4,-4.02932,2.13386,-0.146833,#4682B4,0
4,0.380664,1.42235,-0.431387,#4682B4,0
4,2.16573,1.2718,-0.516126,#4682B4,0
4,14.4698,1.36939,-0.349198,#4682B4,0
4,-12.3605,1.93657,-0.178128,#4682B4,0
5,-6.30599,1.72028,0.0854147,#4682B4,0
5,0.425351,0.159253,-0.027103,#4682B4,0
5,3.49321,-0.0591613,0.0789913,#4682B4,0
5,-0.722009,1.18948,0.266391,#4682B4,0
5,13.5254,0.489811,0.348564,#4682B4,0
6,-11.6702,-0.479955,0.0811962,#4682B4,0
6,-2.85754,0.464983,0.0679938,#4682B4,0
6,1.74911,0.269254,0.168465,#4682B4,0
6,4.72953,1.02782,0.158662,#4682B4,0
6,3.98717,0.088515,0.307799,#4682B4,0
7,10.7901,0.882217,0.531143,#4682B4,0
7,-3.39234,1.30741,0.292366,#4682B4,0
7,-10.4821,1.28475,0.457544,#4682B4,0
7,10.0008,-0.23712,0.0176681,#4682B4,0
7,5.09244,-0.269368,0.175712,#4682B4,0
8,4.44403,-0.752183,-0.668778,#4682B4,0
8,1.13243,-0.233472,-0.319901,#4682B4,0
8,-2.33306,-0.689851,-0.59676,#4682B4,0
8,-1.17585,-0.00166691,0.0236512,#4682B4,0
8,-0.196957,-0.0287326,-0.198538,#4682B4,0
9,2.26924,-0.370557,-1.37974,#4682B4,0
9,-4.19268,-0.45108,-1.38379,#4682B4,0
9,3.54484,-0.345491,-1.40266,#4682B4,0
9,2.70359,-0.310019,-1.45428,#4682B4,0
9,0.189698,-0.240197,-1.42603,#4682B4,0
10,9.17607,-0.217603,0.948419,#4682B4,0
10,7.30863,-0.818301,-0.113278,#4682B4,0
10,1.35975,-0.837686,0.494111,#4682B4,0
10,-2.27569,-0.0584091,0.765768,#4682B4,0
10,5.31328,-0.0583318,0.481225,#4682B4,0
11,3.15321,-0.668551,-0.0371732,#4682B4,0
11,2.27376,-1.00921,-0.246703,#4682B4,0
11,5.97142,-0.906179,-0.0809231,#4682B4,0
11,0.312124,-0.747216,0.0747285,#4682B4,0
11,-5.60555,-1.34423,-0.512012,#4682B4,0
12,0.594884,0.210276,0.325379,#4682B4,0
12,1.99332,-0.147047,0.408671,#4682B4,0
12,-3.26392,-0.614094,0.356654,#4682B4,0
12,-3.80554,-0.4413,0.172079,#4682B4,0
12,3.56197,-0.850256,0.0886509,#4682B4,0
