iteration,completeLL,phase,estimate_Tlag_pop,estimate_V_pop,estimate_a,estimate_alpha_pop,estimate_beta_pop,estimate_ka_pop,estimate_omega_Tlag,estimate_omega_V,estimate_omega_ka
1,346.62,1,0.2,250,1,1,1,1,2,1,1
2,350.117,1,0.162374,309.339,0.974679,1.41369,1.0153,1.10869,1.94936,0.998896,0.974679
3,342.552,1,0.161732,320.902,0.95,1.53994,0.919922,1.08437,1.9,0.973603,0.95
4,334.96,1,0.124965,297.113,0.925945,1.43813,0.763821,0.883089,1.95512,0.948951,1.01879
5,324.717,1,0.120385,322.193,0.9025,1.20157,0.583922,0.803879,1.90561,0.924923,0.992996
6,325.877,1,0.157644,300.608,0.879648,1.01821,0.561559,0.788856,1.88589,0.901503,0.967853
7,313.351,1,0.151068,313.095,0.857375,0.711432,0.5573,0.85309,1.83814,0.878677,0.949938
8,311.528,1,0.164168,357.824,0.835666,0.805523,0.531306,0.928232,1.7916,0.856428,0.925885
9,306.695,1,0.136238,397.694,0.814506,0.75234,0.565539,1.15642,1.75176,0.834743,1.00218
10,293.331,1,0.0923325,399.937,0.793882,0.685498,0.499371,1.47418,1.70741,0.813607,1.01359
11,295.112,1,0.0596931,370.893,0.773781,0.582622,0.429097,1.59542,1.6676,0.793006,0.987923
12,285.892,1,0.0411467,418.16,0.754188,0.592965,0.39846,1.4983,1.62537,0.772926,0.962908
13,288.856,1,0.0404335,386.619,0.735092,0.703968,0.381568,1.61763,1.68787,0.850477,1.02304
14,274.646,1,0.0384341,411.027,0.716479,0.599973,0.381955,1.51572,1.64513,0.828942,0.997134
15,274.978,1,0.0392128,478.809,0.698337,0.616996,0.412081,1.86698,1.62867,0.807953,1.0178
16,262.968,1,0.0315835,385,0.680655,0.606018,0.459822,1.92936,1.58743,0.787495,0.992033
17,266.306,1,0.0428507,429.343,0.66342,0.56867,0.466838,2.00641,1.61876,0.767555,1.03411
18,265.027,1,0.0387754,437.196,0.646622,0.520466,0.454731,1.96346,1.57777,0.801766,1.00792
19,255.09,1,0.0388845,472.114,0.630249,0.681007,0.430227,1.92486,1.53782,0.781465,0.982401
20,254.389,1,0.0619513,460.139,0.614291,0.815021,0.479223,2.12544,1.51282,0.835452,0.957526
21,248.4,1,0.0651339,423.592,0.598737,0.675919,0.493956,1.86052,1.47452,0.857033,0.933281
22,236.041,1,0.0503204,376.724,0.583577,0.746651,0.47432,1.89309,1.43718,0.835333,0.90965
23,231.33,1,0.0583319,366.971,0.5688,0.69278,0.495186,1.8057,1.40079,0.814182,0.886617
24,229.052,1,0.0631212,400.538,0.554398,0.734452,0.451379,1.61698,1.36532,0.793566,0.864167
25,225.692,1,0.0762717,363.704,0.54036,0.934376,0.47184,1.69274,1.39709,0.773473,0.842286
26,225.688,1,0.0663523,371.079,0.526678,0.993372,0.453026,1.72725,1.44949,0.753888,0.820959
27,214.012,1,0.0642838,334.157,0.513342,1.01515,0.435596,1.57835,1.53655,0.734799,0.800172
28,206.704,1,0.0541693,337.574,0.500344,1.18386,0.430332,1.62881,1.49765,0.716193,0.779911
29,204.801,1,0.0444933,330.92,0.487675,1.21953,0.466319,1.61206,1.45973,0.698059,0.760163
30,201.537,1,0.0446935,345.207,0.475327,1.36866,0.452776,1.57524,1.42277,0.703634,0.833155
31,199.291,1,0.0475721,331.323,0.463291,1.25446,0.461864,1.39947,1.38674,0.751572,0.812059
32,190.97,1,0.0320729,347.311,0.45156,1.34614,0.436808,1.41028,1.35163,0.764134,0.791498
33,187.774,1,0.0270694,306.782,0.440127,1.3816,0.490867,1.30889,1.3174,0.744786,0.771456
34,175.196,1,0.0367056,300.269,0.428982,1.57547,0.475901,1.33909,1.28405,0.725928,0.751923
35,177.713,1,0.0341666,320.606,0.41812,1.57615,0.465419,1.36693,1.33157,0.707547,0.732884
36,171.594,1,0.0404616,306.025,0.407533,1.53724,0.475156,1.33334,1.29785,0.71117,0.771544
37,172.515,1,0.0424704,299.627,0.397214,1.64108,0.479826,1.12624,1.26499,0.693202,0.752008
38,166.902,1,0.0589429,270.082,0.387157,1.69601,0.471751,0.942178,1.24335,0.67565,0.732967
39,162.354,1,0.0570195,256.632,0.377354,2.29051,0.434167,0.955508,1.26297,0.687712,0.714408
40,159.349,1,0.0537412,256.217,0.367799,2.64803,0.428138,0.931685,1.231,0.670299,0.696319
41,155.252,1,0.0478608,231.294,0.358486,2.70912,0.444636,0.871189,1.2769,0.653326,0.701542
42,149.893,1,0.0413768,237.444,0.349409,2.58275,0.444352,0.787085,1.38553,0.636784,0.683779
43,141.053,1,0.051562,224.352,0.340562,2.68554,0.440565,0.76055,1.35173,0.62066,0.666465
44,137.293,1,0.0558639,228.815,0.331938,3.27348,0.422967,0.85827,1.3175,0.638543,0.64959
45,144.304,1,0.0430288,245.523,0.323534,3.1373,0.394469,0.906004,1.39775,0.63585,0.633142
46,137.247,1,0.0468202,255.539,0.315341,3.45315,0.38009,0.888461,1.36236,0.61975,0.654352
47,130.995,1,0.047573,242.546,0.307357,3.59863,0.38072,1.0155,1.39253,0.604058,0.637783
48,130.462,1,0.0359681,247.09,0.299574,3.44836,0.390994,0.910379,1.35727,0.606952,0.621634
49,123.761,1,0.0401899,254.164,0.291989,3.51588,0.383595,0.998656,1.32291,0.591584,0.605894
50,120.946,1,0.039115,263.978,0.284596,3.25298,0.383971,1.07314,1.28941,0.620407,0.590553
51,123.787,1,0.0428925,252.378,0.27739,3.47818,0.356159,0.985198,1.25676,0.604698,0.575599
52,116.698,1,0.0435002,247.854,0.270366,3.87307,0.384954,1.05272,1.22494,0.589833,0.561025
53,116.405,1,0.0346465,256.378,0.26352,3.73843,0.376344,1.13298,1.22582,0.636459,0.546972
54,113.749,1,0.0262605,264.748,0.256848,3.20099,0.398692,1.09196,1.31309,0.620343,0.593705
55,113.943,1,0.0302874,256.004,0.251157,3.26496,0.40673,1.05333,1.43936,0.604636,0.578672
56,119.594,1,0.029278,241.424,0.258244,3.25089,0.418029,1.00633,1.47984,0.589326,0.56402
57,122.44,1,0.0321923,245.996,0.256364,3.27373,0.403131,1.01949,1.50497,0.585809,0.623778
