popPred,popPred_spline,popPred_ciLower,popPred_ciUpper,indivPred,indivPred_spline,indivPred_ciLower,indivPred_ciUpper,split
0.0202545,0.0562644,-0.25092,0.291428,0.0312016,0.0445786,-0.239972,0.302376,All
0.0218674,0.0569861,-0.249307,0.293041,0.0341466,0.0470914,-0.237027,0.305321,All
0.0236087,0.0577653,-0.247565,0.294783,0.0373697,0.0498415,-0.233804,0.308544,All
0.0254888,0.0586066,-0.245685,0.296663,0.0408969,0.0528511,-0.230277,0.312071,All
0.0275185,0.0595148,-0.243655,0.298693,0.0447571,0.0561447,-0.226417,0.315931,All
0.0297099,0.0604954,-0.241464,0.300884,0.0489816,0.0597493,-0.222192,0.320156,All
0.0320758,0.061554,-0.239098,0.30325,0.0536049,0.0636941,-0.217569,0.324779,All
0.0346301,0.062697,-0.236544,0.305804,0.0586646,0.0680112,-0.212509,0.329839,All
0.0373878,0.063931,-0.233786,0.308562,0.0642018,0.0727358,-0.206972,0.335376,All
0.0385285,0.0644414,-0.232645,0.309702,0.0702617,0.0779064,-0.200912,0.341436,All
0.0403651,0.0652632,-0.230809,0.311539,0.0768936,0.0832848,-0.19428,0.348068,All
0.0435795,0.0667016,-0.227595,0.314753,0.0841515,0.0890808,-0.187023,0.355325,All
0.0470498,0.0682544,-0.224124,0.318224,0.0873026,0.0915973,-0.183871,0.358477,All
0.0507965,0.069931,-0.220377,0.321971,0.0920944,0.0954238,-0.17908,0.363268,All
0.0548416,0.071741,-0.216332,0.326016,0.100787,0.102314,-0.170387,0.371961,All
0.0568026,0.0726185,-0.214371,0.327977,0.1103,0.109737,-0.160874,0.381474,All
0.0592088,0.0736952,-0.211965,0.330383,0.120711,0.117816,-0.150463,0.391885,All
0.0639238,0.075805,-0.20725,0.335098,0.132105,0.126651,-0.139069,0.403279,All
0.0690142,0.0780828,-0.20216,0.340188,0.143404,0.13542,-0.12777,0.414578,All
0.07451,0.080542,-0.196664,0.345684,0.144574,0.136332,-0.1266,0.415748,All
0.0750766,0.0807955,-0.196097,0.346251,0.15822,0.147031,-0.112954,0.429394,All
0.0804435,0.0833051,-0.19073,0.351617,0.173154,0.159018,-0.0980199,0.444328,All
0.0868494,0.0887122,-0.184325,0.358023,0.189498,0.172383,-0.0816763,0.460672,All
0.0933507,0.0941997,-0.177823,0.364525,0.199505,0.181014,-0.0716692,0.470679,All
0.0937655,0.0945499,-0.177408,0.36494,0.207384,0.187809,-0.0637899,0.478558,All
0.101232,0.101978,-0.169942,0.372406,0.226959,0.205047,-0.0442153,0.498133,All
0.109294,0.110588,-0.16188,0.380468,0.248381,0.225319,-0.0227931,0.519555,All
0.111625,0.113078,-0.159549,0.382799,0.255606,0.232496,-0.0155681,0.52678,All
0.117997,0.119884,-0.153177,0.389171,0.271825,0.249467,0.000651094,0.542999,All
0.127394,0.129919,-0.14378,0.398568,0.297482,0.277829,0.0263082,0.568656,All
0.129899,0.132595,-0.141275,0.401073,0.311707,0.29438,0.0405329,0.582881,All
0.137538,0.140754,-0.133636,0.408712,0.325561,0.310649,0.0543869,0.596735,All
0.148173,0.153902,-0.123001,0.419347,0.35629,0.347355,0.085116,0.627464,All
0.148491,0.154307,-0.122683,0.419665,0.367808,0.361047,0.096634,0.638982,All
0.160316,0.169371,-0.110858,0.43149,0.38992,0.3869,0.118746,0.661094,All
0.166447,0.177181,-0.104727,0.437621,0.423909,0.424699,0.152735,0.695083,All
0.173082,0.185634,-0.0980919,0.444256,0.426723,0.427717,0.155549,0.697897,All
0.184721,0.201375,-0.0864531,0.455895,0.467001,0.469653,0.195827,0.738175,All
0.186865,0.204295,-0.0843089,0.458039,0.48001,0.482748,0.208836,0.751184,All
0.201746,0.224563,-0.0694282,0.47292,0.51108,0.513488,0.239906,0.782254,All
0.202995,0.226265,-0.068179,0.474169,0.536111,0.538253,0.264937,0.807285,All
0.217811,0.245949,-0.0533626,0.488985,0.55932,0.561239,0.288146,0.830494,All
0.221269,0.250458,-0.049905,0.492443,0.592212,0.594345,0.321038,0.863386,All
0.235156,0.268571,-0.0360177,0.50633,0.612113,0.614729,0.340939,0.883287,All
0.239543,0.274292,-0.0316309,0.510717,0.648313,0.652274,0.377139,0.919487,All
0.253882,0.292994,-0.0172915,0.525056,0.66989,0.674894,0.398716,0.941064,All
0.257817,0.298126,-0.0133569,0.528991,0.704414,0.711284,0.43324,0.975588,All
0.2741,0.319363,0.00292592,0.545274,0.733119,0.741596,0.461945,1.00429,All
0.276091,0.32196,0.00491718,0.547265,0.760515,0.770515,0.489341,1.03169,All
