Tlag_abscissa,Tlag_cdf,ka_abscissa,ka_cdf,V_abscissa,V_cdf,split
-1.9229,0.0166667,-1.58466,0.0166667,-2.40028,0.0166667,All
-1.81552,0.0333333,-1.21187,0.0333333,-2.35366,0.0333333,All
-1.63068,0.05,-1.18972,0.05,-2.31508,0.05,All
-1.36696,0.0666667,-1.06826,0.0666667,-2.28394,0.0666667,All
-1.3453,0.0833333,-1.00233,0.0833333,-2.27725,0.0833333,All
-1.16686,0.1,-0.987517,0.1,-1.10381,0.1,All
-1.00958,0.116667,-0.964664,0.116667,-0.984949,0.116667,All
-0.981013,0.133333,-0.88672,0.133333,-0.851864,0.133333,All
-0.872046,0.15,-0.880865,0.15,-0.845074,0.15,All
-0.652248,0.166667,-0.81324,0.166667,-0.712002,0.166667,All
-0.626835,0.183333,-0.788129,0.183333,-0.576349,0.183333,All
-0.592021,0.2,-0.723932,0.2,-0.527995,0.2,All
-0.527741,0.216667,-0.5658,0.216667,-0.407182,0.216667,All
-0.520767,0.233333,-0.531761,0.233333,-0.327686,0.233333,All
-0.507762,0.25,-0.520232,0.25,-0.294,0.25,All
-0.444542,0.266667,-0.486765,0.266667,-0.283835,0.266667,All
-0.429408,0.283333,-0.474135,0.283333,-0.242347,0.283333,All
-0.362951,0.3,-0.436836,0.3,-0.186964,0.3,All
-0.354025,0.316667,-0.407286,0.316667,-0.133563,0.316667,All
-0.259412,0.333333,-0.36547,0.333333,-0.09704,0.333333,All
-0.247623,0.35,-0.347734,0.35,-0.0613542,0.35,All
-0.190161,0.366667,-0.317548,0.366667,-0.0447333,0.366667,All
-0.182926,0.383333,-0.283159,0.383333,0.0291612,0.383333,All
-0.112322,0.4,-0.279532,0.4,0.0390362,0.4,All
-0.0306403,0.416667,-0.275231,0.416667,0.0862047,0.416667,All
-0.0288611,0.433333,-0.256524,0.433333,0.112223,0.433333,All
0.029511,0.45,-0.200376,0.45,0.123339,0.45,All
0.0485566,0.466667,-0.173348,0.466667,0.130375,0.466667,All
0.0592193,0.483333,-0.079637,0.483333,0.134014,0.483333,All
0.0661712,0.5,-0.0699839,0.5,0.140977,0.5,All
0.0710739,0.516667,-0.069743,0.516667,0.146318,0.516667,All
0.0925451,0.533333,-0.0688562,0.533333,0.261871,0.533333,All
0.176171,0.55,-0.0687651,0.55,0.278051,0.55,All
0.211535,0.566667,-0.0338718,0.566667,0.284016,0.566667,All
0.272106,0.583333,-0.00196506,0.583333,0.290011,0.583333,All
0.310097,0.6,0.0595109,0.6,0.386767,0.6,All
0.313465,0.616667,0.104347,0.616667,0.436073,0.616667,All
0.336918,0.633333,0.187737,0.633333,0.439678,0.633333,All
0.353022,0.65,0.210003,0.65,0.482548,0.65,All
0.353725,0.666667,0.247886,0.666667,0.50802,0.666667,All
0.380427,0.683333,0.261198,0.683333,0.537036,0.683333,All
0.401769,0.7,0.317413,0.7,0.575303,0.7,All
0.420593,0.716667,0.404199,0.716667,0.588655,0.716667,All
0.467297,0.733333,0.441535,0.733333,0.639997,0.733333,All
0.490539,0.75,0.46958,0.75,0.67451,0.75,All
0.543432,0.766667,0.548151,0.766667,0.684405,0.766667,All
0.551465,0.783333,0.577419,0.783333,0.706413,0.783333,All
0.554129,0.8,1.04001,0.8,0.755174,0.8,All
0.620278,0.816667,1.18552,0.816667,0.79426,0.816667,All
0.69135,0.833333,1.21166,0.833333,0.815528,0.833333,All
0.735765,0.85,1.40224,0.85,0.876649,0.85,All
0.792223,0.866667,1.46221,0.866667,0.906338,0.866667,All
0.826578,0.883333,1.49928,0.883333,1.05998,0.883333,All
0.928964,0.9,1.51455,0.9,1.0624,0.9,All
1.13699,0.916667,1.54126,0.916667,1.12184,0.916667,All
1.42751,0.933333,1.61433,0.933333,1.2639,0.933333,All
1.55581,0.95,1.67675,0.95,1.28006,0.95,All
1.6786,0.966667,2.02798,0.966667,1.38336,0.966667,All
2.10413,0.983333,2.28295,0.983333,1.56536,0.983333,All
2.25103,1,2.51552,1,1.66938,1,All
