rep,id,eta_Tlag,eta_ka,eta_V,eta_alpha,eta_beta
1,1,3.003806,-0.169974,1.011440,0.000000,0.000000
2,1,2.582587,-0.412911,0.643688,0.000000,0.000000
3,1,-0.185521,0.374544,0.642219,0.000000,0.000000
4,1,0.456867,1.240360,0.679700,0.000000,0.000000
5,1,-8.786879,-0.294974,-0.058795,0.000000,0.000000
1,2,2.014969,0.050482,0.387761,0.000000,0.000000
2,2,2.445403,1.005646,0.234334,0.000000,0.000000
3,2,-1.222365,0.178140,0.414667,0.000000,0.000000
4,2,-8.647634,0.342872,0.549131,0.000000,0.000000
5,2,-2.760252,-0.402197,-0.171970,0.000000,0.000000
1,3,-1.591732,0.398333,0.775561,0.000000,0.000000
2,3,-1.667512,-0.067554,0.838150,0.000000,0.000000
3,3,-7.500631,-0.059366,0.428001,0.000000,0.000000
4,3,-6.489618,0.221568,0.264208,0.000000,0.000000
5,3,-3.347512,-1.027996,0.052230,0.000000,0.000000
1,4,-4.029323,2.133855,-0.146833,0.000000,0.000000
2,4,0.380664,1.422346,-0.431387,0.000000,0.000000
3,4,2.165727,1.271800,-0.516126,0.000000,0.000000
4,4,14.469752,1.369394,-0.349198,0.000000,0.000000
5,4,-12.360518,1.936570,-0.178128,0.000000,0.000000
1,5,-6.305994,1.720284,0.085415,0.000000,0.000000
2,5,0.425351,0.159253,-0.027103,0.000000,0.000000
3,5,3.493206,-0.059161,0.078991,0.000000,0.000000
4,5,-0.722009,1.189483,0.266391,0.000000,0.000000
5,5,13.525439,0.489811,0.348564,0.000000,0.000000
1,6,-11.670214,-0.479955,0.081196,0.000000,0.000000
2,6,-2.857538,0.464983,0.067994,0.000000,0.000000
3,6,1.749107,0.269254,0.168465,0.000000,0.000000
4,6,4.729530,1.027821,0.158662,0.000000,0.000000
5,6,3.987174,0.088515,0.307799,0.000000,0.000000
1,7,10.790140,0.882217,0.531143,0.000000,0.000000
2,7,-3.392342,1.307410,0.292366,0.000000,0.000000
3,7,-10.482081,1.284754,0.457544,0.000000,0.000000
4,7,10.000818,-0.237120,0.017668,0.000000,0.000000
5,7,5.092443,-0.269368,0.175712,0.000000,0.000000
1,8,4.444027,-0.752183,-0.668778,0.000000,0.000000
2,8,1.132433,-0.233472,-0.319901,0.000000,0.000000
3,8,-2.333064,-0.689851,-0.596760,0.000000,0.000000
4,8,-1.175855,-0.001667,0.023651,0.000000,0.000000
5,8,-0.196957,-0.028733,-0.198538,0.000000,0.000000
1,9,2.269239,-0.370557,-1.379736,0.000000,0.000000
2,9,-4.192680,-0.451080,-1.383790,0.000000,0.000000
3,9,3.544841,-0.345491,-1.402657,0.000000,0.000000
4,9,2.703591,-0.310019,-1.454282,0.000000,0.000000
5,9,0.189698,-0.240197,-1.426035,0.000000,0.000000
1,10,9.176073,-0.217603,0.948419,0.000000,0.000000
2,10,7.308633,-0.818301,-0.113278,0.000000,0.000000
3,10,1.359754,-0.837686,0.494111,0.000000,0.000000
4,10,-2.275690,-0.058409,0.765768,0.000000,0.000000
5,10,5.313278,-0.058332,0.481225,0.000000,0.000000
1,11,3.153205,-0.668551,-0.037173,0.000000,0.000000
2,11,2.273758,-1.009212,-0.246703,0.000000,0.000000
3,11,5.971422,-0.906179,-0.080923,0.000000,0.000000
4,11,0.312124,-0.747216,0.074728,0.000000,0.000000
5,11,-5.605553,-1.344228,-0.512012,0.000000,0.000000
1,12,0.594884,0.210276,0.325379,0.000000,0.000000
2,12,1.993317,-0.147047,0.408671,0.000000,0.000000
3,12,-3.263918,-0.614094,0.356654,0.000000,0.000000
4,12,-3.805538,-0.441300,0.172079,0.000000,0.000000
5,12,3.561965,-0.850256,0.088651,0.000000,0.000000
