           ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
   Tlag_pop;   0.22048;   0.09055;     41.07;        NaN
     ka_pop;   1.63698;   0.55793;     34.08;        NaN
      V_pop; 261.95352;  43.61910;     16.65;        NaN
  alpha_pop;   2.62989;   0.83797;     31.86;        NaN
   beta_pop;   0.47688;   0.06166;     12.93;        NaN
 omega_Tlag;   0.98318;   0.47118;     47.92;        NaN
   omega_ka;   0.82818;   0.28267;     34.13;        NaN
    omega_V;   0.52904;   0.12094;     22.86;        NaN
omega_alpha;   0.00000;   0.00000;      0.00;        NaN
 omega_beta;   0.00000;   0.00000;      0.00;        NaN
          a;   0.32514;   0.02767;      8.51;        NaN
