           ; parameter;  s.e._lin;       r.s.e._lin;pvalues_lin
   Tlag_pop;   0.20871;   0.05967;            28.59;        NaN
     ka_pop;   1.16267;   0.44343;            38.14;        NaN
      V_pop; 212.58187;  36.47183;            17.16;        NaN
  alpha_pop;   0.70175;   0.23606;            33.64;        NaN
   beta_pop;   0.74650;   0.06716;             9.00;        NaN
 omega_Tlag;   0.00000;   0.00000;             0.00;        NaN
   omega_ka;   1.08793;   0.25376;            23.33;        NaN
    omega_V;   0.53988;   0.11879;            22.00;        NaN
omega_alpha;   0.00000;   0.00000;             0.00;        NaN
 omega_beta;   0.00000;   0.00000;             0.00;        NaN
          a;   0.00000;   0.01003;13077236466640.46;        NaN
          b;   0.31616;   0.04146;            13.11;        NaN
